fileName,groupName,attributeName,attributeValue
channing.csv,time:low,age,908
channing.csv,time:low,age,868
channing.csv,time:low,age,990
channing.csv,time:low,age,1056
channing.csv,time:low,age,999
channing.csv,time:low,age,1200
channing.csv,time:low,age,1056
channing.csv,time:low,age,1024
channing.csv,time:low,age,944
channing.csv,time:low,age,1029
channing.csv,time:low,age,905
channing.csv,time:low,age,804
channing.csv,time:low,age,959
channing.csv,time:low,age,919
channing.csv,time:low,age,848
channing.csv,time:low,age,876
channing.csv,time:low,age,848
channing.csv,time:low,age,1006
channing.csv,time:low,age,804
channing.csv,time:low,age,932
channing.csv,time:low,age,1028
channing.csv,time:low,age,1019
channing.csv,time:low,age,1010
channing.csv,time:low,age,836
channing.csv,time:low,age,1042
channing.csv,time:low,age,946
channing.csv,time:low,age,940
channing.csv,time:low,age,922
channing.csv,time:low,age,961
channing.csv,time:low,age,825
channing.csv,time:low,age,953
channing.csv,time:low,age,998
channing.csv,time:low,age,1008
channing.csv,time:low,age,893
channing.csv,time:low,age,960
channing.csv,time:low,age,948
channing.csv,time:low,age,1053
channing.csv,time:low,age,992
channing.csv,time:low,age,857
channing.csv,time:low,age,1019
channing.csv,time:low,age,963
channing.csv,time:low,age,1013
channing.csv,time:low,age,959
channing.csv,time:low,age,913
channing.csv,time:low,age,917
channing.csv,time:low,age,947
channing.csv,time:low,age,824
channing.csv,time:low,age,1014
channing.csv,time:low,age,938
channing.csv,time:low,age,899
channing.csv,time:low,age,973
channing.csv,time:low,age,971
channing.csv,time:low,age,985
channing.csv,time:low,age,944
channing.csv,time:low,age,955
channing.csv,time:low,age,891
channing.csv,time:low,age,989
channing.csv,time:low,age,861
channing.csv,time:low,age,954
channing.csv,time:low,age,904
channing.csv,time:low,age,993
channing.csv,time:low,age,1054
channing.csv,time:low,age,1016
channing.csv,time:low,age,971
channing.csv,time:low,age,985
channing.csv,time:low,age,957
channing.csv,time:low,age,860
channing.csv,time:low,age,1063
channing.csv,time:low,age,961
channing.csv,time:low,age,872
channing.csv,time:low,age,1010
channing.csv,time:low,age,958
channing.csv,time:low,age,987
channing.csv,time:low,age,962
channing.csv,time:low,age,944
channing.csv,time:low,age,935
channing.csv,time:low,age,912
channing.csv,time:low,age,882
channing.csv,time:low,age,1010
channing.csv,time:low,age,1027
channing.csv,time:low,age,916
channing.csv,time:low,age,829
channing.csv,time:low,age,933
channing.csv,time:low,age,1041
channing.csv,time:low,age,905
channing.csv,time:low,age,861
channing.csv,time:low,age,1021
channing.csv,time:low,age,919
channing.csv,time:low,age,798
channing.csv,time:low,age,928
channing.csv,time:low,age,1086
channing.csv,time:low,age,923
channing.csv,time:low,age,830
channing.csv,time:low,age,822
channing.csv,time:low,age,905
channing.csv,time:low,age,926
channing.csv,time:low,age,1015
channing.csv,time:low,age,931
channing.csv,time:low,age,812
channing.csv,time:low,age,1012
channing.csv,time:low,age,948
channing.csv,time:low,age,986
channing.csv,time:low,age,1031
channing.csv,time:low,age,988
channing.csv,time:low,age,979
channing.csv,time:low,age,985
channing.csv,time:low,age,930
channing.csv,time:low,age,875
channing.csv,time:low,age,977
channing.csv,time:low,age,926
channing.csv,time:low,age,1038
channing.csv,time:low,age,1006
channing.csv,time:low,age,918
channing.csv,time:low,age,943
channing.csv,time:low,age,924
channing.csv,time:low,age,1008
channing.csv,time:low,age,944
channing.csv,time:low,age,873
channing.csv,time:low,age,1073
channing.csv,time:low,age,1068
channing.csv,time:low,age,897
channing.csv,time:low,age,1047
channing.csv,time:low,age,1011
channing.csv,time:low,age,1019
channing.csv,time:low,age,1006
channing.csv,time:low,age,996
channing.csv,time:low,age,978
channing.csv,time:low,age,840
channing.csv,time:low,age,912
channing.csv,time:low,age,954
channing.csv,time:low,age,1018
channing.csv,time:low,age,927
channing.csv,time:low,age,1040
channing.csv,time:low,age,995
channing.csv,time:low,age,883
channing.csv,time:low,age,990
channing.csv,time:low,age,934
channing.csv,time:low,age,908
channing.csv,time:low,age,986
channing.csv,time:low,age,969
channing.csv,time:low,age,1019
channing.csv,time:low,age,992
channing.csv,time:low,age,1023
channing.csv,time:low,age,895
channing.csv,time:low,age,845
channing.csv,time:low,age,870
channing.csv,time:low,age,930
channing.csv,time:low,age,976
channing.csv,time:low,age,912
channing.csv,time:low,age,874
channing.csv,time:low,age,892
channing.csv,time:low,age,885
channing.csv,time:low,age,1044
channing.csv,time:low,age,1072
channing.csv,time:low,age,901
channing.csv,time:low,age,1013
channing.csv,time:low,age,1043
channing.csv,time:low,age,926
channing.csv,time:low,age,1152
channing.csv,time:low,age,936
channing.csv,time:low,age,994
channing.csv,time:low,age,1063
channing.csv,time:low,age,821
channing.csv,time:low,age,819
channing.csv,time:low,age,1001
channing.csv,time:low,age,975
channing.csv,time:low,age,982
channing.csv,time:low,age,905
channing.csv,time:low,age,1040
channing.csv,time:low,age,926
channing.csv,time:low,age,1030
channing.csv,time:low,age,990
channing.csv,time:low,age,990
channing.csv,time:low,age,911
channing.csv,time:low,age,915
channing.csv,time:low,age,983
channing.csv,time:low,age,957
channing.csv,time:low,age,1009
channing.csv,time:low,age,971
channing.csv,time:low,age,869
channing.csv,time:low,age,1139
channing.csv,time:low,age,1001
channing.csv,time:low,age,1031
channing.csv,time:low,age,945
channing.csv,time:low,age,1006
channing.csv,time:low,age,959
channing.csv,time:low,age,843
channing.csv,time:low,age,911
channing.csv,time:low,age,895
channing.csv,time:low,age,1043
channing.csv,time:low,age,1044
channing.csv,time:low,age,1005
channing.csv,time:low,age,977
channing.csv,time:low,age,1058
channing.csv,time:low,age,1045
channing.csv,time:low,age,953
channing.csv,time:low,age,1018
channing.csv,time:low,age,970
channing.csv,time:low,age,1070
channing.csv,time:low,age,936
channing.csv,time:low,age,906
channing.csv,time:low,age,866
channing.csv,time:low,age,1029
channing.csv,time:low,age,1053
channing.csv,time:low,age,1080
channing.csv,time:low,age,872
channing.csv,time:low,age,893
channing.csv,time:low,age,966
channing.csv,time:low,age,894
channing.csv,time:low,age,985
channing.csv,time:low,age,1094
channing.csv,time:low,age,927
channing.csv,time:low,age,1059
channing.csv,time:low,age,1012
channing.csv,time:low,age,911
channing.csv,time:low,age,1094
channing.csv,time:low,age,972
channing.csv,time:low,age,993
channing.csv,time:low,age,876
channing.csv,time:low,age,993
channing.csv,time:low,age,777
channing.csv,time:low,age,966
channing.csv,time:low,age,907
channing.csv,time:low,age,781
channing.csv,time:low,age,914
channing.csv,time:low,age,998
channing.csv,time:low,age,1022
channing.csv,time:low,age,932
channing.csv,time:low,age,898
channing.csv,time:low,age,1060
channing.csv,time:low,age,1044
channing.csv,time:high,age,1172
channing.csv,time:high,age,1040
channing.csv,time:high,age,1003
channing.csv,time:high,age,1018
channing.csv,time:high,age,932
channing.csv,time:high,age,1004
channing.csv,time:high,age,1023
channing.csv,time:high,age,1033
channing.csv,time:high,age,1064
channing.csv,time:high,age,1122
channing.csv,time:high,age,1020
channing.csv,time:high,age,940
channing.csv,time:high,age,996
channing.csv,time:high,age,969
channing.csv,time:high,age,1089
channing.csv,time:high,age,1115
channing.csv,time:high,age,1192
channing.csv,time:high,age,1085
channing.csv,time:high,age,976
channing.csv,time:high,age,1142
channing.csv,time:high,age,1200
channing.csv,time:high,age,1017
channing.csv,time:high,age,1006
channing.csv,time:high,age,1012
