fileName,groupName,attributeName,attributeValue
cities.csv,Continent:Africa,Quality of road network,4
cities.csv,Continent:Africa,Quality of road network,3
cities.csv,Continent:Africa,Quality of road network,3
cities.csv,Continent:Africa,Quality of road network,3
cities.csv,Continent:Africa,Quality of road network,4
cities.csv,Continent:Africa,Quality of road network,4
cities.csv,Continent:Africa,Quality of road network,4
cities.csv,Continent:Africa,Quality of road network,3
cities.csv,Continent:Africa,Quality of road network,3
cities.csv,Continent:Africa,Quality of road network,3
cities.csv,Continent:Africa,Quality of road network,4
cities.csv,Continent:Africa,Quality of road network,3
cities.csv,Continent:Africa,Quality of road network,4
cities.csv,Continent:Africa,Quality of road network,4
cities.csv,Continent:Asia,Quality of road network,3
cities.csv,Continent:Asia,Quality of road network,1
cities.csv,Continent:Asia,Quality of road network,4
cities.csv,Continent:Asia,Quality of road network,2
cities.csv,Continent:Asia,Quality of road network,4
cities.csv,Continent:Asia,Quality of road network,5
cities.csv,Continent:Asia,Quality of road network,2
cities.csv,Continent:Asia,Quality of road network,4
cities.csv,Continent:Asia,Quality of road network,4
cities.csv,Continent:Asia,Quality of road network,1
cities.csv,Continent:Asia,Quality of road network,3
cities.csv,Continent:Asia,Quality of road network,4
cities.csv,Continent:Asia,Quality of road network,3
cities.csv,Continent:Asia,Quality of road network,2
cities.csv,Continent:Asia,Quality of road network,3
cities.csv,Continent:Asia,Quality of road network,2
cities.csv,Continent:Asia,Quality of road network,5
cities.csv,Continent:Asia,Quality of road network,3
cities.csv,Continent:Asia,Quality of road network,1
cities.csv,Continent:Asia,Quality of road network,3
cities.csv,Continent:Asia,Quality of road network,5
cities.csv,Continent:Asia,Quality of road network,2
cities.csv,Continent:Asia,Quality of road network,2
cities.csv,Continent:Asia,Quality of road network,2
cities.csv,Continent:Asia,Quality of road network,2
cities.csv,Continent:Asia,Quality of road network,1
cities.csv,Continent:Asia,Quality of road network,2
cities.csv,Continent:Asia,Quality of road network,2
cities.csv,Continent:Asia,Quality of road network,2
cities.csv,Continent:Asia,Quality of road network,4
cities.csv,Continent:Asia,Quality of road network,3
cities.csv,Continent:Asia,Quality of road network,1
