fileName,groupName,attributeName,attributeValue
cities.csv,Continent:Africa,Availability of bars or coffee shops,2
cities.csv,Continent:Africa,Availability of bars or coffee shops,2
cities.csv,Continent:Africa,Availability of bars or coffee shops,2
cities.csv,Continent:Africa,Availability of bars or coffee shops,2
cities.csv,Continent:Africa,Availability of bars or coffee shops,2
cities.csv,Continent:Africa,Availability of bars or coffee shops,2
cities.csv,Continent:Africa,Availability of bars or coffee shops,3
cities.csv,Continent:Africa,Availability of bars or coffee shops,1
cities.csv,Continent:Africa,Availability of bars or coffee shops,3
cities.csv,Continent:Africa,Availability of bars or coffee shops,3
cities.csv,Continent:Africa,Availability of bars or coffee shops,2
cities.csv,Continent:Africa,Availability of bars or coffee shops,1
cities.csv,Continent:Africa,Availability of bars or coffee shops,3
cities.csv,Continent:Africa,Availability of bars or coffee shops,2
cities.csv,Country:USA,Availability of bars or coffee shops,1
cities.csv,Country:USA,Availability of bars or coffee shops,1
cities.csv,Country:USA,Availability of bars or coffee shops,1
cities.csv,Country:USA,Availability of bars or coffee shops,1
cities.csv,Country:USA,Availability of bars or coffee shops,1
cities.csv,Country:USA,Availability of bars or coffee shops,1
cities.csv,Country:USA,Availability of bars or coffee shops,1
cities.csv,Country:USA,Availability of bars or coffee shops,2
cities.csv,Country:USA,Availability of bars or coffee shops,1
cities.csv,Country:USA,Availability of bars or coffee shops,1
cities.csv,Country:USA,Availability of bars or coffee shops,1
cities.csv,Country:USA,Availability of bars or coffee shops,1
cities.csv,Country:USA,Availability of bars or coffee shops,1
cities.csv,Country:USA,Availability of bars or coffee shops,1
cities.csv,Country:USA,Availability of bars or coffee shops,2
cities.csv,Country:USA,Availability of bars or coffee shops,1
cities.csv,Country:USA,Availability of bars or coffee shops,1
cities.csv,Country:USA,Availability of bars or coffee shops,1
