fileName,groupName,attributeName,attributeValue
cities.csv,Continent:Africa,Availability of private education,2
cities.csv,Continent:Africa,Availability of private education,3
cities.csv,Continent:Africa,Availability of private education,2
cities.csv,Continent:Africa,Availability of private education,2
cities.csv,Continent:Africa,Availability of private education,2
cities.csv,Continent:Africa,Availability of private education,4
cities.csv,Continent:Africa,Availability of private education,2
cities.csv,Continent:Africa,Availability of private education,1
cities.csv,Continent:Africa,Availability of private education,3
cities.csv,Continent:Africa,Availability of private education,3
cities.csv,Continent:Africa,Availability of private education,1
cities.csv,Continent:Africa,Availability of private education,1
cities.csv,Continent:Africa,Availability of private education,2
cities.csv,Continent:Africa,Availability of private education,2
cities.csv,Country:USA,Availability of private education,1
cities.csv,Country:USA,Availability of private education,1
cities.csv,Country:USA,Availability of private education,1
cities.csv,Country:USA,Availability of private education,1
cities.csv,Country:USA,Availability of private education,1
cities.csv,Country:USA,Availability of private education,1
cities.csv,Country:USA,Availability of private education,1
cities.csv,Country:USA,Availability of private education,2
cities.csv,Country:USA,Availability of private education,1
cities.csv,Country:USA,Availability of private education,1
cities.csv,Country:USA,Availability of private education,1
cities.csv,Country:USA,Availability of private education,1
cities.csv,Country:USA,Availability of private education,1
cities.csv,Country:USA,Availability of private education,2
cities.csv,Country:USA,Availability of private education,2
cities.csv,Country:USA,Availability of private education,2
cities.csv,Country:USA,Availability of private education,2
cities.csv,Country:USA,Availability of private education,1
