fileName,groupName,attributeName,attributeValue
cities.csv,Continent:Africa,Availability of well known sports events,4
cities.csv,Continent:Africa,Availability of well known sports events,5
cities.csv,Continent:Africa,Availability of well known sports events,4
cities.csv,Continent:Africa,Availability of well known sports events,4
cities.csv,Continent:Africa,Availability of well known sports events,4
cities.csv,Continent:Africa,Availability of well known sports events,5
cities.csv,Continent:Africa,Availability of well known sports events,5
cities.csv,Continent:Africa,Availability of well known sports events,1
cities.csv,Continent:Africa,Availability of well known sports events,4
cities.csv,Continent:Africa,Availability of well known sports events,5
cities.csv,Continent:Africa,Availability of well known sports events,4
cities.csv,Continent:Africa,Availability of well known sports events,1
cities.csv,Continent:Africa,Availability of well known sports events,5
cities.csv,Continent:Africa,Availability of well known sports events,4
cities.csv,Country:USA,Availability of well known sports events,1
cities.csv,Country:USA,Availability of well known sports events,1
cities.csv,Country:USA,Availability of well known sports events,1
cities.csv,Country:USA,Availability of well known sports events,1
cities.csv,Country:USA,Availability of well known sports events,1
cities.csv,Country:USA,Availability of well known sports events,2
cities.csv,Country:USA,Availability of well known sports events,1
cities.csv,Country:USA,Availability of well known sports events,3
cities.csv,Country:USA,Availability of well known sports events,1
cities.csv,Country:USA,Availability of well known sports events,1
cities.csv,Country:USA,Availability of well known sports events,2
cities.csv,Country:USA,Availability of well known sports events,1
cities.csv,Country:USA,Availability of well known sports events,1
cities.csv,Country:USA,Availability of well known sports events,1
cities.csv,Country:USA,Availability of well known sports events,4
cities.csv,Country:USA,Availability of well known sports events,3
cities.csv,Country:USA,Availability of well known sports events,1
cities.csv,Country:USA,Availability of well known sports events,1
