fileName,groupName,attributeName,attributeValue
cities.csv,Continent:Africa,Discomfort of climate to travellers,3
cities.csv,Continent:Africa,Discomfort of climate to travellers,3
cities.csv,Continent:Africa,Discomfort of climate to travellers,2
cities.csv,Continent:Africa,Discomfort of climate to travellers,2
cities.csv,Continent:Africa,Discomfort of climate to travellers,2
cities.csv,Continent:Africa,Discomfort of climate to travellers,3
cities.csv,Continent:Africa,Discomfort of climate to travellers,2
cities.csv,Continent:Africa,Discomfort of climate to travellers,1
cities.csv,Continent:Africa,Discomfort of climate to travellers,3
cities.csv,Continent:Africa,Discomfort of climate to travellers,1
cities.csv,Continent:Africa,Discomfort of climate to travellers,1
cities.csv,Continent:Africa,Discomfort of climate to travellers,1
cities.csv,Continent:Africa,Discomfort of climate to travellers,2
cities.csv,Continent:Africa,Discomfort of climate to travellers,2
cities.csv,Country:USA,Discomfort of climate to travellers,2
cities.csv,Country:USA,Discomfort of climate to travellers,2
cities.csv,Country:USA,Discomfort of climate to travellers,2
cities.csv,Country:USA,Discomfort of climate to travellers,2
cities.csv,Country:USA,Discomfort of climate to travellers,2
cities.csv,Country:USA,Discomfort of climate to travellers,2
cities.csv,Country:USA,Discomfort of climate to travellers,2
cities.csv,Country:USA,Discomfort of climate to travellers,2
cities.csv,Country:USA,Discomfort of climate to travellers,1
cities.csv,Country:USA,Discomfort of climate to travellers,1
cities.csv,Country:USA,Discomfort of climate to travellers,2
cities.csv,Country:USA,Discomfort of climate to travellers,2
cities.csv,Country:USA,Discomfort of climate to travellers,2
cities.csv,Country:USA,Discomfort of climate to travellers,2
cities.csv,Country:USA,Discomfort of climate to travellers,2
cities.csv,Country:USA,Discomfort of climate to travellers,3
cities.csv,Country:USA,Discomfort of climate to travellers,1
cities.csv,Country:USA,Discomfort of climate to travellers,1
