fileName,groupName,attributeName,attributeValue
cities.csv,Continent:Africa,Level of censorship,3
cities.csv,Continent:Africa,Level of censorship,3
cities.csv,Continent:Africa,Level of censorship,3
cities.csv,Continent:Africa,Level of censorship,2
cities.csv,Continent:Africa,Level of censorship,3
cities.csv,Continent:Africa,Level of censorship,2
cities.csv,Continent:Africa,Level of censorship,4
cities.csv,Continent:Africa,Level of censorship,1
cities.csv,Continent:Africa,Level of censorship,2
cities.csv,Continent:Africa,Level of censorship,3
cities.csv,Continent:Africa,Level of censorship,2
cities.csv,Continent:Africa,Level of censorship,1
cities.csv,Continent:Africa,Level of censorship,3
cities.csv,Continent:Africa,Level of censorship,3
cities.csv,Country:USA,Level of censorship,1
cities.csv,Country:USA,Level of censorship,1
cities.csv,Country:USA,Level of censorship,1
cities.csv,Country:USA,Level of censorship,1
cities.csv,Country:USA,Level of censorship,1
cities.csv,Country:USA,Level of censorship,1
cities.csv,Country:USA,Level of censorship,1
cities.csv,Country:USA,Level of censorship,1
cities.csv,Country:USA,Level of censorship,1
cities.csv,Country:USA,Level of censorship,1
cities.csv,Country:USA,Level of censorship,1
cities.csv,Country:USA,Level of censorship,1
cities.csv,Country:USA,Level of censorship,1
cities.csv,Country:USA,Level of censorship,1
cities.csv,Country:USA,Level of censorship,1
cities.csv,Country:USA,Level of censorship,1
cities.csv,Country:USA,Level of censorship,1
cities.csv,Country:USA,Level of censorship,1
