fileName,groupName,attributeName,attributeValue
cities.csv,Continent:Africa,Region,North Africa
cities.csv,Continent:Africa,Region,North Africa
cities.csv,Continent:Africa,Region,North Africa
cities.csv,Continent:Africa,Region,North Africa
cities.csv,Continent:Africa,Region,North Africa
cities.csv,Continent:Africa,Region,North Africa
cities.csv,Continent:Africa,Region,South Africa
cities.csv,Continent:Africa,Region,South Africa
cities.csv,Continent:Africa,Region,North Africa
cities.csv,Continent:Africa,Region,South Africa
cities.csv,Continent:Africa,Region,South Africa
cities.csv,Continent:Africa,Region,South Africa
cities.csv,Continent:Africa,Region,North Africa
cities.csv,Continent:Africa,Region,North Africa
cities.csv,Country:USA,Region,North America
cities.csv,Country:USA,Region,North America
cities.csv,Country:USA,Region,North America
cities.csv,Country:USA,Region,North America
cities.csv,Country:USA,Region,North America
cities.csv,Country:USA,Region,Oceania
cities.csv,Country:USA,Region,North America
cities.csv,Country:USA,Region,North America
cities.csv,Country:USA,Region,North America
cities.csv,Country:USA,Region,North America
cities.csv,Country:USA,Region,North America
cities.csv,Country:USA,Region,North America
cities.csv,Country:USA,Region,North America
cities.csv,Country:USA,Region,North America
cities.csv,Country:USA,Region,North America
cities.csv,Country:USA,Region,North America
cities.csv,Country:USA,Region,North America
cities.csv,Country:USA,Region,North America
