fileName,groupName,attributeName,attributeValue
cities.csv,Continent:Africa,Threat of civil unrest,4
cities.csv,Continent:Africa,Threat of civil unrest,4
cities.csv,Continent:Africa,Threat of civil unrest,4
cities.csv,Continent:Africa,Threat of civil unrest,3
cities.csv,Continent:Africa,Threat of civil unrest,3
cities.csv,Continent:Africa,Threat of civil unrest,2
cities.csv,Continent:Africa,Threat of civil unrest,5
cities.csv,Continent:Africa,Threat of civil unrest,2
cities.csv,Continent:Africa,Threat of civil unrest,5
cities.csv,Continent:Africa,Threat of civil unrest,2
cities.csv,Continent:Africa,Threat of civil unrest,4
cities.csv,Continent:Africa,Threat of civil unrest,2
cities.csv,Continent:Africa,Threat of civil unrest,4
cities.csv,Continent:Africa,Threat of civil unrest,4
cities.csv,Country:USA,Threat of civil unrest,1
cities.csv,Country:USA,Threat of civil unrest,2
cities.csv,Country:USA,Threat of civil unrest,1
cities.csv,Country:USA,Threat of civil unrest,1
cities.csv,Country:USA,Threat of civil unrest,1
cities.csv,Country:USA,Threat of civil unrest,1
cities.csv,Country:USA,Threat of civil unrest,1
cities.csv,Country:USA,Threat of civil unrest,1
cities.csv,Country:USA,Threat of civil unrest,2
cities.csv,Country:USA,Threat of civil unrest,1
cities.csv,Country:USA,Threat of civil unrest,1
cities.csv,Country:USA,Threat of civil unrest,2
cities.csv,Country:USA,Threat of civil unrest,1
cities.csv,Country:USA,Threat of civil unrest,1
cities.csv,Country:USA,Threat of civil unrest,1
cities.csv,Country:USA,Threat of civil unrest,1
cities.csv,Country:USA,Threat of civil unrest,2
cities.csv,Country:USA,Threat of civil unrest,2
