fileName,groupName,attributeName,attributeValue
cities.csv,English-speaking?:0,Threat of terrorism,4
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,1
cities.csv,English-speaking?:0,Threat of terrorism,4
cities.csv,English-speaking?:0,Threat of terrorism,4
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,3
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,1
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,3
cities.csv,English-speaking?:0,Threat of terrorism,3
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,3
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,1
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,3
cities.csv,English-speaking?:0,Threat of terrorism,1
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,1
cities.csv,English-speaking?:0,Threat of terrorism,1
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,3
cities.csv,English-speaking?:0,Threat of terrorism,3
cities.csv,English-speaking?:0,Threat of terrorism,3
cities.csv,English-speaking?:0,Threat of terrorism,4
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,1
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,4
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,1
cities.csv,English-speaking?:0,Threat of terrorism,1
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,1
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,1
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,1
cities.csv,English-speaking?:0,Threat of terrorism,3
cities.csv,English-speaking?:0,Threat of terrorism,4
cities.csv,English-speaking?:0,Threat of terrorism,4
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,5
cities.csv,English-speaking?:0,Threat of terrorism,4
cities.csv,English-speaking?:0,Threat of terrorism,1
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,4
cities.csv,English-speaking?:0,Threat of terrorism,3
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,1
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,1
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,3
cities.csv,English-speaking?:0,Threat of terrorism,1
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,1
cities.csv,English-speaking?:0,Threat of terrorism,3
cities.csv,English-speaking?:0,Threat of terrorism,3
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,3
cities.csv,English-speaking?:0,Threat of terrorism,3
cities.csv,English-speaking?:0,Threat of terrorism,1
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,1
cities.csv,English-speaking?:0,Threat of terrorism,1
cities.csv,English-speaking?:0,Threat of terrorism,1
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,3
cities.csv,English-speaking?:0,Threat of terrorism,1
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,1
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,1
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,3
cities.csv,English-speaking?:0,Threat of terrorism,1
cities.csv,English-speaking?:0,Threat of terrorism,1
cities.csv,English-speaking?:0,Threat of terrorism,1
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,1
cities.csv,English-speaking?:0,Threat of terrorism,1
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,3
cities.csv,English-speaking?:0,Threat of terrorism,1
cities.csv,English-speaking?:0,Threat of terrorism,1
cities.csv,English-speaking?:0,Threat of terrorism,1
cities.csv,English-speaking?:0,Threat of terrorism,3
cities.csv,English-speaking?:0,Threat of terrorism,3
cities.csv,English-speaking?:0,Threat of terrorism,5
cities.csv,English-speaking?:0,Threat of terrorism,1
cities.csv,English-speaking?:0,Threat of terrorism,2
cities.csv,English-speaking?:0,Threat of terrorism,3
cities.csv,English-speaking?:0,Threat of terrorism,3
cities.csv,English-speaking?:0,Threat of terrorism,1
cities.csv,English-speaking?:0,Threat of terrorism,1
cities.csv,English-speaking?:0,Threat of terrorism,1
cities.csv,English-speaking?:1,Threat of terrorism,2
cities.csv,English-speaking?:1,Threat of terrorism,1
cities.csv,English-speaking?:1,Threat of terrorism,2
cities.csv,English-speaking?:1,Threat of terrorism,1
cities.csv,English-speaking?:1,Threat of terrorism,1
cities.csv,English-speaking?:1,Threat of terrorism,2
cities.csv,English-speaking?:1,Threat of terrorism,2
cities.csv,English-speaking?:1,Threat of terrorism,2
cities.csv,English-speaking?:1,Threat of terrorism,2
cities.csv,English-speaking?:1,Threat of terrorism,2
cities.csv,English-speaking?:1,Threat of terrorism,2
cities.csv,English-speaking?:1,Threat of terrorism,3
cities.csv,English-speaking?:1,Threat of terrorism,2
cities.csv,English-speaking?:1,Threat of terrorism,2
cities.csv,English-speaking?:1,Threat of terrorism,3
cities.csv,English-speaking?:1,Threat of terrorism,1
cities.csv,English-speaking?:1,Threat of terrorism,2
cities.csv,English-speaking?:1,Threat of terrorism,2
cities.csv,English-speaking?:1,Threat of terrorism,3
cities.csv,English-speaking?:1,Threat of terrorism,1
cities.csv,English-speaking?:1,Threat of terrorism,2
cities.csv,English-speaking?:1,Threat of terrorism,2
cities.csv,English-speaking?:1,Threat of terrorism,1
cities.csv,English-speaking?:1,Threat of terrorism,2
cities.csv,English-speaking?:1,Threat of terrorism,1
cities.csv,English-speaking?:1,Threat of terrorism,1
cities.csv,English-speaking?:1,Threat of terrorism,1
cities.csv,English-speaking?:1,Threat of terrorism,2
cities.csv,English-speaking?:1,Threat of terrorism,1
