fileName,groupName,attributeName,attributeValue
colleges.csv,Completion Rate 150% time:high,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,22
colleges.csv,Completion Rate 150% time:high,ACT Median,0
colleges.csv,Completion Rate 150% time:high,ACT Median,27
colleges.csv,Completion Rate 150% time:high,ACT Median,0
colleges.csv,Completion Rate 150% time:high,ACT Median,25
colleges.csv,Completion Rate 150% time:high,ACT Median,25
colleges.csv,Completion Rate 150% time:high,ACT Median,26
colleges.csv,Completion Rate 150% time:high,ACT Median,25
colleges.csv,Completion Rate 150% time:high,ACT Median,28
colleges.csv,Completion Rate 150% time:high,ACT Median,32
colleges.csv,Completion Rate 150% time:high,ACT Median,23
colleges.csv,Completion Rate 150% time:high,ACT Median,23
colleges.csv,Completion Rate 150% time:high,ACT Median,26
colleges.csv,Completion Rate 150% time:high,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,25
colleges.csv,Completion Rate 150% time:high,ACT Median,25
colleges.csv,Completion Rate 150% time:high,ACT Median,0
colleges.csv,Completion Rate 150% time:high,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,23
colleges.csv,Completion Rate 150% time:high,ACT Median,0
colleges.csv,Completion Rate 150% time:high,ACT Median,27
colleges.csv,Completion Rate 150% time:high,ACT Median,23
colleges.csv,Completion Rate 150% time:high,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,0
colleges.csv,Completion Rate 150% time:high,ACT Median,22
colleges.csv,Completion Rate 150% time:high,ACT Median,25
colleges.csv,Completion Rate 150% time:high,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,28
colleges.csv,Completion Rate 150% time:high,ACT Median,24
colleges.csv,Completion Rate 150% time:high,ACT Median,22
colleges.csv,Completion Rate 150% time:high,ACT Median,0
colleges.csv,Completion Rate 150% time:high,ACT Median,30
colleges.csv,Completion Rate 150% time:high,ACT Median,0
colleges.csv,Completion Rate 150% time:high,ACT Median,27
colleges.csv,Completion Rate 150% time:high,ACT Median,25
colleges.csv,Completion Rate 150% time:high,ACT Median,27
colleges.csv,Completion Rate 150% time:high,ACT Median,27
colleges.csv,Completion Rate 150% time:high,ACT Median,25
