fileName,groupName,attributeName,attributeValue
cps3.csv,educ:low,age,25
cps3.csv,educ:low,age,37
cps3.csv,educ:low,age,38
cps3.csv,educ:low,age,39
cps3.csv,educ:low,age,41
cps3.csv,educ:low,age,34
cps3.csv,educ:low,age,42
cps3.csv,educ:low,age,25
cps3.csv,educ:low,age,28
cps3.csv,educ:low,age,35
cps3.csv,educ:low,age,27
cps3.csv,educ:low,age,27
cps3.csv,educ:low,age,47
cps3.csv,educ:low,age,27
cps3.csv,educ:low,age,36
cps3.csv,educ:low,age,39
cps3.csv,educ:low,age,21
cps3.csv,educ:low,age,25
cps3.csv,educ:low,age,45
cps3.csv,educ:low,age,33
cps3.csv,educ:low,age,49
cps3.csv,educ:low,age,40
cps3.csv,educ:low,age,25
cps3.csv,educ:low,age,33
cps3.csv,educ:low,age,29
cps3.csv,educ:low,age,39
cps3.csv,educ:low,age,29
cps3.csv,educ:low,age,25
cps3.csv,educ:low,age,35
cps3.csv,educ:low,age,22
cps3.csv,educ:low,age,31
cps3.csv,educ:low,age,47
cps3.csv,educ:low,age,26
cps3.csv,educ:low,age,42
cps3.csv,educ:low,age,28
cps3.csv,educ:low,age,25
cps3.csv,educ:low,age,38
cps3.csv,educ:low,age,38
cps3.csv,educ:low,age,23
cps3.csv,educ:low,age,19
cps3.csv,educ:low,age,48
cps3.csv,educ:low,age,16
cps3.csv,educ:low,age,29
cps3.csv,educ:low,age,22
cps3.csv,educ:low,age,47
cps3.csv,educ:low,age,47
cps3.csv,educ:low,age,50
cps3.csv,educ:low,age,28
cps3.csv,educ:low,age,42
cps3.csv,educ:low,age,27
cps3.csv,educ:low,age,24
cps3.csv,educ:low,age,23
cps3.csv,educ:low,age,20
cps3.csv,educ:low,age,39
cps3.csv,educ:low,age,36
cps3.csv,educ:low,age,19
cps3.csv,educ:low,age,42
cps3.csv,educ:low,age,20
cps3.csv,educ:low,age,43
cps3.csv,educ:low,age,24
cps3.csv,educ:low,age,52
cps3.csv,educ:low,age,35
cps3.csv,educ:low,age,17
cps3.csv,educ:low,age,18
cps3.csv,educ:low,age,50
cps3.csv,educ:low,age,48
cps3.csv,educ:low,age,17
cps3.csv,educ:low,age,30
cps3.csv,educ:low,age,25
cps3.csv,educ:low,age,17
cps3.csv,educ:low,age,39
cps3.csv,educ:low,age,18
cps3.csv,educ:low,age,20
cps3.csv,educ:low,age,21
cps3.csv,educ:low,age,17
cps3.csv,educ:low,age,17
cps3.csv,educ:low,age,18
cps3.csv,educ:low,age,53
cps3.csv,educ:low,age,17
cps3.csv,educ:low,age,39
cps3.csv,educ:low,age,18
cps3.csv,educ:low,age,28
cps3.csv,educ:low,age,32
cps3.csv,educ:low,age,40
cps3.csv,educ:low,age,29
cps3.csv,educ:low,age,31
cps3.csv,educ:low,age,46
cps3.csv,educ:low,age,20
cps3.csv,educ:low,age,16
cps3.csv,educ:low,age,16
cps3.csv,educ:low,age,16
cps3.csv,educ:low,age,28
cps3.csv,educ:low,age,19
cps3.csv,educ:low,age,16
cps3.csv,educ:low,age,35
cps3.csv,educ:low,age,32
cps3.csv,educ:low,age,17
cps3.csv,educ:low,age,16
cps3.csv,educ:low,age,50
cps3.csv,educ:low,age,18
cps3.csv,educ:low,age,39
cps3.csv,educ:low,age,17
cps3.csv,educ:low,age,24
cps3.csv,educ:low,age,19
cps3.csv,educ:low,age,52
cps3.csv,educ:low,age,16
cps3.csv,educ:low,age,36
cps3.csv,educ:low,age,41
cps3.csv,educ:low,age,18
cps3.csv,educ:low,age,39
cps3.csv,educ:low,age,19
cps3.csv,educ:low,age,16
cps3.csv,educ:low,age,16
cps3.csv,educ:low,age,21
cps3.csv,educ:low,age,17
cps3.csv,educ:low,age,21
cps3.csv,educ:low,age,18
cps3.csv,educ:low,age,16
cps3.csv,educ:low,age,20
cps3.csv,educ:low,age,42
cps3.csv,educ:low,age,17
cps3.csv,educ:low,age,19
cps3.csv,educ:low,age,17
cps3.csv,educ:low,age,16
cps3.csv,educ:low,age,16
cps3.csv,educ:low,age,46
cps3.csv,educ:low,age,32
cps3.csv,educ:low,age,18
cps3.csv,educ:low,age,19
cps3.csv,educ:low,age,16
cps3.csv,educ:low,age,26
cps3.csv,educ:low,age,16
cps3.csv,educ:low,age,17
cps3.csv,educ:low,age,17
cps3.csv,educ:low,age,23
cps3.csv,educ:low,age,17
cps3.csv,educ:low,age,49
cps3.csv,educ:low,age,20
cps3.csv,educ:low,age,19
cps3.csv,educ:low,age,16
cps3.csv,educ:low,age,22
cps3.csv,educ:low,age,47
cps3.csv,educ:low,age,22
cps3.csv,educ:low,age,30
cps3.csv,educ:low,age,27
cps3.csv,educ:low,age,55
cps3.csv,educ:low,age,24
cps3.csv,educ:low,age,20
cps3.csv,educ:low,age,23
cps3.csv,educ:low,age,29
cps3.csv,educ:low,age,24
cps3.csv,educ:low,age,18
cps3.csv,educ:low,age,45
cps3.csv,educ:low,age,19
cps3.csv,educ:low,age,19
cps3.csv,educ:low,age,26
cps3.csv,educ:low,age,26
cps3.csv,educ:low,age,20
cps3.csv,educ:low,age,20
cps3.csv,educ:low,age,17
cps3.csv,educ:low,age,55
cps3.csv,educ:low,age,28
cps3.csv,educ:low,age,37
cps3.csv,educ:low,age,16
cps3.csv,educ:low,age,17
cps3.csv,educ:low,age,50
cps3.csv,educ:low,age,19
cps3.csv,educ:low,age,36
cps3.csv,educ:low,age,16
cps3.csv,educ:low,age,55
cps3.csv,educ:low,age,16
cps3.csv,educ:low,age,16
cps3.csv,educ:low,age,18
cps3.csv,educ:low,age,16
cps3.csv,educ:low,age,16
cps3.csv,educ:low,age,20
cps3.csv,educ:low,age,17
cps3.csv,educ:low,age,16
cps3.csv,educ:low,age,30
cps3.csv,educ:low,age,31
cps3.csv,educ:low,age,55
cps3.csv,educ:low,age,16
cps3.csv,educ:low,age,17
cps3.csv,educ:low,age,34
cps3.csv,educ:low,age,16
cps3.csv,educ:low,age,17
cps3.csv,educ:low,age,37
cps3.csv,educ:low,age,17
cps3.csv,educ:low,age,16
cps3.csv,educ:low,age,55
cps3.csv,educ:low,age,16
cps3.csv,educ:low,age,17
cps3.csv,educ:low,age,18
cps3.csv,educ:low,age,17
cps3.csv,educ:low,age,17
cps3.csv,educ:low,age,43
cps3.csv,educ:low,age,16
cps3.csv,educ:low,age,51
cps3.csv,educ:low,age,39
cps3.csv,educ:low,age,55
cps3.csv,educ:low,age,16
cps3.csv,educ:low,age,27
cps3.csv,educ:low,age,24
cps3.csv,educ:low,age,32
cps3.csv,educ:low,age,16
cps3.csv,educ:high,age,30
cps3.csv,educ:high,age,26
cps3.csv,educ:high,age,25
cps3.csv,educ:high,age,42
cps3.csv,educ:high,age,32
cps3.csv,educ:high,age,20
cps3.csv,educ:high,age,31
cps3.csv,educ:high,age,29
cps3.csv,educ:high,age,22
cps3.csv,educ:high,age,40
