fileName,groupName,attributeName,attributeValue
cuckoos.csv,species:meadow.pipit,length,21.7
cuckoos.csv,species:meadow.pipit,length,22.6
cuckoos.csv,species:meadow.pipit,length,20.9
cuckoos.csv,species:meadow.pipit,length,21.6
cuckoos.csv,species:meadow.pipit,length,22.2
cuckoos.csv,species:meadow.pipit,length,22.5
cuckoos.csv,species:meadow.pipit,length,22.2
cuckoos.csv,species:meadow.pipit,length,24.3
cuckoos.csv,species:meadow.pipit,length,22.3
cuckoos.csv,species:meadow.pipit,length,22.6
cuckoos.csv,species:meadow.pipit,length,20.1
cuckoos.csv,species:meadow.pipit,length,22
cuckoos.csv,species:meadow.pipit,length,22.8
cuckoos.csv,species:meadow.pipit,length,22
cuckoos.csv,species:meadow.pipit,length,22.4
cuckoos.csv,species:meadow.pipit,length,22.3
cuckoos.csv,species:meadow.pipit,length,20.6
cuckoos.csv,species:meadow.pipit,length,22.1
cuckoos.csv,species:meadow.pipit,length,21.9
cuckoos.csv,species:meadow.pipit,length,23
cuckoos.csv,species:meadow.pipit,length,22
cuckoos.csv,species:meadow.pipit,length,22
cuckoos.csv,species:meadow.pipit,length,22.1
cuckoos.csv,species:meadow.pipit,length,22
cuckoos.csv,species:meadow.pipit,length,19.6
cuckoos.csv,species:meadow.pipit,length,22.8
cuckoos.csv,species:meadow.pipit,length,22
cuckoos.csv,species:meadow.pipit,length,23.4
cuckoos.csv,species:meadow.pipit,length,23.8
cuckoos.csv,species:meadow.pipit,length,23.3
cuckoos.csv,species:meadow.pipit,length,22.5
cuckoos.csv,species:meadow.pipit,length,22.3
cuckoos.csv,species:meadow.pipit,length,21.9
cuckoos.csv,species:meadow.pipit,length,22
cuckoos.csv,species:meadow.pipit,length,21.7
cuckoos.csv,species:meadow.pipit,length,23.3
cuckoos.csv,species:meadow.pipit,length,22.2
cuckoos.csv,species:meadow.pipit,length,22.3
cuckoos.csv,species:meadow.pipit,length,22.8
cuckoos.csv,species:meadow.pipit,length,22.9
cuckoos.csv,species:meadow.pipit,length,23.7
cuckoos.csv,species:meadow.pipit,length,22
cuckoos.csv,species:meadow.pipit,length,21.9
cuckoos.csv,species:meadow.pipit,length,22.2
cuckoos.csv,species:meadow.pipit,length,24.4
cuckoos.csv,species:hedge.sparrow,length,22
cuckoos.csv,species:hedge.sparrow,length,23.9
cuckoos.csv,species:hedge.sparrow,length,20.9
cuckoos.csv,species:hedge.sparrow,length,23.8
cuckoos.csv,species:hedge.sparrow,length,25
cuckoos.csv,species:hedge.sparrow,length,24
cuckoos.csv,species:hedge.sparrow,length,21.7
cuckoos.csv,species:hedge.sparrow,length,23.8
cuckoos.csv,species:hedge.sparrow,length,22.8
cuckoos.csv,species:hedge.sparrow,length,23.1
cuckoos.csv,species:hedge.sparrow,length,23.1
cuckoos.csv,species:hedge.sparrow,length,23.5
cuckoos.csv,species:hedge.sparrow,length,23
cuckoos.csv,species:hedge.sparrow,length,23
