fileName,groupName,attributeName,attributeValue
environmental.csv,temperature:low,ozone,41
environmental.csv,temperature:low,ozone,36
environmental.csv,temperature:low,ozone,12
environmental.csv,temperature:low,ozone,18
environmental.csv,temperature:low,ozone,23
environmental.csv,temperature:low,ozone,19
environmental.csv,temperature:low,ozone,8
environmental.csv,temperature:low,ozone,16
environmental.csv,temperature:low,ozone,11
environmental.csv,temperature:low,ozone,14
environmental.csv,temperature:low,ozone,18
environmental.csv,temperature:low,ozone,14
environmental.csv,temperature:low,ozone,34
environmental.csv,temperature:low,ozone,6
environmental.csv,temperature:low,ozone,30
environmental.csv,temperature:low,ozone,11
environmental.csv,temperature:low,ozone,1
environmental.csv,temperature:low,ozone,11
environmental.csv,temperature:low,ozone,4
environmental.csv,temperature:low,ozone,32
environmental.csv,temperature:low,ozone,23
environmental.csv,temperature:low,ozone,37
environmental.csv,temperature:low,ozone,21
environmental.csv,temperature:low,ozone,37
environmental.csv,temperature:low,ozone,20
environmental.csv,temperature:low,ozone,12
environmental.csv,temperature:low,ozone,13
environmental.csv,temperature:low,ozone,10
environmental.csv,temperature:low,ozone,16
environmental.csv,temperature:low,ozone,22
environmental.csv,temperature:low,ozone,23
environmental.csv,temperature:low,ozone,31
environmental.csv,temperature:low,ozone,44
environmental.csv,temperature:low,ozone,21
environmental.csv,temperature:low,ozone,9
environmental.csv,temperature:low,ozone,23
environmental.csv,temperature:low,ozone,21
environmental.csv,temperature:low,ozone,24
environmental.csv,temperature:low,ozone,21
environmental.csv,temperature:low,ozone,28
environmental.csv,temperature:low,ozone,9
environmental.csv,temperature:low,ozone,13
environmental.csv,temperature:low,ozone,46
environmental.csv,temperature:low,ozone,18
environmental.csv,temperature:low,ozone,13
environmental.csv,temperature:low,ozone,24
environmental.csv,temperature:low,ozone,13
environmental.csv,temperature:low,ozone,23
environmental.csv,temperature:low,ozone,7
environmental.csv,temperature:low,ozone,14
environmental.csv,temperature:low,ozone,30
environmental.csv,temperature:low,ozone,14
environmental.csv,temperature:low,ozone,18
environmental.csv,temperature:low,ozone,20
environmental.csv,temperature:high,ozone,45
environmental.csv,temperature:high,ozone,115
environmental.csv,temperature:high,ozone,29
environmental.csv,temperature:high,ozone,71
environmental.csv,temperature:high,ozone,39
environmental.csv,temperature:high,ozone,23
environmental.csv,temperature:high,ozone,135
environmental.csv,temperature:high,ozone,49
environmental.csv,temperature:high,ozone,32
environmental.csv,temperature:high,ozone,64
environmental.csv,temperature:high,ozone,40
environmental.csv,temperature:high,ozone,77
environmental.csv,temperature:high,ozone,97
environmental.csv,temperature:high,ozone,97
environmental.csv,temperature:high,ozone,85
environmental.csv,temperature:high,ozone,27
environmental.csv,temperature:high,ozone,7
environmental.csv,temperature:high,ozone,48
environmental.csv,temperature:high,ozone,35
environmental.csv,temperature:high,ozone,61
environmental.csv,temperature:high,ozone,79
environmental.csv,temperature:high,ozone,63
environmental.csv,temperature:high,ozone,80
environmental.csv,temperature:high,ozone,108
environmental.csv,temperature:high,ozone,20
environmental.csv,temperature:high,ozone,52
environmental.csv,temperature:high,ozone,82
environmental.csv,temperature:high,ozone,50
environmental.csv,temperature:high,ozone,64
environmental.csv,temperature:high,ozone,59
environmental.csv,temperature:high,ozone,39
environmental.csv,temperature:high,ozone,9
environmental.csv,temperature:high,ozone,16
environmental.csv,temperature:high,ozone,122
environmental.csv,temperature:high,ozone,89
environmental.csv,temperature:high,ozone,110
environmental.csv,temperature:high,ozone,44
environmental.csv,temperature:high,ozone,28
environmental.csv,temperature:high,ozone,65
environmental.csv,temperature:high,ozone,59
environmental.csv,temperature:high,ozone,45
environmental.csv,temperature:high,ozone,168
environmental.csv,temperature:high,ozone,73
environmental.csv,temperature:high,ozone,76
environmental.csv,temperature:high,ozone,118
environmental.csv,temperature:high,ozone,84
environmental.csv,temperature:high,ozone,85
environmental.csv,temperature:high,ozone,96
environmental.csv,temperature:high,ozone,78
environmental.csv,temperature:high,ozone,73
environmental.csv,temperature:high,ozone,91
environmental.csv,temperature:high,ozone,47
environmental.csv,temperature:high,ozone,32
environmental.csv,temperature:high,ozone,20
environmental.csv,temperature:high,ozone,44
environmental.csv,temperature:high,ozone,16
environmental.csv,temperature:high,ozone,36
