fileName,groupName,attributeName,attributeValue
environmental.csv,temperature:low,radiation,190
environmental.csv,temperature:low,radiation,118
environmental.csv,temperature:low,radiation,149
environmental.csv,temperature:low,radiation,313
environmental.csv,temperature:low,radiation,299
environmental.csv,temperature:low,radiation,99
environmental.csv,temperature:low,radiation,19
environmental.csv,temperature:low,radiation,256
environmental.csv,temperature:low,radiation,290
environmental.csv,temperature:low,radiation,274
environmental.csv,temperature:low,radiation,65
environmental.csv,temperature:low,radiation,334
environmental.csv,temperature:low,radiation,307
environmental.csv,temperature:low,radiation,78
environmental.csv,temperature:low,radiation,322
environmental.csv,temperature:low,radiation,44
environmental.csv,temperature:low,radiation,8
environmental.csv,temperature:low,radiation,320
environmental.csv,temperature:low,radiation,25
environmental.csv,temperature:low,radiation,92
environmental.csv,temperature:low,radiation,13
environmental.csv,temperature:low,radiation,279
environmental.csv,temperature:low,radiation,191
environmental.csv,temperature:low,radiation,284
environmental.csv,temperature:low,radiation,37
environmental.csv,temperature:low,radiation,120
environmental.csv,temperature:low,radiation,137
environmental.csv,temperature:low,radiation,264
environmental.csv,temperature:low,radiation,7
environmental.csv,temperature:low,radiation,71
environmental.csv,temperature:low,radiation,115
environmental.csv,temperature:low,radiation,244
environmental.csv,temperature:low,radiation,190
environmental.csv,temperature:low,radiation,259
environmental.csv,temperature:low,radiation,36
environmental.csv,temperature:low,radiation,220
environmental.csv,temperature:low,radiation,230
environmental.csv,temperature:low,radiation,259
environmental.csv,temperature:low,radiation,259
environmental.csv,temperature:low,radiation,238
environmental.csv,temperature:low,radiation,24
environmental.csv,temperature:low,radiation,112
environmental.csv,temperature:low,radiation,237
environmental.csv,temperature:low,radiation,224
environmental.csv,temperature:low,radiation,27
environmental.csv,temperature:low,radiation,238
environmental.csv,temperature:low,radiation,238
environmental.csv,temperature:low,radiation,14
environmental.csv,temperature:low,radiation,49
environmental.csv,temperature:low,radiation,20
environmental.csv,temperature:low,radiation,193
environmental.csv,temperature:low,radiation,191
environmental.csv,temperature:low,radiation,131
environmental.csv,temperature:low,radiation,223
environmental.csv,temperature:high,radiation,252
environmental.csv,temperature:high,radiation,223
environmental.csv,temperature:high,radiation,127
environmental.csv,temperature:high,radiation,291
environmental.csv,temperature:high,radiation,323
environmental.csv,temperature:high,radiation,148
environmental.csv,temperature:high,radiation,269
environmental.csv,temperature:high,radiation,248
environmental.csv,temperature:high,radiation,236
environmental.csv,temperature:high,radiation,175
environmental.csv,temperature:high,radiation,314
environmental.csv,temperature:high,radiation,276
environmental.csv,temperature:high,radiation,267
environmental.csv,temperature:high,radiation,272
environmental.csv,temperature:high,radiation,175
environmental.csv,temperature:high,radiation,175
environmental.csv,temperature:high,radiation,48
environmental.csv,temperature:high,radiation,260
environmental.csv,temperature:high,radiation,274
environmental.csv,temperature:high,radiation,285
environmental.csv,temperature:high,radiation,187
environmental.csv,temperature:high,radiation,220
environmental.csv,temperature:high,radiation,294
environmental.csv,temperature:high,radiation,223
environmental.csv,temperature:high,radiation,81
environmental.csv,temperature:high,radiation,82
environmental.csv,temperature:high,radiation,213
environmental.csv,temperature:high,radiation,275
environmental.csv,temperature:high,radiation,253
environmental.csv,temperature:high,radiation,254
environmental.csv,temperature:high,radiation,83
environmental.csv,temperature:high,radiation,24
environmental.csv,temperature:high,radiation,77
environmental.csv,temperature:high,radiation,255
environmental.csv,temperature:high,radiation,229
environmental.csv,temperature:high,radiation,207
environmental.csv,temperature:high,radiation,192
environmental.csv,temperature:high,radiation,273
environmental.csv,temperature:high,radiation,157
environmental.csv,temperature:high,radiation,51
environmental.csv,temperature:high,radiation,212
environmental.csv,temperature:high,radiation,238
environmental.csv,temperature:high,radiation,215
environmental.csv,temperature:high,radiation,203
environmental.csv,temperature:high,radiation,225
environmental.csv,temperature:high,radiation,237
environmental.csv,temperature:high,radiation,188
environmental.csv,temperature:high,radiation,167
environmental.csv,temperature:high,radiation,197
environmental.csv,temperature:high,radiation,183
environmental.csv,temperature:high,radiation,189
environmental.csv,temperature:high,radiation,95
environmental.csv,temperature:high,radiation,92
environmental.csv,temperature:high,radiation,252
environmental.csv,temperature:high,radiation,236
environmental.csv,temperature:high,radiation,201
environmental.csv,temperature:high,radiation,139
