fileName,groupName,attributeName,attributeValue
faithful.csv,eruptions:low,waiting,79
faithful.csv,eruptions:low,waiting,54
faithful.csv,eruptions:low,waiting,74
faithful.csv,eruptions:low,waiting,62
faithful.csv,eruptions:low,waiting,55
faithful.csv,eruptions:low,waiting,85
faithful.csv,eruptions:low,waiting,51
faithful.csv,eruptions:low,waiting,54
faithful.csv,eruptions:low,waiting,84
faithful.csv,eruptions:low,waiting,47
faithful.csv,eruptions:low,waiting,52
faithful.csv,eruptions:low,waiting,62
faithful.csv,eruptions:low,waiting,52
faithful.csv,eruptions:low,waiting,51
faithful.csv,eruptions:low,waiting,47
faithful.csv,eruptions:low,waiting,78
faithful.csv,eruptions:low,waiting,69
faithful.csv,eruptions:low,waiting,83
faithful.csv,eruptions:low,waiting,55
faithful.csv,eruptions:low,waiting,78
faithful.csv,eruptions:low,waiting,66
faithful.csv,eruptions:low,waiting,74
faithful.csv,eruptions:low,waiting,52
faithful.csv,eruptions:low,waiting,48
faithful.csv,eruptions:low,waiting,59
faithful.csv,eruptions:low,waiting,58
faithful.csv,eruptions:low,waiting,58
faithful.csv,eruptions:low,waiting,83
faithful.csv,eruptions:low,waiting,64
faithful.csv,eruptions:low,waiting,53
faithful.csv,eruptions:low,waiting,59
faithful.csv,eruptions:low,waiting,54
faithful.csv,eruptions:low,waiting,54
faithful.csv,eruptions:low,waiting,71
faithful.csv,eruptions:low,waiting,64
faithful.csv,eruptions:low,waiting,59
faithful.csv,eruptions:low,waiting,48
faithful.csv,eruptions:low,waiting,60
faithful.csv,eruptions:low,waiting,65
faithful.csv,eruptions:low,waiting,56
faithful.csv,eruptions:low,waiting,62
faithful.csv,eruptions:low,waiting,60
faithful.csv,eruptions:low,waiting,76
faithful.csv,eruptions:low,waiting,83
faithful.csv,eruptions:low,waiting,65
faithful.csv,eruptions:low,waiting,76
faithful.csv,eruptions:low,waiting,48
faithful.csv,eruptions:low,waiting,60
faithful.csv,eruptions:low,waiting,50
faithful.csv,eruptions:low,waiting,63
faithful.csv,eruptions:low,waiting,75
faithful.csv,eruptions:low,waiting,51
faithful.csv,eruptions:low,waiting,62
faithful.csv,eruptions:low,waiting,49
faithful.csv,eruptions:low,waiting,47
faithful.csv,eruptions:low,waiting,52
faithful.csv,eruptions:low,waiting,81
faithful.csv,eruptions:low,waiting,59
faithful.csv,eruptions:low,waiting,59
faithful.csv,eruptions:low,waiting,50
faithful.csv,eruptions:low,waiting,59
faithful.csv,eruptions:low,waiting,53
faithful.csv,eruptions:low,waiting,56
faithful.csv,eruptions:low,waiting,81
faithful.csv,eruptions:low,waiting,45
faithful.csv,eruptions:low,waiting,55
faithful.csv,eruptions:low,waiting,45
faithful.csv,eruptions:low,waiting,56
faithful.csv,eruptions:low,waiting,46
faithful.csv,eruptions:low,waiting,51
faithful.csv,eruptions:low,waiting,53
faithful.csv,eruptions:low,waiting,79
faithful.csv,eruptions:low,waiting,60
faithful.csv,eruptions:low,waiting,59
faithful.csv,eruptions:low,waiting,49
faithful.csv,eruptions:low,waiting,53
faithful.csv,eruptions:low,waiting,65
faithful.csv,eruptions:low,waiting,71
faithful.csv,eruptions:low,waiting,53
faithful.csv,eruptions:low,waiting,89
faithful.csv,eruptions:low,waiting,45
faithful.csv,eruptions:low,waiting,58
faithful.csv,eruptions:low,waiting,78
faithful.csv,eruptions:low,waiting,66
faithful.csv,eruptions:low,waiting,63
faithful.csv,eruptions:low,waiting,52
faithful.csv,eruptions:low,waiting,49
faithful.csv,eruptions:low,waiting,57
faithful.csv,eruptions:low,waiting,68
faithful.csv,eruptions:low,waiting,50
faithful.csv,eruptions:low,waiting,55
faithful.csv,eruptions:low,waiting,83
faithful.csv,eruptions:low,waiting,51
faithful.csv,eruptions:low,waiting,46
faithful.csv,eruptions:low,waiting,55
faithful.csv,eruptions:low,waiting,57
faithful.csv,eruptions:low,waiting,77
faithful.csv,eruptions:low,waiting,87
faithful.csv,eruptions:low,waiting,51
faithful.csv,eruptions:low,waiting,60
faithful.csv,eruptions:low,waiting,53
faithful.csv,eruptions:low,waiting,46
faithful.csv,eruptions:low,waiting,84
faithful.csv,eruptions:low,waiting,49
faithful.csv,eruptions:low,waiting,71
faithful.csv,eruptions:low,waiting,49
faithful.csv,eruptions:low,waiting,75
faithful.csv,eruptions:low,waiting,64
faithful.csv,eruptions:low,waiting,53
faithful.csv,eruptions:low,waiting,55
faithful.csv,eruptions:low,waiting,50
faithful.csv,eruptions:low,waiting,54
faithful.csv,eruptions:low,waiting,70
faithful.csv,eruptions:low,waiting,54
faithful.csv,eruptions:low,waiting,50
faithful.csv,eruptions:low,waiting,54
faithful.csv,eruptions:low,waiting,54
faithful.csv,eruptions:low,waiting,79
faithful.csv,eruptions:low,waiting,64
faithful.csv,eruptions:low,waiting,47
faithful.csv,eruptions:low,waiting,63
faithful.csv,eruptions:low,waiting,82
faithful.csv,eruptions:low,waiting,57
faithful.csv,eruptions:low,waiting,67
faithful.csv,eruptions:low,waiting,54
faithful.csv,eruptions:low,waiting,73
faithful.csv,eruptions:low,waiting,80
faithful.csv,eruptions:low,waiting,71
faithful.csv,eruptions:low,waiting,56
faithful.csv,eruptions:low,waiting,58
faithful.csv,eruptions:low,waiting,43
faithful.csv,eruptions:low,waiting,60
faithful.csv,eruptions:low,waiting,46
faithful.csv,eruptions:low,waiting,46
faithful.csv,eruptions:high,waiting,85
faithful.csv,eruptions:high,waiting,88
faithful.csv,eruptions:high,waiting,85
faithful.csv,eruptions:high,waiting,78
faithful.csv,eruptions:high,waiting,83
faithful.csv,eruptions:high,waiting,84
faithful.csv,eruptions:high,waiting,79
faithful.csv,eruptions:high,waiting,74
faithful.csv,eruptions:high,waiting,76
faithful.csv,eruptions:high,waiting,79
faithful.csv,eruptions:high,waiting,73
faithful.csv,eruptions:high,waiting,77
faithful.csv,eruptions:high,waiting,80
faithful.csv,eruptions:high,waiting,80
faithful.csv,eruptions:high,waiting,90
faithful.csv,eruptions:high,waiting,80
faithful.csv,eruptions:high,waiting,84
faithful.csv,eruptions:high,waiting,73
faithful.csv,eruptions:high,waiting,82
faithful.csv,eruptions:high,waiting,75
faithful.csv,eruptions:high,waiting,90
faithful.csv,eruptions:high,waiting,80
faithful.csv,eruptions:high,waiting,83
faithful.csv,eruptions:high,waiting,77
faithful.csv,eruptions:high,waiting,81
faithful.csv,eruptions:high,waiting,84
faithful.csv,eruptions:high,waiting,82
faithful.csv,eruptions:high,waiting,92
faithful.csv,eruptions:high,waiting,78
faithful.csv,eruptions:high,waiting,78
faithful.csv,eruptions:high,waiting,73
faithful.csv,eruptions:high,waiting,82
faithful.csv,eruptions:high,waiting,79
faithful.csv,eruptions:high,waiting,71
faithful.csv,eruptions:high,waiting,76
faithful.csv,eruptions:high,waiting,78
faithful.csv,eruptions:high,waiting,75
faithful.csv,eruptions:high,waiting,82
faithful.csv,eruptions:high,waiting,70
faithful.csv,eruptions:high,waiting,73
faithful.csv,eruptions:high,waiting,88
faithful.csv,eruptions:high,waiting,80
faithful.csv,eruptions:high,waiting,86
faithful.csv,eruptions:high,waiting,90
faithful.csv,eruptions:high,waiting,78
faithful.csv,eruptions:high,waiting,72
faithful.csv,eruptions:high,waiting,84
faithful.csv,eruptions:high,waiting,82
faithful.csv,eruptions:high,waiting,88
faithful.csv,eruptions:high,waiting,83
faithful.csv,eruptions:high,waiting,81
faithful.csv,eruptions:high,waiting,84
faithful.csv,eruptions:high,waiting,86
faithful.csv,eruptions:high,waiting,75
faithful.csv,eruptions:high,waiting,89
faithful.csv,eruptions:high,waiting,79
faithful.csv,eruptions:high,waiting,81
faithful.csv,eruptions:high,waiting,85
faithful.csv,eruptions:high,waiting,87
faithful.csv,eruptions:high,waiting,69
faithful.csv,eruptions:high,waiting,77
faithful.csv,eruptions:high,waiting,88
faithful.csv,eruptions:high,waiting,82
faithful.csv,eruptions:high,waiting,90
faithful.csv,eruptions:high,waiting,83
faithful.csv,eruptions:high,waiting,89
faithful.csv,eruptions:high,waiting,82
faithful.csv,eruptions:high,waiting,86
faithful.csv,eruptions:high,waiting,81
faithful.csv,eruptions:high,waiting,82
faithful.csv,eruptions:high,waiting,77
faithful.csv,eruptions:high,waiting,76
faithful.csv,eruptions:high,waiting,80
faithful.csv,eruptions:high,waiting,96
faithful.csv,eruptions:high,waiting,77
faithful.csv,eruptions:high,waiting,77
faithful.csv,eruptions:high,waiting,81
faithful.csv,eruptions:high,waiting,70
faithful.csv,eruptions:high,waiting,81
faithful.csv,eruptions:high,waiting,93
faithful.csv,eruptions:high,waiting,86
faithful.csv,eruptions:high,waiting,76
faithful.csv,eruptions:high,waiting,88
faithful.csv,eruptions:high,waiting,93
faithful.csv,eruptions:high,waiting,77
faithful.csv,eruptions:high,waiting,81
faithful.csv,eruptions:high,waiting,81
faithful.csv,eruptions:high,waiting,73
faithful.csv,eruptions:high,waiting,85
faithful.csv,eruptions:high,waiting,74
faithful.csv,eruptions:high,waiting,77
faithful.csv,eruptions:high,waiting,83
faithful.csv,eruptions:high,waiting,78
faithful.csv,eruptions:high,waiting,84
faithful.csv,eruptions:high,waiting,83
faithful.csv,eruptions:high,waiting,81
faithful.csv,eruptions:high,waiting,76
faithful.csv,eruptions:high,waiting,84
faithful.csv,eruptions:high,waiting,81
faithful.csv,eruptions:high,waiting,77
faithful.csv,eruptions:high,waiting,78
faithful.csv,eruptions:high,waiting,82
faithful.csv,eruptions:high,waiting,91
faithful.csv,eruptions:high,waiting,78
faithful.csv,eruptions:high,waiting,77
faithful.csv,eruptions:high,waiting,83
faithful.csv,eruptions:high,waiting,80
faithful.csv,eruptions:high,waiting,76
faithful.csv,eruptions:high,waiting,94
faithful.csv,eruptions:high,waiting,76
faithful.csv,eruptions:high,waiting,82
faithful.csv,eruptions:high,waiting,75
faithful.csv,eruptions:high,waiting,78
faithful.csv,eruptions:high,waiting,79
faithful.csv,eruptions:high,waiting,78
faithful.csv,eruptions:high,waiting,78
faithful.csv,eruptions:high,waiting,79
faithful.csv,eruptions:high,waiting,70
faithful.csv,eruptions:high,waiting,86
faithful.csv,eruptions:high,waiting,90
faithful.csv,eruptions:high,waiting,77
faithful.csv,eruptions:high,waiting,75
faithful.csv,eruptions:high,waiting,86
faithful.csv,eruptions:high,waiting,85
faithful.csv,eruptions:high,waiting,82
faithful.csv,eruptions:high,waiting,74
faithful.csv,eruptions:high,waiting,83
faithful.csv,eruptions:high,waiting,73
faithful.csv,eruptions:high,waiting,88
faithful.csv,eruptions:high,waiting,83
faithful.csv,eruptions:high,waiting,79
faithful.csv,eruptions:high,waiting,78
faithful.csv,eruptions:high,waiting,84
faithful.csv,eruptions:high,waiting,83
faithful.csv,eruptions:high,waiting,75
faithful.csv,eruptions:high,waiting,81
faithful.csv,eruptions:high,waiting,90
faithful.csv,eruptions:high,waiting,74
