fileName,groupName,attributeName,attributeValue
frogs.csv,NoOfPools:low,easting,1033
frogs.csv,NoOfPools:low,easting,1018
frogs.csv,NoOfPools:low,easting,1014
frogs.csv,NoOfPools:low,easting,1023
frogs.csv,NoOfPools:low,easting,1025
frogs.csv,NoOfPools:low,easting,1037
frogs.csv,NoOfPools:low,easting,1047
frogs.csv,NoOfPools:low,easting,1019
frogs.csv,NoOfPools:low,easting,1018
frogs.csv,NoOfPools:low,easting,1020
frogs.csv,NoOfPools:low,easting,1086
frogs.csv,NoOfPools:low,easting,1119
frogs.csv,NoOfPools:low,easting,1103
frogs.csv,NoOfPools:low,easting,1127
frogs.csv,NoOfPools:low,easting,1108
frogs.csv,NoOfPools:low,easting,1130
frogs.csv,NoOfPools:low,easting,1119
frogs.csv,NoOfPools:low,easting,1101
frogs.csv,NoOfPools:low,easting,1098
frogs.csv,NoOfPools:low,easting,1216
frogs.csv,NoOfPools:low,easting,1222
frogs.csv,NoOfPools:low,easting,1155
frogs.csv,NoOfPools:low,easting,1094
frogs.csv,NoOfPools:low,easting,1063
frogs.csv,NoOfPools:low,easting,1061
frogs.csv,NoOfPools:low,easting,1035
frogs.csv,NoOfPools:low,easting,1119
frogs.csv,NoOfPools:low,easting,1087
frogs.csv,NoOfPools:low,easting,1023
frogs.csv,NoOfPools:low,easting,955
frogs.csv,NoOfPools:low,easting,981
frogs.csv,NoOfPools:low,easting,1032
frogs.csv,NoOfPools:low,easting,916
frogs.csv,NoOfPools:low,easting,809
frogs.csv,NoOfPools:low,easting,809
frogs.csv,NoOfPools:low,easting,812
frogs.csv,NoOfPools:low,easting,942
frogs.csv,NoOfPools:low,easting,1010
frogs.csv,NoOfPools:low,easting,1005
frogs.csv,NoOfPools:low,easting,1079
frogs.csv,NoOfPools:low,easting,1084
frogs.csv,NoOfPools:low,easting,1089
frogs.csv,NoOfPools:low,easting,801
frogs.csv,NoOfPools:low,easting,803
frogs.csv,NoOfPools:low,easting,801
frogs.csv,NoOfPools:low,easting,1042
frogs.csv,NoOfPools:low,easting,1043
frogs.csv,NoOfPools:low,easting,1045
frogs.csv,NoOfPools:low,easting,986
frogs.csv,NoOfPools:low,easting,1092
frogs.csv,NoOfPools:low,easting,1098
frogs.csv,NoOfPools:low,easting,1096
frogs.csv,NoOfPools:low,easting,1142
frogs.csv,NoOfPools:low,easting,1139
frogs.csv,NoOfPools:low,easting,786
