fileName,groupName,attributeName,attributeValue
frogs.csv,meanmin:low,NoOfSites,3
frogs.csv,meanmin:low,NoOfSites,0
frogs.csv,meanmin:low,NoOfSites,4
frogs.csv,meanmin:low,NoOfSites,4
frogs.csv,meanmin:low,NoOfSites,3
frogs.csv,meanmin:low,NoOfSites,1
frogs.csv,meanmin:low,NoOfSites,4
frogs.csv,meanmin:low,NoOfSites,2
frogs.csv,meanmin:low,NoOfSites,3
frogs.csv,meanmin:low,NoOfSites,2
frogs.csv,meanmin:low,NoOfSites,6
frogs.csv,meanmin:low,NoOfSites,2
frogs.csv,meanmin:low,NoOfSites,5
frogs.csv,meanmin:low,NoOfSites,3
frogs.csv,meanmin:low,NoOfSites,4
frogs.csv,meanmin:low,NoOfSites,3
frogs.csv,meanmin:low,NoOfSites,3
frogs.csv,meanmin:low,NoOfSites,1
frogs.csv,meanmin:low,NoOfSites,2
frogs.csv,meanmin:low,NoOfSites,2
frogs.csv,meanmin:low,NoOfSites,5
frogs.csv,meanmin:low,NoOfSites,2
frogs.csv,meanmin:low,NoOfSites,1
frogs.csv,meanmin:low,NoOfSites,2
frogs.csv,meanmin:low,NoOfSites,6
frogs.csv,meanmin:low,NoOfSites,3
frogs.csv,meanmin:low,NoOfSites,1
frogs.csv,meanmin:low,NoOfSites,0
frogs.csv,meanmin:low,NoOfSites,4
frogs.csv,meanmin:low,NoOfSites,2
frogs.csv,meanmin:low,NoOfSites,1
frogs.csv,meanmin:low,NoOfSites,4
frogs.csv,meanmin:low,NoOfSites,0
frogs.csv,meanmin:low,NoOfSites,5
frogs.csv,meanmin:low,NoOfSites,2
frogs.csv,meanmin:low,NoOfSites,3
frogs.csv,meanmin:low,NoOfSites,7
frogs.csv,meanmin:low,NoOfSites,7
frogs.csv,meanmin:low,NoOfSites,6
frogs.csv,meanmin:low,NoOfSites,2
frogs.csv,meanmin:low,NoOfSites,4
frogs.csv,meanmin:low,NoOfSites,1
frogs.csv,meanmin:low,NoOfSites,1
frogs.csv,meanmin:low,NoOfSites,4
frogs.csv,meanmin:low,NoOfSites,4
frogs.csv,meanmin:low,NoOfSites,3
frogs.csv,meanmin:low,NoOfSites,3
frogs.csv,meanmin:low,NoOfSites,2
frogs.csv,meanmin:low,NoOfSites,3
frogs.csv,meanmin:low,NoOfSites,4
frogs.csv,meanmin:low,NoOfSites,4
frogs.csv,meanmin:low,NoOfSites,4
frogs.csv,meanmin:low,NoOfSites,2
frogs.csv,meanmin:low,NoOfSites,6
frogs.csv,meanmin:low,NoOfSites,3
frogs.csv,meanmin:low,NoOfSites,0
frogs.csv,meanmin:low,NoOfSites,4
frogs.csv,meanmin:low,NoOfSites,1
frogs.csv,meanmin:low,NoOfSites,1
frogs.csv,meanmin:low,NoOfSites,1
frogs.csv,meanmin:low,NoOfSites,4
frogs.csv,meanmin:low,NoOfSites,1
frogs.csv,meanmin:low,NoOfSites,1
frogs.csv,meanmin:low,NoOfSites,0
frogs.csv,meanmin:low,NoOfSites,1
frogs.csv,meanmin:low,NoOfSites,0
frogs.csv,meanmin:low,NoOfSites,3
frogs.csv,meanmin:low,NoOfSites,0
frogs.csv,meanmin:low,NoOfSites,1
frogs.csv,meanmin:low,NoOfSites,3
frogs.csv,meanmin:low,NoOfSites,5
frogs.csv,meanmin:low,NoOfSites,6
frogs.csv,meanmin:low,NoOfSites,7
frogs.csv,meanmin:low,NoOfSites,10
frogs.csv,meanmin:low,NoOfSites,4
frogs.csv,meanmin:low,NoOfSites,6
frogs.csv,meanmin:low,NoOfSites,4
frogs.csv,meanmin:low,NoOfSites,8
frogs.csv,meanmin:low,NoOfSites,7
frogs.csv,meanmin:low,NoOfSites,4
frogs.csv,meanmin:low,NoOfSites,3
frogs.csv,meanmin:low,NoOfSites,1
frogs.csv,meanmin:low,NoOfSites,1
frogs.csv,meanmin:low,NoOfSites,2
frogs.csv,meanmin:low,NoOfSites,0
frogs.csv,meanmin:low,NoOfSites,0
frogs.csv,meanmin:low,NoOfSites,0
frogs.csv,meanmin:low,NoOfSites,0
frogs.csv,meanmin:low,NoOfSites,1
frogs.csv,meanmin:low,NoOfSites,2
frogs.csv,meanmin:low,NoOfSites,2
frogs.csv,meanmin:low,NoOfSites,1
frogs.csv,meanmin:low,NoOfSites,0
frogs.csv,meanmin:low,NoOfSites,1
frogs.csv,meanmin:low,NoOfSites,2
frogs.csv,meanmin:low,NoOfSites,4
frogs.csv,meanmin:low,NoOfSites,3
frogs.csv,meanmin:low,NoOfSites,1
frogs.csv,meanmin:low,NoOfSites,0
frogs.csv,meanmin:low,NoOfSites,5
frogs.csv,meanmin:low,NoOfSites,5
frogs.csv,meanmin:low,NoOfSites,2
frogs.csv,meanmin:low,NoOfSites,0
frogs.csv,meanmin:low,NoOfSites,2
frogs.csv,meanmin:low,NoOfSites,0
frogs.csv,meanmin:low,NoOfSites,3
frogs.csv,meanmin:low,NoOfSites,1
frogs.csv,meanmin:high,NoOfSites,3
frogs.csv,meanmin:high,NoOfSites,5
frogs.csv,meanmin:high,NoOfSites,5
frogs.csv,meanmin:high,NoOfSites,5
frogs.csv,meanmin:high,NoOfSites,5
frogs.csv,meanmin:high,NoOfSites,4
frogs.csv,meanmin:high,NoOfSites,3
frogs.csv,meanmin:high,NoOfSites,2
frogs.csv,meanmin:high,NoOfSites,3
frogs.csv,meanmin:high,NoOfSites,4
frogs.csv,meanmin:high,NoOfSites,5
frogs.csv,meanmin:high,NoOfSites,3
frogs.csv,meanmin:high,NoOfSites,7
frogs.csv,meanmin:high,NoOfSites,5
frogs.csv,meanmin:high,NoOfSites,5
