fileName,groupName,attributeName,attributeValue
frogs.csv,meanmin:low,distance,750
frogs.csv,meanmin:low,distance,750
frogs.csv,meanmin:low,distance,500
frogs.csv,meanmin:low,distance,250
frogs.csv,meanmin:low,distance,250
frogs.csv,meanmin:low,distance,2000
frogs.csv,meanmin:low,distance,500
frogs.csv,meanmin:low,distance,1750
frogs.csv,meanmin:low,distance,1250
frogs.csv,meanmin:low,distance,2000
frogs.csv,meanmin:low,distance,750
frogs.csv,meanmin:low,distance,750
frogs.csv,meanmin:low,distance,1750
frogs.csv,meanmin:low,distance,2000
frogs.csv,meanmin:low,distance,500
frogs.csv,meanmin:low,distance,500
frogs.csv,meanmin:low,distance,2500
frogs.csv,meanmin:low,distance,2500
frogs.csv,meanmin:low,distance,8000
frogs.csv,meanmin:low,distance,1500
frogs.csv,meanmin:low,distance,2250
frogs.csv,meanmin:low,distance,1250
frogs.csv,meanmin:low,distance,1500
frogs.csv,meanmin:low,distance,2000
frogs.csv,meanmin:low,distance,1250
frogs.csv,meanmin:low,distance,1750
frogs.csv,meanmin:low,distance,3750
frogs.csv,meanmin:low,distance,2000
frogs.csv,meanmin:low,distance,750
frogs.csv,meanmin:low,distance,500
frogs.csv,meanmin:low,distance,1500
frogs.csv,meanmin:low,distance,1250
frogs.csv,meanmin:low,distance,2000
frogs.csv,meanmin:low,distance,2500
frogs.csv,meanmin:low,distance,500
frogs.csv,meanmin:low,distance,1500
frogs.csv,meanmin:low,distance,750
frogs.csv,meanmin:low,distance,1250
frogs.csv,meanmin:low,distance,1000
frogs.csv,meanmin:low,distance,250
frogs.csv,meanmin:low,distance,750
frogs.csv,meanmin:low,distance,4500
frogs.csv,meanmin:low,distance,5750
frogs.csv,meanmin:low,distance,1500
frogs.csv,meanmin:low,distance,1750
frogs.csv,meanmin:low,distance,1750
frogs.csv,meanmin:low,distance,250
frogs.csv,meanmin:low,distance,1250
frogs.csv,meanmin:low,distance,1000
frogs.csv,meanmin:low,distance,500
frogs.csv,meanmin:low,distance,1250
frogs.csv,meanmin:low,distance,1250
frogs.csv,meanmin:low,distance,1500
frogs.csv,meanmin:low,distance,1250
frogs.csv,meanmin:low,distance,2500
frogs.csv,meanmin:low,distance,12000
frogs.csv,meanmin:low,distance,500
frogs.csv,meanmin:low,distance,4000
frogs.csv,meanmin:low,distance,5250
frogs.csv,meanmin:low,distance,8000
frogs.csv,meanmin:low,distance,9000
frogs.csv,meanmin:low,distance,1750
frogs.csv,meanmin:low,distance,2500
frogs.csv,meanmin:low,distance,2000
frogs.csv,meanmin:low,distance,1000
frogs.csv,meanmin:low,distance,4000
frogs.csv,meanmin:low,distance,9000
frogs.csv,meanmin:low,distance,10000
frogs.csv,meanmin:low,distance,9500
frogs.csv,meanmin:low,distance,8500
frogs.csv,meanmin:low,distance,500
frogs.csv,meanmin:low,distance,1750
frogs.csv,meanmin:low,distance,1000
frogs.csv,meanmin:low,distance,750
frogs.csv,meanmin:low,distance,750
frogs.csv,meanmin:low,distance,250
frogs.csv,meanmin:low,distance,500
frogs.csv,meanmin:low,distance,1000
frogs.csv,meanmin:low,distance,500
frogs.csv,meanmin:low,distance,500
frogs.csv,meanmin:low,distance,750
frogs.csv,meanmin:low,distance,1250
frogs.csv,meanmin:low,distance,1250
frogs.csv,meanmin:low,distance,1000
frogs.csv,meanmin:low,distance,14000
frogs.csv,meanmin:low,distance,18000
frogs.csv,meanmin:low,distance,1500
frogs.csv,meanmin:low,distance,1500
frogs.csv,meanmin:low,distance,2000
frogs.csv,meanmin:low,distance,2500
frogs.csv,meanmin:low,distance,1750
frogs.csv,meanmin:low,distance,2250
frogs.csv,meanmin:low,distance,3250
frogs.csv,meanmin:low,distance,2000
frogs.csv,meanmin:low,distance,1000
frogs.csv,meanmin:low,distance,750
frogs.csv,meanmin:low,distance,750
frogs.csv,meanmin:low,distance,500
frogs.csv,meanmin:low,distance,1500
frogs.csv,meanmin:low,distance,750
frogs.csv,meanmin:low,distance,750
frogs.csv,meanmin:low,distance,1500
frogs.csv,meanmin:low,distance,2000
frogs.csv,meanmin:low,distance,1500
frogs.csv,meanmin:low,distance,8000
frogs.csv,meanmin:low,distance,9000
frogs.csv,meanmin:low,distance,9500
frogs.csv,meanmin:high,distance,500
frogs.csv,meanmin:high,distance,250
frogs.csv,meanmin:high,distance,250
frogs.csv,meanmin:high,distance,250
frogs.csv,meanmin:high,distance,250
frogs.csv,meanmin:high,distance,500
frogs.csv,meanmin:high,distance,250
frogs.csv,meanmin:high,distance,750
frogs.csv,meanmin:high,distance,250
frogs.csv,meanmin:high,distance,250
frogs.csv,meanmin:high,distance,500
frogs.csv,meanmin:high,distance,500
frogs.csv,meanmin:high,distance,750
frogs.csv,meanmin:high,distance,250
frogs.csv,meanmin:high,distance,250
frogs.csv,meanmin:high,distance,500
frogs.csv,meanmin:high,distance,500
frogs.csv,meanmin:high,distance,500
frogs.csv,meanmin:high,distance,250
frogs.csv,meanmin:high,distance,250
frogs.csv,meanmin:high,distance,250
frogs.csv,meanmin:high,distance,500
frogs.csv,meanmin:high,distance,500
frogs.csv,meanmin:high,distance,250
frogs.csv,meanmin:high,distance,250
frogs.csv,meanmin:high,distance,500
frogs.csv,meanmin:high,distance,250
frogs.csv,meanmin:high,distance,250
frogs.csv,meanmin:high,distance,250
frogs.csv,meanmin:high,distance,750
frogs.csv,meanmin:high,distance,3250
frogs.csv,meanmin:high,distance,750
frogs.csv,meanmin:high,distance,3250
frogs.csv,meanmin:high,distance,1000
frogs.csv,meanmin:high,distance,500
frogs.csv,meanmin:high,distance,1000
frogs.csv,meanmin:high,distance,500
frogs.csv,meanmin:high,distance,500
frogs.csv,meanmin:high,distance,500
frogs.csv,meanmin:high,distance,500
frogs.csv,meanmin:high,distance,500
frogs.csv,meanmin:high,distance,500
frogs.csv,meanmin:high,distance,500
frogs.csv,meanmin:high,distance,500
frogs.csv,meanmin:high,distance,1250
frogs.csv,meanmin:high,distance,500
frogs.csv,meanmin:high,distance,500
frogs.csv,meanmin:high,distance,250
frogs.csv,meanmin:high,distance,250
frogs.csv,meanmin:high,distance,250
frogs.csv,meanmin:high,distance,500
frogs.csv,meanmin:high,distance,500
frogs.csv,meanmin:high,distance,750
frogs.csv,meanmin:high,distance,1250
frogs.csv,meanmin:high,distance,1500
frogs.csv,meanmin:high,distance,500
frogs.csv,meanmin:high,distance,750
frogs.csv,meanmin:high,distance,5750
frogs.csv,meanmin:high,distance,2500
frogs.csv,meanmin:high,distance,250
frogs.csv,meanmin:high,distance,1750
frogs.csv,meanmin:high,distance,5250
