fileName,groupName,attributeName,attributeValue
frogs.csv,meanmin:low,easting,995
frogs.csv,meanmin:low,easting,1009
frogs.csv,meanmin:low,easting,991
frogs.csv,meanmin:low,easting,1043
frogs.csv,meanmin:low,easting,1042
frogs.csv,meanmin:low,easting,1023
frogs.csv,meanmin:low,easting,995
frogs.csv,meanmin:low,easting,955
frogs.csv,meanmin:low,easting,981
frogs.csv,meanmin:low,easting,1014
frogs.csv,meanmin:low,easting,1008
frogs.csv,meanmin:low,easting,1006
frogs.csv,meanmin:low,easting,1032
frogs.csv,meanmin:low,easting,1009
frogs.csv,meanmin:low,easting,1026
frogs.csv,meanmin:low,easting,1030
frogs.csv,meanmin:low,easting,916
frogs.csv,meanmin:low,easting,891
frogs.csv,meanmin:low,easting,821
frogs.csv,meanmin:low,easting,897
frogs.csv,meanmin:low,easting,802
frogs.csv,meanmin:low,easting,972
frogs.csv,meanmin:low,easting,977
frogs.csv,meanmin:low,easting,809
frogs.csv,meanmin:low,easting,809
frogs.csv,meanmin:low,easting,812
frogs.csv,meanmin:low,easting,935
frogs.csv,meanmin:low,easting,932
frogs.csv,meanmin:low,easting,908
frogs.csv,meanmin:low,easting,886
frogs.csv,meanmin:low,easting,877
frogs.csv,meanmin:low,easting,904
frogs.csv,meanmin:low,easting,876
frogs.csv,meanmin:low,easting,915
frogs.csv,meanmin:low,easting,920
frogs.csv,meanmin:low,easting,900
frogs.csv,meanmin:low,easting,1012
frogs.csv,meanmin:low,easting,1015
frogs.csv,meanmin:low,easting,1010
frogs.csv,meanmin:low,easting,1006
frogs.csv,meanmin:low,easting,1005
frogs.csv,meanmin:low,easting,1079
frogs.csv,meanmin:low,easting,1089
frogs.csv,meanmin:low,easting,801
frogs.csv,meanmin:low,easting,803
frogs.csv,meanmin:low,easting,801
frogs.csv,meanmin:low,easting,818
frogs.csv,meanmin:low,easting,832
frogs.csv,meanmin:low,easting,831
frogs.csv,meanmin:low,easting,825
frogs.csv,meanmin:low,easting,1042
frogs.csv,meanmin:low,easting,1043
frogs.csv,meanmin:low,easting,1045
frogs.csv,meanmin:low,easting,1042
frogs.csv,meanmin:low,easting,986
frogs.csv,meanmin:low,easting,717
frogs.csv,meanmin:low,easting,1003
frogs.csv,meanmin:low,easting,786
frogs.csv,meanmin:low,easting,775
frogs.csv,meanmin:low,easting,740
frogs.csv,meanmin:low,easting,730
frogs.csv,meanmin:low,easting,977
frogs.csv,meanmin:low,easting,998
frogs.csv,meanmin:low,easting,937
frogs.csv,meanmin:low,easting,947
frogs.csv,meanmin:low,easting,824
frogs.csv,meanmin:low,easting,730
frogs.csv,meanmin:low,easting,718
frogs.csv,meanmin:low,easting,729
frogs.csv,meanmin:low,easting,735
frogs.csv,meanmin:low,easting,1031
frogs.csv,meanmin:low,easting,1021
frogs.csv,meanmin:low,easting,1022
frogs.csv,meanmin:low,easting,1014
frogs.csv,meanmin:low,easting,1015
frogs.csv,meanmin:low,easting,1034
frogs.csv,meanmin:low,easting,1022
frogs.csv,meanmin:low,easting,1012
frogs.csv,meanmin:low,easting,1024
frogs.csv,meanmin:low,easting,1043
frogs.csv,meanmin:low,easting,1034
frogs.csv,meanmin:low,easting,1017
frogs.csv,meanmin:low,easting,958
frogs.csv,meanmin:low,easting,1012
frogs.csv,meanmin:low,easting,707
frogs.csv,meanmin:low,easting,673
frogs.csv,meanmin:low,easting,962
frogs.csv,meanmin:low,easting,998
frogs.csv,meanmin:low,easting,988
frogs.csv,meanmin:low,easting,984
frogs.csv,meanmin:low,easting,990
frogs.csv,meanmin:low,easting,985
frogs.csv,meanmin:low,easting,978
frogs.csv,meanmin:low,easting,995
frogs.csv,meanmin:low,easting,1002
frogs.csv,meanmin:low,easting,1017
frogs.csv,meanmin:low,easting,984
frogs.csv,meanmin:low,easting,1000
frogs.csv,meanmin:low,easting,968
frogs.csv,meanmin:low,easting,998
frogs.csv,meanmin:low,easting,988
frogs.csv,meanmin:low,easting,1008
frogs.csv,meanmin:low,easting,1033
frogs.csv,meanmin:low,easting,1046
frogs.csv,meanmin:low,easting,730
frogs.csv,meanmin:low,easting,730
frogs.csv,meanmin:low,easting,729
frogs.csv,meanmin:high,easting,1047
frogs.csv,meanmin:high,easting,1042
frogs.csv,meanmin:high,easting,1040
frogs.csv,meanmin:high,easting,1033
frogs.csv,meanmin:high,easting,1032
frogs.csv,meanmin:high,easting,1018
frogs.csv,meanmin:high,easting,1015
frogs.csv,meanmin:high,easting,1014
frogs.csv,meanmin:high,easting,1023
frogs.csv,meanmin:high,easting,1025
frogs.csv,meanmin:high,easting,1037
frogs.csv,meanmin:high,easting,1047
frogs.csv,meanmin:high,easting,1019
frogs.csv,meanmin:high,easting,1018
frogs.csv,meanmin:high,easting,1020
frogs.csv,meanmin:high,easting,1090
frogs.csv,meanmin:high,easting,1086
frogs.csv,meanmin:high,easting,1119
frogs.csv,meanmin:high,easting,1117
frogs.csv,meanmin:high,easting,1100
frogs.csv,meanmin:high,easting,1103
frogs.csv,meanmin:high,easting,1127
frogs.csv,meanmin:high,easting,1108
frogs.csv,meanmin:high,easting,1105
frogs.csv,meanmin:high,easting,1108
frogs.csv,meanmin:high,easting,1130
frogs.csv,meanmin:high,easting,1119
frogs.csv,meanmin:high,easting,1101
frogs.csv,meanmin:high,easting,1098
frogs.csv,meanmin:high,easting,1216
frogs.csv,meanmin:high,easting,1182
frogs.csv,meanmin:high,easting,1222
frogs.csv,meanmin:high,easting,1155
frogs.csv,meanmin:high,easting,1092
frogs.csv,meanmin:high,easting,1094
frogs.csv,meanmin:high,easting,1072
frogs.csv,meanmin:high,easting,1082
frogs.csv,meanmin:high,easting,1066
frogs.csv,meanmin:high,easting,1063
frogs.csv,meanmin:high,easting,1061
frogs.csv,meanmin:high,easting,1070
frogs.csv,meanmin:high,easting,1085
frogs.csv,meanmin:high,easting,1089
frogs.csv,meanmin:high,easting,1088
frogs.csv,meanmin:high,easting,1007
frogs.csv,meanmin:high,easting,1053
frogs.csv,meanmin:high,easting,1050
frogs.csv,meanmin:high,easting,1039
frogs.csv,meanmin:high,easting,1037
frogs.csv,meanmin:high,easting,1035
frogs.csv,meanmin:high,easting,1017
frogs.csv,meanmin:high,easting,1020
frogs.csv,meanmin:high,easting,1002
frogs.csv,meanmin:high,easting,1106
frogs.csv,meanmin:high,easting,1119
frogs.csv,meanmin:high,easting,1092
frogs.csv,meanmin:high,easting,1087
frogs.csv,meanmin:high,easting,1086
frogs.csv,meanmin:high,easting,942
frogs.csv,meanmin:high,easting,1026
frogs.csv,meanmin:high,easting,1142
frogs.csv,meanmin:high,easting,1084
frogs.csv,meanmin:high,easting,1033
frogs.csv,meanmin:high,easting,1092
frogs.csv,meanmin:high,easting,1098
frogs.csv,meanmin:high,easting,1090
frogs.csv,meanmin:high,easting,1096
frogs.csv,meanmin:high,easting,1142
frogs.csv,meanmin:high,easting,1139
frogs.csv,meanmin:high,easting,1096
frogs.csv,meanmin:high,easting,1112
frogs.csv,meanmin:high,easting,1121
frogs.csv,meanmin:high,easting,1125
frogs.csv,meanmin:high,easting,1124
frogs.csv,meanmin:high,easting,1131
frogs.csv,meanmin:high,easting,1093
frogs.csv,meanmin:high,easting,945
frogs.csv,meanmin:high,easting,954
frogs.csv,meanmin:high,easting,955
frogs.csv,meanmin:high,easting,988
frogs.csv,meanmin:high,easting,1107
frogs.csv,meanmin:high,easting,1113
frogs.csv,meanmin:high,easting,1112
frogs.csv,meanmin:high,easting,1109
frogs.csv,meanmin:high,easting,1110
frogs.csv,meanmin:high,easting,1118
frogs.csv,meanmin:high,easting,1075
frogs.csv,meanmin:high,easting,1065
frogs.csv,meanmin:high,easting,1045
frogs.csv,meanmin:high,easting,1045
frogs.csv,meanmin:high,easting,1043
frogs.csv,meanmin:high,easting,1047
frogs.csv,meanmin:high,easting,1024
frogs.csv,meanmin:high,easting,1026
frogs.csv,meanmin:high,easting,1093
frogs.csv,meanmin:high,easting,1016
frogs.csv,meanmin:high,easting,1097
frogs.csv,meanmin:high,easting,1219
frogs.csv,meanmin:high,easting,1120
frogs.csv,meanmin:high,easting,1130
frogs.csv,meanmin:high,easting,1003
frogs.csv,meanmin:high,easting,1092
frogs.csv,meanmin:high,easting,1051
frogs.csv,meanmin:high,easting,1047
frogs.csv,meanmin:high,easting,1108
