fileName,groupName,attributeName,attributeValue
gilgais.csv,pH80:low,e00,20
gilgais.csv,pH80:low,e00,11
gilgais.csv,pH80:low,e00,55
gilgais.csv,pH80:low,e00,20
gilgais.csv,pH80:low,e00,90
gilgais.csv,pH80:low,e00,11
gilgais.csv,pH80:low,e00,10
gilgais.csv,pH80:low,e00,23
gilgais.csv,pH80:low,e00,15
gilgais.csv,pH80:low,e00,19
gilgais.csv,pH80:low,e00,11
gilgais.csv,pH80:low,e00,16
gilgais.csv,pH80:low,e00,27
gilgais.csv,pH80:low,e00,18
gilgais.csv,pH80:low,e00,27
gilgais.csv,pH80:low,e00,47
gilgais.csv,pH80:low,e00,7
gilgais.csv,pH80:low,e00,22
gilgais.csv,pH80:low,e00,30
gilgais.csv,pH80:low,e00,16
gilgais.csv,pH80:low,e00,28
gilgais.csv,pH80:low,e00,20
gilgais.csv,pH80:low,e00,13
gilgais.csv,pH80:low,e00,18
gilgais.csv,pH80:low,e00,38
gilgais.csv,pH80:low,e00,90
gilgais.csv,pH80:low,e00,20
gilgais.csv,pH80:low,e00,27
gilgais.csv,pH80:low,e00,8
gilgais.csv,pH80:low,e00,16
gilgais.csv,pH80:low,e00,76
gilgais.csv,pH80:low,e00,5
gilgais.csv,pH80:low,e00,10
gilgais.csv,pH80:low,e00,14
gilgais.csv,pH80:low,e00,13
gilgais.csv,pH80:low,e00,12
gilgais.csv,pH80:low,e00,20
gilgais.csv,pH80:low,e00,5
gilgais.csv,pH80:low,e00,58
gilgais.csv,pH80:low,e00,22
gilgais.csv,pH80:low,e00,16
gilgais.csv,pH80:low,e00,15
gilgais.csv,pH80:low,e00,9
gilgais.csv,pH80:low,e00,14
gilgais.csv,pH80:low,e00,19
gilgais.csv,pH80:low,e00,15
gilgais.csv,pH80:low,e00,9
gilgais.csv,pH80:low,e00,24
gilgais.csv,pH80:low,e00,9
gilgais.csv,pH80:low,e00,7
gilgais.csv,pH80:low,e00,7
gilgais.csv,pH80:low,e00,5
