fileName,groupName,attributeName,attributeValue
iris.csv,Species:setosa,Sepal.Width,3.5
iris.csv,Species:setosa,Sepal.Width,3
iris.csv,Species:setosa,Sepal.Width,3.2
iris.csv,Species:setosa,Sepal.Width,3.1
iris.csv,Species:setosa,Sepal.Width,3.6
iris.csv,Species:setosa,Sepal.Width,3.9
iris.csv,Species:setosa,Sepal.Width,3.4
iris.csv,Species:setosa,Sepal.Width,3.4
iris.csv,Species:setosa,Sepal.Width,2.9
iris.csv,Species:setosa,Sepal.Width,3.1
iris.csv,Species:setosa,Sepal.Width,3.7
iris.csv,Species:setosa,Sepal.Width,3.4
iris.csv,Species:setosa,Sepal.Width,3
iris.csv,Species:setosa,Sepal.Width,3
iris.csv,Species:setosa,Sepal.Width,4
iris.csv,Species:setosa,Sepal.Width,4.4
iris.csv,Species:setosa,Sepal.Width,3.9
iris.csv,Species:setosa,Sepal.Width,3.5
iris.csv,Species:setosa,Sepal.Width,3.8
iris.csv,Species:setosa,Sepal.Width,3.8
iris.csv,Species:setosa,Sepal.Width,3.4
iris.csv,Species:setosa,Sepal.Width,3.7
iris.csv,Species:setosa,Sepal.Width,3.6
iris.csv,Species:setosa,Sepal.Width,3.3
iris.csv,Species:setosa,Sepal.Width,3.4
iris.csv,Species:setosa,Sepal.Width,3
iris.csv,Species:setosa,Sepal.Width,3.4
iris.csv,Species:setosa,Sepal.Width,3.5
iris.csv,Species:setosa,Sepal.Width,3.4
iris.csv,Species:setosa,Sepal.Width,3.2
iris.csv,Species:setosa,Sepal.Width,3.1
iris.csv,Species:setosa,Sepal.Width,3.4
iris.csv,Species:setosa,Sepal.Width,4.1
iris.csv,Species:setosa,Sepal.Width,4.2
iris.csv,Species:setosa,Sepal.Width,3.1
iris.csv,Species:setosa,Sepal.Width,3.2
iris.csv,Species:setosa,Sepal.Width,3.5
iris.csv,Species:setosa,Sepal.Width,3.6
iris.csv,Species:setosa,Sepal.Width,3
iris.csv,Species:setosa,Sepal.Width,3.4
iris.csv,Species:setosa,Sepal.Width,3.5
iris.csv,Species:setosa,Sepal.Width,2.3
iris.csv,Species:setosa,Sepal.Width,3.2
iris.csv,Species:setosa,Sepal.Width,3.5
iris.csv,Species:setosa,Sepal.Width,3.8
iris.csv,Species:setosa,Sepal.Width,3
iris.csv,Species:setosa,Sepal.Width,3.8
iris.csv,Species:setosa,Sepal.Width,3.2
iris.csv,Species:setosa,Sepal.Width,3.7
iris.csv,Species:setosa,Sepal.Width,3.3
iris.csv,Species:virginica,Sepal.Width,3.3
iris.csv,Species:virginica,Sepal.Width,2.7
iris.csv,Species:virginica,Sepal.Width,3
iris.csv,Species:virginica,Sepal.Width,2.9
iris.csv,Species:virginica,Sepal.Width,3
iris.csv,Species:virginica,Sepal.Width,3
iris.csv,Species:virginica,Sepal.Width,2.5
iris.csv,Species:virginica,Sepal.Width,2.9
iris.csv,Species:virginica,Sepal.Width,2.5
iris.csv,Species:virginica,Sepal.Width,3.6
iris.csv,Species:virginica,Sepal.Width,3.2
iris.csv,Species:virginica,Sepal.Width,2.7
iris.csv,Species:virginica,Sepal.Width,3
iris.csv,Species:virginica,Sepal.Width,2.5
iris.csv,Species:virginica,Sepal.Width,2.8
iris.csv,Species:virginica,Sepal.Width,3.2
iris.csv,Species:virginica,Sepal.Width,3
iris.csv,Species:virginica,Sepal.Width,3.8
iris.csv,Species:virginica,Sepal.Width,2.6
iris.csv,Species:virginica,Sepal.Width,2.2
iris.csv,Species:virginica,Sepal.Width,3.2
iris.csv,Species:virginica,Sepal.Width,2.8
iris.csv,Species:virginica,Sepal.Width,2.8
iris.csv,Species:virginica,Sepal.Width,2.7
iris.csv,Species:virginica,Sepal.Width,3.3
iris.csv,Species:virginica,Sepal.Width,3.2
iris.csv,Species:virginica,Sepal.Width,2.8
iris.csv,Species:virginica,Sepal.Width,3
iris.csv,Species:virginica,Sepal.Width,2.8
iris.csv,Species:virginica,Sepal.Width,3
iris.csv,Species:virginica,Sepal.Width,2.8
iris.csv,Species:virginica,Sepal.Width,3.8
iris.csv,Species:virginica,Sepal.Width,2.8
iris.csv,Species:virginica,Sepal.Width,2.8
iris.csv,Species:virginica,Sepal.Width,2.6
iris.csv,Species:virginica,Sepal.Width,3
iris.csv,Species:virginica,Sepal.Width,3.4
iris.csv,Species:virginica,Sepal.Width,3.1
iris.csv,Species:virginica,Sepal.Width,3
iris.csv,Species:virginica,Sepal.Width,3.1
iris.csv,Species:virginica,Sepal.Width,3.1
iris.csv,Species:virginica,Sepal.Width,3.1
iris.csv,Species:virginica,Sepal.Width,2.7
iris.csv,Species:virginica,Sepal.Width,3.2
iris.csv,Species:virginica,Sepal.Width,3.3
iris.csv,Species:virginica,Sepal.Width,3
iris.csv,Species:virginica,Sepal.Width,2.5
iris.csv,Species:virginica,Sepal.Width,3
iris.csv,Species:virginica,Sepal.Width,3.4
iris.csv,Species:virginica,Sepal.Width,3
