fileName,groupName,attributeName,attributeValue
loti.csv,Year:low,Apr,-31
loti.csv,Year:low,Apr,-6
loti.csv,Year:low,Apr,-31
loti.csv,Year:low,Apr,-22
loti.csv,Year:low,Apr,-40
loti.csv,Year:low,Apr,-42
loti.csv,Year:low,Apr,-21
loti.csv,Year:low,Apr,-42
loti.csv,Year:low,Apr,-35
loti.csv,Year:low,Apr,-4
loti.csv,Year:low,Apr,-36
loti.csv,Year:low,Apr,-31
loti.csv,Year:low,Apr,-44
loti.csv,Year:low,Apr,-36
loti.csv,Year:low,Apr,-43
loti.csv,Year:low,Apr,-26
loti.csv,Year:low,Apr,-37
loti.csv,Year:low,Apr,-6
loti.csv,Year:low,Apr,-27
loti.csv,Year:low,Apr,-16
loti.csv,Year:low,Apr,-10
loti.csv,Year:low,Apr,-2
loti.csv,Year:low,Apr,-24
loti.csv,Year:low,Apr,-36
loti.csv,Year:low,Apr,-41
loti.csv,Year:low,Apr,-31
loti.csv,Year:low,Apr,-2
loti.csv,Year:low,Apr,-45
loti.csv,Year:low,Apr,-40
loti.csv,Year:low,Apr,-45
loti.csv,Year:low,Apr,-34
loti.csv,Year:low,Apr,-48
loti.csv,Year:low,Apr,-19
loti.csv,Year:low,Apr,-34
loti.csv,Year:low,Apr,-25
loti.csv,Year:low,Apr,0
loti.csv,Year:low,Apr,-27
loti.csv,Year:low,Apr,-40
loti.csv,Year:low,Apr,-44
loti.csv,Year:low,Apr,-9
loti.csv,Year:low,Apr,-13
loti.csv,Year:low,Apr,-16
loti.csv,Year:low,Apr,-26
loti.csv,Year:low,Apr,-35
loti.csv,Year:low,Apr,-33
loti.csv,Year:low,Apr,-18
loti.csv,Year:low,Apr,-7
loti.csv,Year:low,Apr,-24
loti.csv,Year:low,Apr,-25
loti.csv,Year:low,Apr,-30
loti.csv,Year:low,Apr,-17
loti.csv,Year:low,Apr,-14
loti.csv,Year:low,Apr,-4
loti.csv,Year:low,Apr,-16
loti.csv,Year:low,Apr,-24
loti.csv,Year:low,Apr,-28
loti.csv,Year:low,Apr,-11
loti.csv,Year:low,Apr,-9
loti.csv,Year:low,Apr,20
loti.csv,Year:low,Apr,-7
loti.csv,Year:low,Apr,11
loti.csv,Year:low,Apr,14
loti.csv,Year:low,Apr,0
loti.csv,Year:low,Apr,8
loti.csv,Year:low,Apr,10
loti.csv,Year:high,Apr,17
loti.csv,Year:high,Apr,7
loti.csv,Year:high,Apr,5
loti.csv,Year:high,Apr,-5
loti.csv,Year:high,Apr,-11
loti.csv,Year:high,Apr,-18
loti.csv,Year:high,Apr,-9
loti.csv,Year:high,Apr,6
loti.csv,Year:high,Apr,19
loti.csv,Year:high,Apr,-9
loti.csv,Year:high,Apr,-16
loti.csv,Year:high,Apr,-21
loti.csv,Year:high,Apr,10
loti.csv,Year:high,Apr,5
loti.csv,Year:high,Apr,15
loti.csv,Year:high,Apr,-13
loti.csv,Year:high,Apr,11
loti.csv,Year:high,Apr,11
loti.csv,Year:high,Apr,-7
loti.csv,Year:high,Apr,-33
loti.csv,Year:high,Apr,-19
loti.csv,Year:high,Apr,-12
loti.csv,Year:high,Apr,-2
loti.csv,Year:high,Apr,-5
loti.csv,Year:high,Apr,20
loti.csv,Year:high,Apr,4
loti.csv,Year:high,Apr,-11
loti.csv,Year:high,Apr,-1
loti.csv,Year:high,Apr,24
loti.csv,Year:high,Apr,-12
loti.csv,Year:high,Apr,-3
loti.csv,Year:high,Apr,-16
loti.csv,Year:high,Apr,19
loti.csv,Year:high,Apr,9
loti.csv,Year:high,Apr,10
loti.csv,Year:high,Apr,26
loti.csv,Year:high,Apr,23
loti.csv,Year:high,Apr,-4
loti.csv,Year:high,Apr,27
loti.csv,Year:high,Apr,3
loti.csv,Year:high,Apr,5
loti.csv,Year:high,Apr,18
loti.csv,Year:high,Apr,17
loti.csv,Year:high,Apr,35
loti.csv,Year:high,Apr,17
loti.csv,Year:high,Apr,47
loti.csv,Year:high,Apr,45
loti.csv,Year:high,Apr,13
loti.csv,Year:high,Apr,16
loti.csv,Year:high,Apr,29
loti.csv,Year:high,Apr,38
loti.csv,Year:high,Apr,25
loti.csv,Year:high,Apr,30
loti.csv,Year:high,Apr,54
loti.csv,Year:high,Apr,23
loti.csv,Year:high,Apr,50
loti.csv,Year:high,Apr,40
loti.csv,Year:high,Apr,55
loti.csv,Year:high,Apr,49
loti.csv,Year:high,Apr,51
loti.csv,Year:high,Apr,61
loti.csv,Year:high,Apr,42
loti.csv,Year:high,Apr,68
loti.csv,Year:high,Apr,43
loti.csv,Year:high,Apr,50
loti.csv,Year:high,Apr,75
