fileName,groupName,attributeName,attributeValue
loti.csv,Year:low,Aug,-15
loti.csv,Year:low,Aug,-12
loti.csv,Year:low,Aug,-15
loti.csv,Year:low,Aug,-24
loti.csv,Year:low,Aug,-20
loti.csv,Year:low,Aug,-26
loti.csv,Year:low,Aug,-21
loti.csv,Year:low,Aug,-27
loti.csv,Year:low,Aug,-23
loti.csv,Year:low,Aug,-25
loti.csv,Year:low,Aug,-37
loti.csv,Year:low,Aug,-20
loti.csv,Year:low,Aug,-29
loti.csv,Year:low,Aug,-27
loti.csv,Year:low,Aug,-24
loti.csv,Year:low,Aug,-18
loti.csv,Year:low,Aug,-8
loti.csv,Year:low,Aug,-7
loti.csv,Year:low,Aug,-22
loti.csv,Year:low,Aug,-7
loti.csv,Year:low,Aug,-9
loti.csv,Year:low,Aug,-17
loti.csv,Year:low,Aug,-26
loti.csv,Year:low,Aug,-38
loti.csv,Year:low,Aug,-33
loti.csv,Year:low,Aug,-17
loti.csv,Year:low,Aug,-11
loti.csv,Year:low,Aug,-39
loti.csv,Year:low,Aug,-33
loti.csv,Year:low,Aug,-19
loti.csv,Year:low,Aug,-24
loti.csv,Year:low,Aug,-28
loti.csv,Year:low,Aug,-52
loti.csv,Year:low,Aug,-24
loti.csv,Year:low,Aug,-14
loti.csv,Year:low,Aug,-12
loti.csv,Year:low,Aug,-22
loti.csv,Year:low,Aug,-23
loti.csv,Year:low,Aug,-38
loti.csv,Year:low,Aug,-15
loti.csv,Year:low,Aug,-18
loti.csv,Year:low,Aug,-27
loti.csv,Year:low,Aug,-26
loti.csv,Year:low,Aug,-31
loti.csv,Year:low,Aug,-21
loti.csv,Year:low,Aug,-14
loti.csv,Year:low,Aug,1
loti.csv,Year:low,Aug,-16
loti.csv,Year:low,Aug,-16
loti.csv,Year:low,Aug,-25
loti.csv,Year:low,Aug,-4
loti.csv,Year:low,Aug,3
loti.csv,Year:low,Aug,-11
loti.csv,Year:low,Aug,-12
loti.csv,Year:low,Aug,-5
loti.csv,Year:low,Aug,-13
loti.csv,Year:low,Aug,0
loti.csv,Year:low,Aug,8
loti.csv,Year:low,Aug,6
loti.csv,Year:low,Aug,-2
loti.csv,Year:low,Aug,-3
loti.csv,Year:low,Aug,1
loti.csv,Year:low,Aug,-2
loti.csv,Year:low,Aug,5
loti.csv,Year:low,Aug,15
loti.csv,Year:high,Aug,14
loti.csv,Year:high,Aug,-19
loti.csv,Year:high,Aug,-4
loti.csv,Year:high,Aug,-8
loti.csv,Year:high,Aug,-5
loti.csv,Year:high,Aug,-19
loti.csv,Year:high,Aug,11
loti.csv,Year:high,Aug,10
loti.csv,Year:high,Aug,10
loti.csv,Year:high,Aug,-17
loti.csv,Year:high,Aug,11
loti.csv,Year:high,Aug,-25
loti.csv,Year:high,Aug,12
loti.csv,Year:high,Aug,-1
loti.csv,Year:high,Aug,1
loti.csv,Year:high,Aug,6
loti.csv,Year:high,Aug,3
loti.csv,Year:high,Aug,-5
loti.csv,Year:high,Aug,26
loti.csv,Year:high,Aug,-24
loti.csv,Year:high,Aug,-6
loti.csv,Year:high,Aug,-5
loti.csv,Year:high,Aug,1
loti.csv,Year:high,Aug,-5
loti.csv,Year:high,Aug,0
loti.csv,Year:high,Aug,-12
loti.csv,Year:high,Aug,-2
loti.csv,Year:high,Aug,20
loti.csv,Year:high,Aug,1
loti.csv,Year:high,Aug,10
loti.csv,Year:high,Aug,-21
loti.csv,Year:high,Aug,-20
loti.csv,Year:high,Aug,17
loti.csv,Year:high,Aug,-21
loti.csv,Year:high,Aug,9
loti.csv,Year:high,Aug,17
loti.csv,Year:high,Aug,31
loti.csv,Year:high,Aug,-3
loti.csv,Year:high,Aug,27
loti.csv,Year:high,Aug,11
loti.csv,Year:high,Aug,10
loti.csv,Year:high,Aug,7
loti.csv,Year:high,Aug,19
loti.csv,Year:high,Aug,31
loti.csv,Year:high,Aug,26
loti.csv,Year:high,Aug,25
loti.csv,Year:high,Aug,37
loti.csv,Year:high,Aug,1
loti.csv,Year:high,Aug,3
loti.csv,Year:high,Aug,15
loti.csv,Year:high,Aug,38
loti.csv,Year:high,Aug,44
loti.csv,Year:high,Aug,34
loti.csv,Year:high,Aug,63
loti.csv,Year:high,Aug,27
loti.csv,Year:high,Aug,38
loti.csv,Year:high,Aug,45
loti.csv,Year:high,Aug,45
loti.csv,Year:high,Aug,62
loti.csv,Year:high,Aug,41
loti.csv,Year:high,Aug,57
loti.csv,Year:high,Aug,66
loti.csv,Year:high,Aug,54
loti.csv,Year:high,Aug,34
loti.csv,Year:high,Aug,57
loti.csv,Year:high,Aug,54
