fileName,groupName,attributeName,attributeValue
loti.csv,Year:low,Dec,-26
loti.csv,Year:low,Dec,-29
loti.csv,Year:low,Dec,-55
loti.csv,Year:low,Dec,-28
loti.csv,Year:low,Dec,-35
loti.csv,Year:low,Dec,-10
loti.csv,Year:low,Dec,-32
loti.csv,Year:low,Dec,-40
loti.csv,Year:low,Dec,-21
loti.csv,Year:low,Dec,-33
loti.csv,Year:low,Dec,-34
loti.csv,Year:low,Dec,-9
loti.csv,Year:low,Dec,-46
loti.csv,Year:low,Dec,-33
loti.csv,Year:low,Dec,-28
loti.csv,Year:low,Dec,-19
loti.csv,Year:low,Dec,-10
loti.csv,Year:low,Dec,-13
loti.csv,Year:low,Dec,-27
loti.csv,Year:low,Dec,-27
loti.csv,Year:low,Dec,-7
loti.csv,Year:low,Dec,-26
loti.csv,Year:low,Dec,-44
loti.csv,Year:low,Dec,-42
loti.csv,Year:low,Dec,-23
loti.csv,Year:low,Dec,-20
loti.csv,Year:low,Dec,-12
loti.csv,Year:low,Dec,-41
loti.csv,Year:low,Dec,-39
loti.csv,Year:low,Dec,-40
loti.csv,Year:low,Dec,-55
loti.csv,Year:low,Dec,-17
loti.csv,Year:low,Dec,-35
loti.csv,Year:low,Dec,-3
loti.csv,Year:low,Dec,-16
loti.csv,Year:low,Dec,-19
loti.csv,Year:low,Dec,-65
loti.csv,Year:low,Dec,-69
loti.csv,Year:low,Dec,-33
loti.csv,Year:low,Dec,-32
loti.csv,Year:low,Dec,-45
loti.csv,Year:low,Dec,-17
loti.csv,Year:low,Dec,-19
loti.csv,Year:low,Dec,-1
loti.csv,Year:low,Dec,-30
loti.csv,Year:low,Dec,15
loti.csv,Year:low,Dec,-21
loti.csv,Year:low,Dec,-30
loti.csv,Year:low,Dec,-8
loti.csv,Year:low,Dec,-41
loti.csv,Year:low,Dec,0
loti.csv,Year:low,Dec,2
loti.csv,Year:low,Dec,-16
loti.csv,Year:low,Dec,-39
loti.csv,Year:low,Dec,4
loti.csv,Year:low,Dec,-12
loti.csv,Year:low,Dec,11
loti.csv,Year:low,Dec,0
loti.csv,Year:low,Dec,-10
loti.csv,Year:low,Dec,37
loti.csv,Year:low,Dec,12
loti.csv,Year:low,Dec,21
loti.csv,Year:low,Dec,5
loti.csv,Year:low,Dec,25
loti.csv,Year:low,Dec,12
loti.csv,Year:high,Dec,-8
loti.csv,Year:high,Dec,-26
loti.csv,Year:high,Dec,-10
loti.csv,Year:high,Dec,-19
loti.csv,Year:high,Dec,-10
loti.csv,Year:high,Dec,-10
loti.csv,Year:high,Dec,18
loti.csv,Year:high,Dec,-3
loti.csv,Year:high,Dec,15
loti.csv,Year:high,Dec,-11
loti.csv,Year:high,Dec,-28
loti.csv,Year:high,Dec,-6
loti.csv,Year:high,Dec,17
loti.csv,Year:high,Dec,4
loti.csv,Year:high,Dec,4
loti.csv,Year:high,Dec,20
loti.csv,Year:high,Dec,-15
loti.csv,Year:high,Dec,0
loti.csv,Year:high,Dec,3
loti.csv,Year:high,Dec,-30
loti.csv,Year:high,Dec,-5
loti.csv,Year:high,Dec,-4
loti.csv,Year:high,Dec,-1
loti.csv,Year:high,Dec,-12
loti.csv,Year:high,Dec,30
loti.csv,Year:high,Dec,-12
loti.csv,Year:high,Dec,-11
loti.csv,Year:high,Dec,18
loti.csv,Year:high,Dec,-8
loti.csv,Year:high,Dec,-11
loti.csv,Year:high,Dec,-22
loti.csv,Year:high,Dec,0
loti.csv,Year:high,Dec,2
loti.csv,Year:high,Dec,1
loti.csv,Year:high,Dec,39
loti.csv,Year:high,Dec,8
loti.csv,Year:high,Dec,28
loti.csv,Year:high,Dec,34
loti.csv,Year:high,Dec,10
loti.csv,Year:high,Dec,-15
loti.csv,Year:high,Dec,7
loti.csv,Year:high,Dec,6
loti.csv,Year:high,Dec,42
loti.csv,Year:high,Dec,19
loti.csv,Year:high,Dec,26
loti.csv,Year:high,Dec,36
loti.csv,Year:high,Dec,24
loti.csv,Year:high,Dec,12
loti.csv,Year:high,Dec,4
loti.csv,Year:high,Dec,25
loti.csv,Year:high,Dec,23
loti.csv,Year:high,Dec,30
loti.csv,Year:high,Dec,53
loti.csv,Year:high,Dec,48
loti.csv,Year:high,Dec,33
loti.csv,Year:high,Dec,21
loti.csv,Year:high,Dec,51
loti.csv,Year:high,Dec,37
loti.csv,Year:high,Dec,68
loti.csv,Year:high,Dec,50
loti.csv,Year:high,Dec,62
loti.csv,Year:high,Dec,71
loti.csv,Year:high,Dec,40
loti.csv,Year:high,Dec,47
loti.csv,Year:high,Dec,60
loti.csv,Year:high,Dec,41
