fileName,groupName,attributeName,attributeValue
loti.csv,Year:low,Feb,-27
loti.csv,Year:low,Feb,-27
loti.csv,Year:low,Feb,-3
loti.csv,Year:low,Feb,-40
loti.csv,Year:low,Feb,-19
loti.csv,Year:low,Feb,-35
loti.csv,Year:low,Feb,-45
loti.csv,Year:low,Feb,-54
loti.csv,Year:low,Feb,-48
loti.csv,Year:low,Feb,8
loti.csv,Year:low,Feb,-42
loti.csv,Year:low,Feb,-53
loti.csv,Year:low,Feb,-12
loti.csv,Year:low,Feb,-58
loti.csv,Year:low,Feb,-33
loti.csv,Year:low,Feb,-49
loti.csv,Year:low,Feb,-17
loti.csv,Year:low,Feb,-15
loti.csv,Year:low,Feb,-24
loti.csv,Year:low,Feb,-38
loti.csv,Year:low,Feb,5
loti.csv,Year:low,Feb,-2
loti.csv,Year:low,Feb,5
loti.csv,Year:low,Feb,6
loti.csv,Year:low,Feb,-46
loti.csv,Year:low,Feb,-53
loti.csv,Year:low,Feb,-29
loti.csv,Year:low,Feb,-48
loti.csv,Year:low,Feb,-26
loti.csv,Year:low,Feb,-38
loti.csv,Year:low,Feb,-32
loti.csv,Year:low,Feb,-47
loti.csv,Year:low,Feb,-12
loti.csv,Year:low,Feb,-34
loti.csv,Year:low,Feb,-10
loti.csv,Year:low,Feb,-8
loti.csv,Year:low,Feb,-17
loti.csv,Year:low,Feb,-53
loti.csv,Year:low,Feb,-45
loti.csv,Year:low,Feb,-20
loti.csv,Year:low,Feb,-21
loti.csv,Year:low,Feb,-17
loti.csv,Year:low,Feb,-37
loti.csv,Year:low,Feb,-28
loti.csv,Year:low,Feb,-26
loti.csv,Year:low,Feb,-27
loti.csv,Year:low,Feb,11
loti.csv,Year:low,Feb,-6
loti.csv,Year:low,Feb,-3
loti.csv,Year:low,Feb,-43
loti.csv,Year:low,Feb,-15
loti.csv,Year:low,Feb,-17
loti.csv,Year:low,Feb,-14
loti.csv,Year:low,Feb,-19
loti.csv,Year:low,Feb,1
loti.csv,Year:low,Feb,23
loti.csv,Year:low,Feb,-28
loti.csv,Year:low,Feb,20
loti.csv,Year:low,Feb,10
loti.csv,Year:low,Feb,-2
loti.csv,Year:low,Feb,1
loti.csv,Year:low,Feb,22
loti.csv,Year:low,Feb,-9
loti.csv,Year:low,Feb,12
loti.csv,Year:low,Feb,24
loti.csv,Year:high,Feb,11
loti.csv,Year:high,Feb,7
loti.csv,Year:high,Feb,-1
loti.csv,Year:high,Feb,-9
loti.csv,Year:high,Feb,-16
loti.csv,Year:high,Feb,-27
loti.csv,Year:high,Feb,-39
loti.csv,Year:high,Feb,14
loti.csv,Year:high,Feb,18
loti.csv,Year:high,Feb,-3
loti.csv,Year:high,Feb,-13
loti.csv,Year:high,Feb,-23
loti.csv,Year:high,Feb,3
loti.csv,Year:high,Feb,23
loti.csv,Year:high,Feb,11
loti.csv,Year:high,Feb,18
loti.csv,Year:high,Feb,21
loti.csv,Year:high,Feb,18
loti.csv,Year:high,Feb,19
loti.csv,Year:high,Feb,-8
loti.csv,Year:high,Feb,-18
loti.csv,Year:high,Feb,-1
loti.csv,Year:high,Feb,-23
loti.csv,Year:high,Feb,-14
loti.csv,Year:high,Feb,-8
loti.csv,Year:high,Feb,23
loti.csv,Year:high,Feb,-20
loti.csv,Year:high,Feb,-20
loti.csv,Year:high,Feb,29
loti.csv,Year:high,Feb,-27
loti.csv,Year:high,Feb,1
loti.csv,Year:high,Feb,-11
loti.csv,Year:high,Feb,15
loti.csv,Year:high,Feb,8
loti.csv,Year:high,Feb,-18
loti.csv,Year:high,Feb,28
loti.csv,Year:high,Feb,35
loti.csv,Year:high,Feb,7
loti.csv,Year:high,Feb,34
loti.csv,Year:high,Feb,7
loti.csv,Year:high,Feb,-14
loti.csv,Year:high,Feb,37
loti.csv,Year:high,Feb,38
loti.csv,Year:high,Feb,35
loti.csv,Year:high,Feb,27
loti.csv,Year:high,Feb,28
loti.csv,Year:high,Feb,45
loti.csv,Year:high,Feb,34
loti.csv,Year:high,Feb,28
loti.csv,Year:high,Feb,-6
loti.csv,Year:high,Feb,71
loti.csv,Year:high,Feb,45
loti.csv,Year:high,Feb,29
loti.csv,Year:high,Feb,81
loti.csv,Year:high,Feb,58
loti.csv,Year:high,Feb,51
loti.csv,Year:high,Feb,40
loti.csv,Year:high,Feb,70
loti.csv,Year:high,Feb,50
loti.csv,Year:high,Feb,65
loti.csv,Year:high,Feb,56
loti.csv,Year:high,Feb,61
loti.csv,Year:high,Feb,63
loti.csv,Year:high,Feb,26
loti.csv,Year:high,Feb,46
loti.csv,Year:high,Feb,75
