fileName,groupName,attributeName,attributeValue
loti.csv,Year:low,J.D,-28
loti.csv,Year:low,J.D,-20
loti.csv,Year:low,J.D,-26
loti.csv,Year:low,J.D,-27
loti.csv,Year:low,J.D,-32
loti.csv,Year:low,J.D,-32
loti.csv,Year:low,J.D,-29
loti.csv,Year:low,J.D,-35
loti.csv,Year:low,J.D,-27
loti.csv,Year:low,J.D,-17
loti.csv,Year:low,J.D,-39
loti.csv,Year:low,J.D,-27
loti.csv,Year:low,J.D,-32
loti.csv,Year:low,J.D,-33
loti.csv,Year:low,J.D,-33
loti.csv,Year:low,J.D,-25
loti.csv,Year:low,J.D,-14
loti.csv,Year:low,J.D,-11
loti.csv,Year:low,J.D,-26
loti.csv,Year:low,J.D,-16
loti.csv,Year:low,J.D,-8
loti.csv,Year:low,J.D,-15
loti.csv,Year:low,J.D,-25
loti.csv,Year:low,J.D,-30
loti.csv,Year:low,J.D,-34
loti.csv,Year:low,J.D,-24
loti.csv,Year:low,J.D,-19
loti.csv,Year:low,J.D,-39
loti.csv,Year:low,J.D,-33
loti.csv,Year:low,J.D,-35
loti.csv,Year:low,J.D,-33
loti.csv,Year:low,J.D,-34
loti.csv,Year:low,J.D,-32
loti.csv,Year:low,J.D,-30
loti.csv,Year:low,J.D,-15
loti.csv,Year:low,J.D,-10
loti.csv,Year:low,J.D,-30
loti.csv,Year:low,J.D,-39
loti.csv,Year:low,J.D,-33
loti.csv,Year:low,J.D,-20
loti.csv,Year:low,J.D,-19
loti.csv,Year:low,J.D,-14
loti.csv,Year:low,J.D,-26
loti.csv,Year:low,J.D,-22
loti.csv,Year:low,J.D,-22
loti.csv,Year:low,J.D,-17
loti.csv,Year:low,J.D,-2
loti.csv,Year:low,J.D,-15
loti.csv,Year:low,J.D,-13
loti.csv,Year:low,J.D,-26
loti.csv,Year:low,J.D,-8
loti.csv,Year:low,J.D,-2
loti.csv,Year:low,J.D,-8
loti.csv,Year:low,J.D,-19
loti.csv,Year:low,J.D,-7
loti.csv,Year:low,J.D,-12
loti.csv,Year:low,J.D,-5
loti.csv,Year:low,J.D,7
loti.csv,Year:low,J.D,10
loti.csv,Year:low,J.D,1
loti.csv,Year:low,J.D,4
loti.csv,Year:low,J.D,10
loti.csv,Year:low,J.D,3
loti.csv,Year:low,J.D,9
loti.csv,Year:low,J.D,19
loti.csv,Year:high,J.D,6
loti.csv,Year:high,J.D,-5
loti.csv,Year:high,J.D,0
loti.csv,Year:high,J.D,-4
loti.csv,Year:high,J.D,-7
loti.csv,Year:high,J.D,-15
loti.csv,Year:high,J.D,-4
loti.csv,Year:high,J.D,3
loti.csv,Year:high,J.D,11
loti.csv,Year:high,J.D,-10
loti.csv,Year:high,J.D,-10
loti.csv,Year:high,J.D,-17
loti.csv,Year:high,J.D,8
loti.csv,Year:high,J.D,8
loti.csv,Year:high,J.D,6
loti.csv,Year:high,J.D,-1
loti.csv,Year:high,J.D,7
loti.csv,Year:high,J.D,4
loti.csv,Year:high,J.D,8
loti.csv,Year:high,J.D,-21
loti.csv,Year:high,J.D,-11
loti.csv,Year:high,J.D,-3
loti.csv,Year:high,J.D,-1
loti.csv,Year:high,J.D,-4
loti.csv,Year:high,J.D,8
loti.csv,Year:high,J.D,3
loti.csv,Year:high,J.D,-11
loti.csv,Year:high,J.D,0
loti.csv,Year:high,J.D,14
loti.csv,Year:high,J.D,-8
loti.csv,Year:high,J.D,-5
loti.csv,Year:high,J.D,-16
loti.csv,Year:high,J.D,12
loti.csv,Year:high,J.D,1
loti.csv,Year:high,J.D,8
loti.csv,Year:high,J.D,19
loti.csv,Year:high,J.D,26
loti.csv,Year:high,J.D,4
loti.csv,Year:high,J.D,25
loti.csv,Year:high,J.D,9
loti.csv,Year:high,J.D,4
loti.csv,Year:high,J.D,12
loti.csv,Year:high,J.D,27
loti.csv,Year:high,J.D,31
loti.csv,Year:high,J.D,19
loti.csv,Year:high,J.D,36
loti.csv,Year:high,J.D,35
loti.csv,Year:high,J.D,13
loti.csv,Year:high,J.D,13
loti.csv,Year:high,J.D,23
loti.csv,Year:high,J.D,37
loti.csv,Year:high,J.D,29
loti.csv,Year:high,J.D,39
loti.csv,Year:high,J.D,56
loti.csv,Year:high,J.D,31
loti.csv,Year:high,J.D,33
loti.csv,Year:high,J.D,47
loti.csv,Year:high,J.D,56
loti.csv,Year:high,J.D,55
loti.csv,Year:high,J.D,48
loti.csv,Year:high,J.D,63
loti.csv,Year:high,J.D,55
loti.csv,Year:high,J.D,58
loti.csv,Year:high,J.D,44
loti.csv,Year:high,J.D,57
loti.csv,Year:high,J.D,63
