fileName,groupName,attributeName,attributeValue
loti.csv,Year:low,JJA,-26
loti.csv,Year:low,JJA,-19
loti.csv,Year:low,JJA,-26
loti.csv,Year:low,JJA,-16
loti.csv,Year:low,JJA,-28
loti.csv,Year:low,JJA,-33
loti.csv,Year:low,JJA,-21
loti.csv,Year:low,JJA,-19
loti.csv,Year:low,JJA,-22
loti.csv,Year:low,JJA,-18
loti.csv,Year:low,JJA,-36
loti.csv,Year:low,JJA,-22
loti.csv,Year:low,JJA,-27
loti.csv,Year:low,JJA,-21
loti.csv,Year:low,JJA,-28
loti.csv,Year:low,JJA,-19
loti.csv,Year:low,JJA,-8
loti.csv,Year:low,JJA,-7
loti.csv,Year:low,JJA,-20
loti.csv,Year:low,JJA,-14
loti.csv,Year:low,JJA,-8
loti.csv,Year:low,JJA,-15
loti.csv,Year:low,JJA,-24
loti.csv,Year:low,JJA,-36
loti.csv,Year:low,JJA,-33
loti.csv,Year:low,JJA,-20
loti.csv,Year:low,JJA,-15
loti.csv,Year:low,JJA,-40
loti.csv,Year:low,JJA,-27
loti.csv,Year:low,JJA,-30
loti.csv,Year:low,JJA,-25
loti.csv,Year:low,JJA,-30
loti.csv,Year:low,JJA,-37
loti.csv,Year:low,JJA,-32
loti.csv,Year:low,JJA,-16
loti.csv,Year:low,JJA,-5
loti.csv,Year:low,JJA,-29
loti.csv,Year:low,JJA,-26
loti.csv,Year:low,JJA,-33
loti.csv,Year:low,JJA,-17
loti.csv,Year:low,JJA,-20
loti.csv,Year:low,JJA,-14
loti.csv,Year:low,JJA,-23
loti.csv,Year:low,JJA,-27
loti.csv,Year:low,JJA,-20
loti.csv,Year:low,JJA,-21
loti.csv,Year:low,JJA,-8
loti.csv,Year:low,JJA,-13
loti.csv,Year:low,JJA,-18
loti.csv,Year:low,JJA,-28
loti.csv,Year:low,JJA,-10
loti.csv,Year:low,JJA,6
loti.csv,Year:low,JJA,-13
loti.csv,Year:low,JJA,-12
loti.csv,Year:low,JJA,-4
loti.csv,Year:low,JJA,-13
loti.csv,Year:low,JJA,2
loti.csv,Year:low,JJA,7
loti.csv,Year:low,JJA,4
loti.csv,Year:low,JJA,1
loti.csv,Year:low,JJA,7
loti.csv,Year:low,JJA,7
loti.csv,Year:low,JJA,1
loti.csv,Year:low,JJA,7
loti.csv,Year:low,JJA,15
loti.csv,Year:high,JJA,6
loti.csv,Year:high,JJA,-12
loti.csv,Year:high,JJA,-5
loti.csv,Year:high,JJA,-5
loti.csv,Year:high,JJA,-12
loti.csv,Year:high,JJA,-11
loti.csv,Year:high,JJA,2
loti.csv,Year:high,JJA,7
loti.csv,Year:high,JJA,7
loti.csv,Year:high,JJA,-17
loti.csv,Year:high,JJA,-2
loti.csv,Year:high,JJA,-15
loti.csv,Year:high,JJA,10
loti.csv,Year:high,JJA,0
loti.csv,Year:high,JJA,5
loti.csv,Year:high,JJA,1
loti.csv,Year:high,JJA,5
loti.csv,Year:high,JJA,0
loti.csv,Year:high,JJA,15
loti.csv,Year:high,JJA,-11
loti.csv,Year:high,JJA,-13
loti.csv,Year:high,JJA,2
loti.csv,Year:high,JJA,0
loti.csv,Year:high,JJA,-4
loti.csv,Year:high,JJA,2
loti.csv,Year:high,JJA,-5
loti.csv,Year:high,JJA,-12
loti.csv,Year:high,JJA,9
loti.csv,Year:high,JJA,9
loti.csv,Year:high,JJA,1
loti.csv,Year:high,JJA,-10
loti.csv,Year:high,JJA,-16
loti.csv,Year:high,JJA,20
loti.csv,Year:high,JJA,-9
loti.csv,Year:high,JJA,2
loti.csv,Year:high,JJA,16
loti.csv,Year:high,JJA,27
loti.csv,Year:high,JJA,3
loti.csv,Year:high,JJA,18
loti.csv,Year:high,JJA,7
loti.csv,Year:high,JJA,5
loti.csv,Year:high,JJA,6
loti.csv,Year:high,JJA,31
loti.csv,Year:high,JJA,33
loti.csv,Year:high,JJA,20
loti.csv,Year:high,JJA,32
loti.csv,Year:high,JJA,44
loti.csv,Year:high,JJA,6
loti.csv,Year:high,JJA,9
loti.csv,Year:high,JJA,24
loti.csv,Year:high,JJA,41
loti.csv,Year:high,JJA,32
loti.csv,Year:high,JJA,37
loti.csv,Year:high,JJA,67
loti.csv,Year:high,JJA,30
loti.csv,Year:high,JJA,37
loti.csv,Year:high,JJA,47
loti.csv,Year:high,JJA,49
loti.csv,Year:high,JJA,50
loti.csv,Year:high,JJA,31
loti.csv,Year:high,JJA,57
loti.csv,Year:high,JJA,54
loti.csv,Year:high,JJA,54
loti.csv,Year:high,JJA,40
loti.csv,Year:high,JJA,61
loti.csv,Year:high,JJA,53
