fileName,groupName,attributeName,attributeValue
loti.csv,Year:low,Jan,-41
loti.csv,Year:low,Jan,-20
loti.csv,Year:low,Jan,-11
loti.csv,Year:low,Jan,-45
loti.csv,Year:low,Jan,-26
loti.csv,Year:low,Jan,-61
loti.csv,Year:low,Jan,-39
loti.csv,Year:low,Jan,-65
loti.csv,Year:low,Jan,-43
loti.csv,Year:low,Jan,-22
loti.csv,Year:low,Jan,-49
loti.csv,Year:low,Jan,-49
loti.csv,Year:low,Jan,-37
loti.csv,Year:low,Jan,-82
loti.csv,Year:low,Jan,-49
loti.csv,Year:low,Jan,-55
loti.csv,Year:low,Jan,-23
loti.csv,Year:low,Jan,-17
loti.csv,Year:low,Jan,-1
loti.csv,Year:low,Jan,-21
loti.csv,Year:low,Jan,-34
loti.csv,Year:low,Jan,-20
loti.csv,Year:low,Jan,-14
loti.csv,Year:low,Jan,-25
loti.csv,Year:low,Jan,-54
loti.csv,Year:low,Jan,-29
loti.csv,Year:low,Jan,-26
loti.csv,Year:low,Jan,-42
loti.csv,Year:low,Jan,-39
loti.csv,Year:low,Jan,-58
loti.csv,Year:low,Jan,-31
loti.csv,Year:low,Jan,-52
loti.csv,Year:low,Jan,-24
loti.csv,Year:low,Jan,-37
loti.csv,Year:low,Jan,-3
loti.csv,Year:low,Jan,-22
loti.csv,Year:low,Jan,-17
loti.csv,Year:low,Jan,-42
loti.csv,Year:low,Jan,-51
loti.csv,Year:low,Jan,-16
loti.csv,Year:low,Jan,-12
loti.csv,Year:low,Jan,-5
loti.csv,Year:low,Jan,-33
loti.csv,Year:low,Jan,-24
loti.csv,Year:low,Jan,-23
loti.csv,Year:low,Jan,-32
loti.csv,Year:low,Jan,20
loti.csv,Year:low,Jan,-20
loti.csv,Year:low,Jan,3
loti.csv,Year:low,Jan,-32
loti.csv,Year:low,Jan,-16
loti.csv,Year:low,Jan,0
loti.csv,Year:low,Jan,15
loti.csv,Year:low,Jan,-22
loti.csv,Year:low,Jan,-16
loti.csv,Year:low,Jan,-26
loti.csv,Year:low,Jan,-21
loti.csv,Year:low,Jan,3
loti.csv,Year:low,Jan,16
loti.csv,Year:low,Jan,1
loti.csv,Year:low,Jan,-17
loti.csv,Year:low,Jan,10
loti.csv,Year:low,Jan,21
loti.csv,Year:low,Jan,-13
loti.csv,Year:low,Jan,35
loti.csv,Year:high,Jan,16
loti.csv,Year:high,Jan,13
loti.csv,Year:high,Jan,-3
loti.csv,Year:high,Jan,13
loti.csv,Year:high,Jan,14
loti.csv,Year:high,Jan,-25
loti.csv,Year:high,Jan,-31
loti.csv,Year:high,Jan,14
loti.csv,Year:high,Jan,11
loti.csv,Year:high,Jan,-17
loti.csv,Year:high,Jan,19
loti.csv,Year:high,Jan,-15
loti.csv,Year:high,Jan,-6
loti.csv,Year:high,Jan,41
loti.csv,Year:high,Jan,11
loti.csv,Year:high,Jan,1
loti.csv,Year:high,Jan,5
loti.csv,Year:high,Jan,5
loti.csv,Year:high,Jan,1
loti.csv,Year:high,Jan,-5
loti.csv,Year:high,Jan,-10
loti.csv,Year:high,Jan,-16
loti.csv,Year:high,Jan,-7
loti.csv,Year:high,Jan,-22
loti.csv,Year:high,Jan,-7
loti.csv,Year:high,Jan,10
loti.csv,Year:high,Jan,-2
loti.csv,Year:high,Jan,-26
loti.csv,Year:high,Jan,26
loti.csv,Year:high,Jan,-14
loti.csv,Year:high,Jan,1
loti.csv,Year:high,Jan,-8
loti.csv,Year:high,Jan,10
loti.csv,Year:high,Jan,3
loti.csv,Year:high,Jan,6
loti.csv,Year:high,Jan,21
loti.csv,Year:high,Jan,47
loti.csv,Year:high,Jan,0
loti.csv,Year:high,Jan,42
loti.csv,Year:high,Jan,22
loti.csv,Year:high,Jan,15
loti.csv,Year:high,Jan,19
loti.csv,Year:high,Jan,25
loti.csv,Year:high,Jan,51
loti.csv,Year:high,Jan,3
loti.csv,Year:high,Jan,31
loti.csv,Year:high,Jan,33
loti.csv,Year:high,Jan,39
loti.csv,Year:high,Jan,27
loti.csv,Year:high,Jan,23
loti.csv,Year:high,Jan,42
loti.csv,Year:high,Jan,25
loti.csv,Year:high,Jan,26
loti.csv,Year:high,Jan,52
loti.csv,Year:high,Jan,39
loti.csv,Year:high,Jan,16
loti.csv,Year:high,Jan,38
loti.csv,Year:high,Jan,72
loti.csv,Year:high,Jan,66
loti.csv,Year:high,Jan,52
loti.csv,Year:high,Jan,71
loti.csv,Year:high,Jan,46
loti.csv,Year:high,Jan,90
loti.csv,Year:high,Jan,18
loti.csv,Year:high,Jan,55
loti.csv,Year:high,Jan,70
