fileName,groupName,attributeName,attributeValue
loti.csv,Year:low,Jul,-24
loti.csv,Year:low,Jul,-13
loti.csv,Year:low,Jul,-28
loti.csv,Year:low,Jul,-9
loti.csv,Year:low,Jul,-28
loti.csv,Year:low,Jul,-29
loti.csv,Year:low,Jul,-8
loti.csv,Year:low,Jul,-9
loti.csv,Year:low,Jul,-19
loti.csv,Year:low,Jul,-17
loti.csv,Year:low,Jul,-30
loti.csv,Year:low,Jul,-24
loti.csv,Year:low,Jul,-30
loti.csv,Year:low,Jul,-10
loti.csv,Year:low,Jul,-19
loti.csv,Year:low,Jul,-18
loti.csv,Year:low,Jul,-4
loti.csv,Year:low,Jul,-4
loti.csv,Year:low,Jul,-20
loti.csv,Year:low,Jul,-9
loti.csv,Year:low,Jul,-8
loti.csv,Year:low,Jul,-14
loti.csv,Year:low,Jul,-17
loti.csv,Year:low,Jul,-27
loti.csv,Year:low,Jul,-33
loti.csv,Year:low,Jul,-20
loti.csv,Year:low,Jul,-21
loti.csv,Year:low,Jul,-37
loti.csv,Year:low,Jul,-23
loti.csv,Year:low,Jul,-32
loti.csv,Year:low,Jul,-20
loti.csv,Year:low,Jul,-23
loti.csv,Year:low,Jul,-39
loti.csv,Year:low,Jul,-28
loti.csv,Year:low,Jul,-18
loti.csv,Year:low,Jul,-1
loti.csv,Year:low,Jul,-29
loti.csv,Year:low,Jul,-18
loti.csv,Year:low,Jul,-27
loti.csv,Year:low,Jul,-18
loti.csv,Year:low,Jul,-23
loti.csv,Year:low,Jul,0
loti.csv,Year:low,Jul,-17
loti.csv,Year:low,Jul,-27
loti.csv,Year:low,Jul,-19
loti.csv,Year:low,Jul,-20
loti.csv,Year:low,Jul,-8
loti.csv,Year:low,Jul,-6
loti.csv,Year:low,Jul,-10
loti.csv,Year:low,Jul,-27
loti.csv,Year:low,Jul,-9
loti.csv,Year:low,Jul,11
loti.csv,Year:low,Jul,-10
loti.csv,Year:low,Jul,-7
loti.csv,Year:low,Jul,-1
loti.csv,Year:low,Jul,-11
loti.csv,Year:low,Jul,12
loti.csv,Year:low,Jul,9
loti.csv,Year:low,Jul,8
loti.csv,Year:low,Jul,5
loti.csv,Year:low,Jul,19
loti.csv,Year:low,Jul,12
loti.csv,Year:low,Jul,1
loti.csv,Year:low,Jul,15
loti.csv,Year:low,Jul,18
loti.csv,Year:high,Jul,3
loti.csv,Year:high,Jul,-2
loti.csv,Year:high,Jul,-2
loti.csv,Year:high,Jul,-10
loti.csv,Year:high,Jul,-10
loti.csv,Year:high,Jul,-8
loti.csv,Year:high,Jul,-1
loti.csv,Year:high,Jul,8
loti.csv,Year:high,Jul,6
loti.csv,Year:high,Jul,-21
loti.csv,Year:high,Jul,-6
loti.csv,Year:high,Jul,-8
loti.csv,Year:high,Jul,1
loti.csv,Year:high,Jul,8
loti.csv,Year:high,Jul,7
loti.csv,Year:high,Jul,0
loti.csv,Year:high,Jul,1
loti.csv,Year:high,Jul,-3
loti.csv,Year:high,Jul,14
loti.csv,Year:high,Jul,-5
loti.csv,Year:high,Jul,-20
loti.csv,Year:high,Jul,11
loti.csv,Year:high,Jul,6
loti.csv,Year:high,Jul,-8
loti.csv,Year:high,Jul,-4
loti.csv,Year:high,Jul,-1
loti.csv,Year:high,Jul,-11
loti.csv,Year:high,Jul,0
loti.csv,Year:high,Jul,9
loti.csv,Year:high,Jul,-2
loti.csv,Year:high,Jul,-5
loti.csv,Year:high,Jul,-13
loti.csv,Year:high,Jul,19
loti.csv,Year:high,Jul,4
loti.csv,Year:high,Jul,-7
loti.csv,Year:high,Jul,22
loti.csv,Year:high,Jul,29
loti.csv,Year:high,Jul,11
loti.csv,Year:high,Jul,11
loti.csv,Year:high,Jul,11
loti.csv,Year:high,Jul,-8
loti.csv,Year:high,Jul,5
loti.csv,Year:high,Jul,41
loti.csv,Year:high,Jul,26
loti.csv,Year:high,Jul,28
loti.csv,Year:high,Jul,45
loti.csv,Year:high,Jul,47
loti.csv,Year:high,Jul,1
loti.csv,Year:high,Jul,13
loti.csv,Year:high,Jul,23
loti.csv,Year:high,Jul,47
loti.csv,Year:high,Jul,35
loti.csv,Year:high,Jul,26
loti.csv,Year:high,Jul,65
loti.csv,Year:high,Jul,30
loti.csv,Year:high,Jul,36
loti.csv,Year:high,Jul,51
loti.csv,Year:high,Jul,56
loti.csv,Year:high,Jul,49
loti.csv,Year:high,Jul,19
loti.csv,Year:high,Jul,55
loti.csv,Year:high,Jul,42
loti.csv,Year:high,Jul,55
loti.csv,Year:high,Jul,52
loti.csv,Year:high,Jul,66
loti.csv,Year:high,Jul,51
