fileName,groupName,attributeName,attributeValue
loti.csv,Year:low,Jun,-39
loti.csv,Year:low,Jun,-33
loti.csv,Year:low,Jun,-34
loti.csv,Year:low,Jun,-13
loti.csv,Year:low,Jun,-36
loti.csv,Year:low,Jun,-42
loti.csv,Year:low,Jun,-34
loti.csv,Year:low,Jun,-22
loti.csv,Year:low,Jun,-25
loti.csv,Year:low,Jun,-13
loti.csv,Year:low,Jun,-39
loti.csv,Year:low,Jun,-23
loti.csv,Year:low,Jun,-22
loti.csv,Year:low,Jun,-28
loti.csv,Year:low,Jun,-43
loti.csv,Year:low,Jun,-21
loti.csv,Year:low,Jun,-12
loti.csv,Year:low,Jun,-11
loti.csv,Year:low,Jun,-17
loti.csv,Year:low,Jun,-26
loti.csv,Year:low,Jun,-7
loti.csv,Year:low,Jun,-13
loti.csv,Year:low,Jun,-27
loti.csv,Year:low,Jun,-42
loti.csv,Year:low,Jun,-33
loti.csv,Year:low,Jun,-24
loti.csv,Year:low,Jun,-14
loti.csv,Year:low,Jun,-43
loti.csv,Year:low,Jun,-25
loti.csv,Year:low,Jun,-38
loti.csv,Year:low,Jun,-33
loti.csv,Year:low,Jun,-38
loti.csv,Year:low,Jun,-19
loti.csv,Year:low,Jun,-44
loti.csv,Year:low,Jun,-17
loti.csv,Year:low,Jun,-2
loti.csv,Year:low,Jun,-37
loti.csv,Year:low,Jun,-37
loti.csv,Year:low,Jun,-35
loti.csv,Year:low,Jun,-18
loti.csv,Year:low,Jun,-18
loti.csv,Year:low,Jun,-14
loti.csv,Year:low,Jun,-26
loti.csv,Year:low,Jun,-23
loti.csv,Year:low,Jun,-21
loti.csv,Year:low,Jun,-28
loti.csv,Year:low,Jun,-16
loti.csv,Year:low,Jun,-17
loti.csv,Year:low,Jun,-28
loti.csv,Year:low,Jun,-33
loti.csv,Year:low,Jun,-16
loti.csv,Year:low,Jun,3
loti.csv,Year:low,Jun,-19
loti.csv,Year:low,Jun,-19
loti.csv,Year:low,Jun,-6
loti.csv,Year:low,Jun,-15
loti.csv,Year:low,Jun,-7
loti.csv,Year:low,Jun,4
loti.csv,Year:low,Jun,-3
loti.csv,Year:low,Jun,1
loti.csv,Year:low,Jun,3
loti.csv,Year:low,Jun,7
loti.csv,Year:low,Jun,4
loti.csv,Year:low,Jun,2
loti.csv,Year:low,Jun,12
loti.csv,Year:high,Jun,0
loti.csv,Year:high,Jun,-15
loti.csv,Year:high,Jun,-8
loti.csv,Year:high,Jun,4
loti.csv,Year:high,Jun,-21
loti.csv,Year:high,Jun,-5
loti.csv,Year:high,Jun,-4
loti.csv,Year:high,Jun,4
loti.csv,Year:high,Jun,5
loti.csv,Year:high,Jun,-12
loti.csv,Year:high,Jun,-12
loti.csv,Year:high,Jun,-13
loti.csv,Year:high,Jun,16
loti.csv,Year:high,Jun,-8
loti.csv,Year:high,Jun,7
loti.csv,Year:high,Jun,-3
loti.csv,Year:high,Jun,12
loti.csv,Year:high,Jun,7
loti.csv,Year:high,Jun,6
loti.csv,Year:high,Jun,-2
loti.csv,Year:high,Jun,-11
loti.csv,Year:high,Jun,-1
loti.csv,Year:high,Jun,-6
loti.csv,Year:high,Jun,0
loti.csv,Year:high,Jun,11
loti.csv,Year:high,Jun,-2
loti.csv,Year:high,Jun,-22
loti.csv,Year:high,Jun,6
loti.csv,Year:high,Jun,16
loti.csv,Year:high,Jun,-5
loti.csv,Year:high,Jun,-3
loti.csv,Year:high,Jun,-15
loti.csv,Year:high,Jun,23
loti.csv,Year:high,Jun,-8
loti.csv,Year:high,Jun,4
loti.csv,Year:high,Jun,9
loti.csv,Year:high,Jun,21
loti.csv,Year:high,Jun,1
loti.csv,Year:high,Jun,14
loti.csv,Year:high,Jun,-2
loti.csv,Year:high,Jun,12
loti.csv,Year:high,Jun,4
loti.csv,Year:high,Jun,32
loti.csv,Year:high,Jun,40
loti.csv,Year:high,Jun,5
loti.csv,Year:high,Jun,26
loti.csv,Year:high,Jun,49
loti.csv,Year:high,Jun,16
loti.csv,Year:high,Jun,11
loti.csv,Year:high,Jun,34
loti.csv,Year:high,Jun,37
loti.csv,Year:high,Jun,16
loti.csv,Year:high,Jun,52
loti.csv,Year:high,Jun,71
loti.csv,Year:high,Jun,34
loti.csv,Year:high,Jun,36
loti.csv,Year:high,Jun,45
loti.csv,Year:high,Jun,46
loti.csv,Year:high,Jun,40
loti.csv,Year:high,Jun,34
loti.csv,Year:high,Jun,59
loti.csv,Year:high,Jun,55
loti.csv,Year:high,Jun,52
loti.csv,Year:high,Jun,34
loti.csv,Year:high,Jun,61
loti.csv,Year:high,Jun,55
