fileName,groupName,attributeName,attributeValue
loti.csv,Year:low,MAM,-29
loti.csv,Year:low,MAM,-6
loti.csv,Year:low,MAM,-22
loti.csv,Year:low,MAM,-22
loti.csv,Year:low,MAM,-38
loti.csv,Year:low,MAM,-34
loti.csv,Year:low,MAM,-26
loti.csv,Year:low,MAM,-36
loti.csv,Year:low,MAM,-36
loti.csv,Year:low,MAM,-4
loti.csv,Year:low,MAM,-40
loti.csv,Year:low,MAM,-24
loti.csv,Year:low,MAM,-37
loti.csv,Year:low,MAM,-31
loti.csv,Year:low,MAM,-34
loti.csv,Year:low,MAM,-28
loti.csv,Year:low,MAM,-27
loti.csv,Year:low,MAM,-8
loti.csv,Year:low,MAM,-36
loti.csv,Year:low,MAM,-20
loti.csv,Year:low,MAM,-6
loti.csv,Year:low,MAM,-5
loti.csv,Year:low,MAM,-25
loti.csv,Year:low,MAM,-27
loti.csv,Year:low,MAM,-38
loti.csv,Year:low,MAM,-26
loti.csv,Year:low,MAM,-13
loti.csv,Year:low,MAM,-40
loti.csv,Year:low,MAM,-39
loti.csv,Year:low,MAM,-43
loti.csv,Year:low,MAM,-34
loti.csv,Year:low,MAM,-46
loti.csv,Year:low,MAM,-24
loti.csv,Year:low,MAM,-37
loti.csv,Year:low,MAM,-21
loti.csv,Year:low,MAM,-5
loti.csv,Year:low,MAM,-31
loti.csv,Year:low,MAM,-48
loti.csv,Year:low,MAM,-40
loti.csv,Year:low,MAM,-15
loti.csv,Year:low,MAM,-7
loti.csv,Year:low,MAM,-17
loti.csv,Year:low,MAM,-26
loti.csv,Year:low,MAM,-32
loti.csv,Year:low,MAM,-21
loti.csv,Year:low,MAM,-20
loti.csv,Year:low,MAM,0
loti.csv,Year:low,MAM,-26
loti.csv,Year:low,MAM,-23
loti.csv,Year:low,MAM,-28
loti.csv,Year:low,MAM,-13
loti.csv,Year:low,MAM,-9
loti.csv,Year:low,MAM,-9
loti.csv,Year:low,MAM,-17
loti.csv,Year:low,MAM,-18
loti.csv,Year:low,MAM,-18
loti.csv,Year:low,MAM,-12
loti.csv,Year:low,MAM,-4
loti.csv,Year:low,MAM,16
loti.csv,Year:low,MAM,-8
loti.csv,Year:low,MAM,6
loti.csv,Year:low,MAM,9
loti.csv,Year:low,MAM,2
loti.csv,Year:low,MAM,5
loti.csv,Year:low,MAM,16
loti.csv,Year:high,MAM,9
loti.csv,Year:high,MAM,-1
loti.csv,Year:high,MAM,5
loti.csv,Year:high,MAM,-3
loti.csv,Year:high,MAM,-8
loti.csv,Year:high,MAM,-12
loti.csv,Year:high,MAM,-8
loti.csv,Year:high,MAM,-1
loti.csv,Year:high,MAM,14
loti.csv,Year:high,MAM,-11
loti.csv,Year:high,MAM,-20
loti.csv,Year:high,MAM,-22
loti.csv,Year:high,MAM,8
loti.csv,Year:high,MAM,9
loti.csv,Year:high,MAM,16
loti.csv,Year:high,MAM,-17
loti.csv,Year:high,MAM,14
loti.csv,Year:high,MAM,5
loti.csv,Year:high,MAM,-8
loti.csv,Year:high,MAM,-29
loti.csv,Year:high,MAM,-12
loti.csv,Year:high,MAM,-3
loti.csv,Year:high,MAM,6
loti.csv,Year:high,MAM,4
loti.csv,Year:high,MAM,10
loti.csv,Year:high,MAM,3
loti.csv,Year:high,MAM,-15
loti.csv,Year:high,MAM,-2
loti.csv,Year:high,MAM,24
loti.csv,Year:high,MAM,-7
loti.csv,Year:high,MAM,9
loti.csv,Year:high,MAM,-24
loti.csv,Year:high,MAM,21
loti.csv,Year:high,MAM,7
loti.csv,Year:high,MAM,4
loti.csv,Year:high,MAM,26
loti.csv,Year:high,MAM,27
loti.csv,Year:high,MAM,-2
loti.csv,Year:high,MAM,31
loti.csv,Year:high,MAM,18
loti.csv,Year:high,MAM,7
loti.csv,Year:high,MAM,20
loti.csv,Year:high,MAM,15
loti.csv,Year:high,MAM,39
loti.csv,Year:high,MAM,16
loti.csv,Year:high,MAM,50
loti.csv,Year:high,MAM,34
loti.csv,Year:high,MAM,25
loti.csv,Year:high,MAM,20
loti.csv,Year:high,MAM,21
loti.csv,Year:high,MAM,29
loti.csv,Year:high,MAM,25
loti.csv,Year:high,MAM,35
loti.csv,Year:high,MAM,58
loti.csv,Year:high,MAM,23
loti.csv,Year:high,MAM,42
loti.csv,Year:high,MAM,48
loti.csv,Year:high,MAM,66
loti.csv,Year:high,MAM,51
loti.csv,Year:high,MAM,48
loti.csv,Year:high,MAM,62
loti.csv,Year:high,MAM,46
loti.csv,Year:high,MAM,64
loti.csv,Year:high,MAM,50
loti.csv,Year:high,MAM,50
loti.csv,Year:high,MAM,75
