fileName,groupName,attributeName,attributeValue
loti.csv,Year:low,Mar,-25
loti.csv,Year:low,Mar,-1
loti.csv,Year:low,Mar,-10
loti.csv,Year:low,Mar,-17
loti.csv,Year:low,Mar,-37
loti.csv,Year:low,Mar,-24
loti.csv,Year:low,Mar,-34
loti.csv,Year:low,Mar,-36
loti.csv,Year:low,Mar,-46
loti.csv,Year:low,Mar,-2
loti.csv,Year:low,Mar,-35
loti.csv,Year:low,Mar,-18
loti.csv,Year:low,Mar,-34
loti.csv,Year:low,Mar,-20
loti.csv,Year:low,Mar,-24
loti.csv,Year:low,Mar,-30
loti.csv,Year:low,Mar,-30
loti.csv,Year:low,Mar,-17
loti.csv,Year:low,Mar,-48
loti.csv,Year:low,Mar,-28
loti.csv,Year:low,Mar,-2
loti.csv,Year:low,Mar,2
loti.csv,Year:low,Mar,-22
loti.csv,Year:low,Mar,-13
loti.csv,Year:low,Mar,-33
loti.csv,Year:low,Mar,-19
loti.csv,Year:low,Mar,-18
loti.csv,Year:low,Mar,-26
loti.csv,Year:low,Mar,-45
loti.csv,Year:low,Mar,-42
loti.csv,Year:low,Mar,-34
loti.csv,Year:low,Mar,-49
loti.csv,Year:low,Mar,-32
loti.csv,Year:low,Mar,-38
loti.csv,Year:low,Mar,-22
loti.csv,Year:low,Mar,-15
loti.csv,Year:low,Mar,-33
loti.csv,Year:low,Mar,-47
loti.csv,Year:low,Mar,-29
loti.csv,Year:low,Mar,-18
loti.csv,Year:low,Mar,0
loti.csv,Year:low,Mar,-14
loti.csv,Year:low,Mar,-21
loti.csv,Year:low,Mar,-23
loti.csv,Year:low,Mar,-9
loti.csv,Year:low,Mar,-18
loti.csv,Year:low,Mar,23
loti.csv,Year:low,Mar,-31
loti.csv,Year:low,Mar,-19
loti.csv,Year:low,Mar,-23
loti.csv,Year:low,Mar,-4
loti.csv,Year:low,Mar,-2
loti.csv,Year:low,Mar,-12
loti.csv,Year:low,Mar,-18
loti.csv,Year:low,Mar,-25
loti.csv,Year:low,Mar,-4
loti.csv,Year:low,Mar,-15
loti.csv,Year:low,Mar,-7
loti.csv,Year:low,Mar,23
loti.csv,Year:low,Mar,-14
loti.csv,Year:low,Mar,3
loti.csv,Year:low,Mar,4
loti.csv,Year:low,Mar,-1
loti.csv,Year:low,Mar,-8
loti.csv,Year:low,Mar,20
loti.csv,Year:high,Mar,11
loti.csv,Year:high,Mar,-4
loti.csv,Year:high,Mar,14
loti.csv,Year:high,Mar,-8
loti.csv,Year:high,Mar,-4
loti.csv,Year:high,Mar,-2
loti.csv,Year:high,Mar,-17
loti.csv,Year:high,Mar,-8
loti.csv,Year:high,Mar,16
loti.csv,Year:high,Mar,-7
loti.csv,Year:high,Mar,-28
loti.csv,Year:high,Mar,-22
loti.csv,Year:high,Mar,2
loti.csv,Year:high,Mar,14
loti.csv,Year:high,Mar,22
loti.csv,Year:high,Mar,-32
loti.csv,Year:high,Mar,10
loti.csv,Year:high,Mar,12
loti.csv,Year:high,Mar,-13
loti.csv,Year:high,Mar,-26
loti.csv,Year:high,Mar,-10
loti.csv,Year:high,Mar,11
loti.csv,Year:high,Mar,7
loti.csv,Year:high,Mar,24
loti.csv,Year:high,Mar,-2
loti.csv,Year:high,Mar,9
loti.csv,Year:high,Mar,-21
loti.csv,Year:high,Mar,-2
loti.csv,Year:high,Mar,26
loti.csv,Year:high,Mar,-5
loti.csv,Year:high,Mar,11
loti.csv,Year:high,Mar,-28
loti.csv,Year:high,Mar,15
loti.csv,Year:high,Mar,11
loti.csv,Year:high,Mar,8
loti.csv,Year:high,Mar,23
loti.csv,Year:high,Mar,44
loti.csv,Year:high,Mar,-12
loti.csv,Year:high,Mar,36
loti.csv,Year:high,Mar,22
loti.csv,Year:high,Mar,11
loti.csv,Year:high,Mar,25
loti.csv,Year:high,Mar,11
loti.csv,Year:high,Mar,45
loti.csv,Year:high,Mar,27
loti.csv,Year:high,Mar,64
loti.csv,Year:high,Mar,27
loti.csv,Year:high,Mar,37
loti.csv,Year:high,Mar,28
loti.csv,Year:high,Mar,18
loti.csv,Year:high,Mar,42
loti.csv,Year:high,Mar,32
loti.csv,Year:high,Mar,46
loti.csv,Year:high,Mar,55
loti.csv,Year:high,Mar,25
loti.csv,Year:high,Mar,48
loti.csv,Year:high,Mar,54
loti.csv,Year:high,Mar,87
loti.csv,Year:high,Mar,52
loti.csv,Year:high,Mar,58
loti.csv,Year:high,Mar,70
loti.csv,Year:high,Mar,58
loti.csv,Year:high,Mar,64
loti.csv,Year:high,Mar,66
loti.csv,Year:high,Mar,47
loti.csv,Year:high,Mar,86
