fileName,groupName,attributeName,attributeValue
loti.csv,Year:low,May,-31
loti.csv,Year:low,May,-10
loti.csv,Year:low,May,-26
loti.csv,Year:low,May,-26
loti.csv,Year:low,May,-38
loti.csv,Year:low,May,-35
loti.csv,Year:low,May,-22
loti.csv,Year:low,May,-30
loti.csv,Year:low,May,-28
loti.csv,Year:low,May,-7
loti.csv,Year:low,May,-51
loti.csv,Year:low,May,-22
loti.csv,Year:low,May,-33
loti.csv,Year:low,May,-38
loti.csv,Year:low,May,-35
loti.csv,Year:low,May,-29
loti.csv,Year:low,May,-14
loti.csv,Year:low,May,-2
loti.csv,Year:low,May,-35
loti.csv,Year:low,May,-15
loti.csv,Year:low,May,-7
loti.csv,Year:low,May,-14
loti.csv,Year:low,May,-28
loti.csv,Year:low,May,-32
loti.csv,Year:low,May,-40
loti.csv,Year:low,May,-28
loti.csv,Year:low,May,-20
loti.csv,Year:low,May,-49
loti.csv,Year:low,May,-33
loti.csv,Year:low,May,-42
loti.csv,Year:low,May,-35
loti.csv,Year:low,May,-41
loti.csv,Year:low,May,-21
loti.csv,Year:low,May,-38
loti.csv,Year:low,May,-16
loti.csv,Year:low,May,-1
loti.csv,Year:low,May,-33
loti.csv,Year:low,May,-57
loti.csv,Year:low,May,-47
loti.csv,Year:low,May,-17
loti.csv,Year:low,May,-9
loti.csv,Year:low,May,-20
loti.csv,Year:low,May,-31
loti.csv,Year:low,May,-36
loti.csv,Year:low,May,-22
loti.csv,Year:low,May,-24
loti.csv,Year:low,May,-14
loti.csv,Year:low,May,-21
loti.csv,Year:low,May,-25
loti.csv,Year:low,May,-32
loti.csv,Year:low,May,-18
loti.csv,Year:low,May,-11
loti.csv,Year:low,May,-11
loti.csv,Year:low,May,-16
loti.csv,Year:low,May,-5
loti.csv,Year:low,May,-23
loti.csv,Year:low,May,-10
loti.csv,Year:low,May,2
loti.csv,Year:low,May,6
loti.csv,Year:low,May,-1
loti.csv,Year:low,May,4
loti.csv,Year:low,May,9
loti.csv,Year:low,May,8
loti.csv,Year:low,May,16
loti.csv,Year:low,May,19
loti.csv,Year:high,May,-3
loti.csv,Year:high,May,-7
loti.csv,Year:high,May,-3
loti.csv,Year:high,May,5
loti.csv,Year:high,May,-8
loti.csv,Year:high,May,-14
loti.csv,Year:high,May,2
loti.csv,Year:high,May,0
loti.csv,Year:high,May,8
loti.csv,Year:high,May,-16
loti.csv,Year:high,May,-17
loti.csv,Year:high,May,-22
loti.csv,Year:high,May,12
loti.csv,Year:high,May,7
loti.csv,Year:high,May,10
loti.csv,Year:high,May,-6
loti.csv,Year:high,May,22
loti.csv,Year:high,May,-10
loti.csv,Year:high,May,-2
loti.csv,Year:high,May,-28
loti.csv,Year:high,May,-6
loti.csv,Year:high,May,-7
loti.csv,Year:high,May,11
loti.csv,Year:high,May,-9
loti.csv,Year:high,May,13
loti.csv,Year:high,May,-5
loti.csv,Year:high,May,-12
loti.csv,Year:high,May,-2
loti.csv,Year:high,May,22
loti.csv,Year:high,May,-5
loti.csv,Year:high,May,18
loti.csv,Year:high,May,-29
loti.csv,Year:high,May,29
loti.csv,Year:high,May,1
loti.csv,Year:high,May,-6
loti.csv,Year:high,May,28
loti.csv,Year:high,May,14
loti.csv,Year:high,May,11
loti.csv,Year:high,May,30
loti.csv,Year:high,May,29
loti.csv,Year:high,May,5
loti.csv,Year:high,May,16
loti.csv,Year:high,May,16
loti.csv,Year:high,May,38
loti.csv,Year:high,May,4
loti.csv,Year:high,May,38
loti.csv,Year:high,May,30
loti.csv,Year:high,May,23
loti.csv,Year:high,May,16
loti.csv,Year:high,May,16
loti.csv,Year:high,May,6
loti.csv,Year:high,May,18
loti.csv,Year:high,May,30
loti.csv,Year:high,May,64
loti.csv,Year:high,May,20
loti.csv,Year:high,May,28
loti.csv,Year:high,May,49
loti.csv,Year:high,May,56
loti.csv,Year:high,May,52
loti.csv,Year:high,May,34
loti.csv,Year:high,May,56
loti.csv,Year:high,May,38
loti.csv,Year:high,May,60
loti.csv,Year:high,May,41
loti.csv,Year:high,May,53
loti.csv,Year:high,May,64
