fileName,groupName,attributeName,attributeValue
loti.csv,Year:low,Oct,-27
loti.csv,Year:low,Oct,-30
loti.csv,Year:low,Oct,-37
loti.csv,Year:low,Oct,-34
loti.csv,Year:low,Oct,-34
loti.csv,Year:low,Oct,-27
loti.csv,Year:low,Oct,-35
loti.csv,Year:low,Oct,-41
loti.csv,Year:low,Oct,-11
loti.csv,Year:low,Oct,-32
loti.csv,Year:low,Oct,-25
loti.csv,Year:low,Oct,-25
loti.csv,Year:low,Oct,-28
loti.csv,Year:low,Oct,-17
loti.csv,Year:low,Oct,-27
loti.csv,Year:low,Oct,-16
loti.csv,Year:low,Oct,3
loti.csv,Year:low,Oct,-11
loti.csv,Year:low,Oct,-29
loti.csv,Year:low,Oct,-2
loti.csv,Year:low,Oct,1
loti.csv,Year:low,Oct,-26
loti.csv,Year:low,Oct,-32
loti.csv,Year:low,Oct,-41
loti.csv,Year:low,Oct,-30
loti.csv,Year:low,Oct,-24
loti.csv,Year:low,Oct,-14
loti.csv,Year:low,Oct,-25
loti.csv,Year:low,Oct,-30
loti.csv,Year:low,Oct,-21
loti.csv,Year:low,Oct,-32
loti.csv,Year:low,Oct,-19
loti.csv,Year:low,Oct,-52
loti.csv,Year:low,Oct,-32
loti.csv,Year:low,Oct,-1
loti.csv,Year:low,Oct,-20
loti.csv,Year:low,Oct,-19
loti.csv,Year:low,Oct,-38
loti.csv,Year:low,Oct,-7
loti.csv,Year:low,Oct,-18
loti.csv,Year:low,Oct,-26
loti.csv,Year:low,Oct,-8
loti.csv,Year:low,Oct,-27
loti.csv,Year:low,Oct,-9
loti.csv,Year:low,Oct,-24
loti.csv,Year:low,Oct,-21
loti.csv,Year:low,Oct,-1
loti.csv,Year:low,Oct,3
loti.csv,Year:low,Oct,-11
loti.csv,Year:low,Oct,-7
loti.csv,Year:low,Oct,-8
loti.csv,Year:low,Oct,5
loti.csv,Year:low,Oct,3
loti.csv,Year:low,Oct,-15
loti.csv,Year:low,Oct,-1
loti.csv,Year:low,Oct,0
loti.csv,Year:low,Oct,6
loti.csv,Year:low,Oct,15
loti.csv,Year:low,Oct,20
loti.csv,Year:low,Oct,-4
loti.csv,Year:low,Oct,2
loti.csv,Year:low,Oct,20
loti.csv,Year:low,Oct,2
loti.csv,Year:low,Oct,23
loti.csv,Year:low,Oct,24
loti.csv,Year:high,Oct,8
loti.csv,Year:high,Oct,-4
loti.csv,Year:high,Oct,12
loti.csv,Year:high,Oct,0
loti.csv,Year:high,Oct,-1
loti.csv,Year:high,Oct,-16
loti.csv,Year:high,Oct,14
loti.csv,Year:high,Oct,-3
loti.csv,Year:high,Oct,10
loti.csv,Year:high,Oct,-3
loti.csv,Year:high,Oct,2
loti.csv,Year:high,Oct,-20
loti.csv,Year:high,Oct,4
loti.csv,Year:high,Oct,5
loti.csv,Year:high,Oct,-3
loti.csv,Year:high,Oct,6
loti.csv,Year:high,Oct,7
loti.csv,Year:high,Oct,1
loti.csv,Year:high,Oct,9
loti.csv,Year:high,Oct,-30
loti.csv,Year:high,Oct,-6
loti.csv,Year:high,Oct,-15
loti.csv,Year:high,Oct,10
loti.csv,Year:high,Oct,13
loti.csv,Year:high,Oct,14
loti.csv,Year:high,Oct,3
loti.csv,Year:high,Oct,-5
loti.csv,Year:high,Oct,4
loti.csv,Year:high,Oct,13
loti.csv,Year:high,Oct,-7
loti.csv,Year:high,Oct,-11
loti.csv,Year:high,Oct,-29
loti.csv,Year:high,Oct,-5
loti.csv,Year:high,Oct,-4
loti.csv,Year:high,Oct,18
loti.csv,Year:high,Oct,8
loti.csv,Year:high,Oct,6
loti.csv,Year:high,Oct,2
loti.csv,Year:high,Oct,9
loti.csv,Year:high,Oct,4
loti.csv,Year:high,Oct,4
loti.csv,Year:high,Oct,5
loti.csv,Year:high,Oct,26
loti.csv,Year:high,Oct,29
loti.csv,Year:high,Oct,25
loti.csv,Year:high,Oct,39
loti.csv,Year:high,Oct,21
loti.csv,Year:high,Oct,-4
loti.csv,Year:high,Oct,14
loti.csv,Year:high,Oct,38
loti.csv,Year:high,Oct,43
loti.csv,Year:high,Oct,14
loti.csv,Year:high,Oct,51
loti.csv,Year:high,Oct,40
loti.csv,Year:high,Oct,31
loti.csv,Year:high,Oct,17
loti.csv,Year:high,Oct,43
loti.csv,Year:high,Oct,50
loti.csv,Year:high,Oct,67
loti.csv,Year:high,Oct,57
loti.csv,Year:high,Oct,72
loti.csv,Year:high,Oct,59
loti.csv,Year:high,Oct,54
loti.csv,Year:high,Oct,56
loti.csv,Year:high,Oct,61
loti.csv,Year:high,Oct,63
