fileName,groupName,attributeName,attributeValue
loti.csv,Year:low,SON,-26
loti.csv,Year:low,SON,-32
loti.csv,Year:low,SON,-33
loti.csv,Year:low,SON,-34
loti.csv,Year:low,SON,-34
loti.csv,Year:low,SON,-25
loti.csv,Year:low,SON,-30
loti.csv,Year:low,SON,-34
loti.csv,Year:low,SON,-11
loti.csv,Year:low,SON,-30
loti.csv,Year:low,SON,-38
loti.csv,Year:low,SON,-27
loti.csv,Year:low,SON,-31
loti.csv,Year:low,SON,-21
loti.csv,Year:low,SON,-33
loti.csv,Year:low,SON,-13
loti.csv,Year:low,SON,-6
loti.csv,Year:low,SON,-14
loti.csv,Year:low,SON,-29
loti.csv,Year:low,SON,1
loti.csv,Year:low,SON,-6
loti.csv,Year:low,SON,-23
loti.csv,Year:low,SON,-33
loti.csv,Year:low,SON,-38
loti.csv,Year:low,SON,-26
loti.csv,Year:low,SON,-16
loti.csv,Year:low,SON,-23
loti.csv,Year:low,SON,-32
loti.csv,Year:low,SON,-30
loti.csv,Year:low,SON,-20
loti.csv,Year:low,SON,-34
loti.csv,Year:low,SON,-20
loti.csv,Year:low,SON,-43
loti.csv,Year:low,SON,-26
loti.csv,Year:low,SON,-12
loti.csv,Year:low,SON,-12
loti.csv,Year:low,SON,-28
loti.csv,Year:low,SON,-29
loti.csv,Year:low,SON,-17
loti.csv,Year:low,SON,-25
loti.csv,Year:low,SON,-24
loti.csv,Year:low,SON,-15
loti.csv,Year:low,SON,-24
loti.csv,Year:low,SON,-11
loti.csv,Year:low,SON,-20
loti.csv,Year:low,SON,-12
loti.csv,Year:low,SON,-4
loti.csv,Year:low,SON,-2
loti.csv,Year:low,SON,-7
loti.csv,Year:low,SON,-10
loti.csv,Year:low,SON,0
loti.csv,Year:low,SON,-2
loti.csv,Year:low,SON,-4
loti.csv,Year:low,SON,-20
loti.csv,Year:low,SON,-2
loti.csv,Year:low,SON,-12
loti.csv,Year:low,SON,4
loti.csv,Year:low,SON,17
loti.csv,Year:low,SON,16
loti.csv,Year:low,SON,0
loti.csv,Year:low,SON,5
loti.csv,Year:low,SON,6
loti.csv,Year:low,SON,2
loti.csv,Year:low,SON,16
loti.csv,Year:low,SON,22
loti.csv,Year:high,SON,4
loti.csv,Year:high,SON,-4
loti.csv,Year:high,SON,5
loti.csv,Year:high,SON,-5
loti.csv,Year:high,SON,-4
loti.csv,Year:high,SON,-19
loti.csv,Year:high,SON,9
loti.csv,Year:high,SON,-2
loti.csv,Year:high,SON,8
loti.csv,Year:high,SON,-1
loti.csv,Year:high,SON,-9
loti.csv,Year:high,SON,-17
loti.csv,Year:high,SON,8
loti.csv,Year:high,SON,2
loti.csv,Year:high,SON,-6
loti.csv,Year:high,SON,0
loti.csv,Year:high,SON,7
loti.csv,Year:high,SON,4
loti.csv,Year:high,SON,16
loti.csv,Year:high,SON,-29
loti.csv,Year:high,SON,-10
loti.csv,Year:high,SON,-5
loti.csv,Year:high,SON,3
loti.csv,Year:high,SON,-1
loti.csv,Year:high,SON,13
loti.csv,Year:high,SON,7
loti.csv,Year:high,SON,-5
loti.csv,Year:high,SON,2
loti.csv,Year:high,SON,8
loti.csv,Year:high,SON,-9
loti.csv,Year:high,SON,-11
loti.csv,Year:high,SON,-17
loti.csv,Year:high,SON,1
loti.csv,Year:high,SON,3
loti.csv,Year:high,SON,18
loti.csv,Year:high,SON,14
loti.csv,Year:high,SON,12
loti.csv,Year:high,SON,2
loti.csv,Year:high,SON,22
loti.csv,Year:high,SON,5
loti.csv,Year:high,SON,3
loti.csv,Year:high,SON,2
loti.csv,Year:high,SON,26
loti.csv,Year:high,SON,19
loti.csv,Year:high,SON,22
loti.csv,Year:high,SON,32
loti.csv,Year:high,SON,26
loti.csv,Year:high,SON,-8
loti.csv,Year:high,SON,5
loti.csv,Year:high,SON,34
loti.csv,Year:high,SON,34
loti.csv,Year:high,SON,24
loti.csv,Year:high,SON,49
loti.csv,Year:high,SON,41
loti.csv,Year:high,SON,30
loti.csv,Year:high,SON,25
loti.csv,Year:high,SON,52
loti.csv,Year:high,SON,50
loti.csv,Year:high,SON,58
loti.csv,Year:high,SON,56
loti.csv,Year:high,SON,68
loti.csv,Year:high,SON,60
loti.csv,Year:high,SON,50
loti.csv,Year:high,SON,55
loti.csv,Year:high,SON,64
loti.csv,Year:high,SON,63
