fileName,groupName,attributeName,attributeValue
loti.csv,Year:low,Sep,-30
loti.csv,Year:low,Sep,-27
loti.csv,Year:low,Sep,-25
loti.csv,Year:low,Sep,-34
loti.csv,Year:low,Sep,-32
loti.csv,Year:low,Sep,-25
loti.csv,Year:low,Sep,-21
loti.csv,Year:low,Sep,-26
loti.csv,Year:low,Sep,-19
loti.csv,Year:low,Sep,-21
loti.csv,Year:low,Sep,-39
loti.csv,Year:low,Sep,-18
loti.csv,Year:low,Sep,-21
loti.csv,Year:low,Sep,-26
loti.csv,Year:low,Sep,-35
loti.csv,Year:low,Sep,-11
loti.csv,Year:low,Sep,-8
loti.csv,Year:low,Sep,-12
loti.csv,Year:low,Sep,-21
loti.csv,Year:low,Sep,-8
loti.csv,Year:low,Sep,-5
loti.csv,Year:low,Sep,-21
loti.csv,Year:low,Sep,-25
loti.csv,Year:low,Sep,-43
loti.csv,Year:low,Sep,-38
loti.csv,Year:low,Sep,-16
loti.csv,Year:low,Sep,-20
loti.csv,Year:low,Sep,-28
loti.csv,Year:low,Sep,-21
loti.csv,Year:low,Sep,-22
loti.csv,Year:low,Sep,-29
loti.csv,Year:low,Sep,-25
loti.csv,Year:low,Sep,-45
loti.csv,Year:low,Sep,-27
loti.csv,Year:low,Sep,-17
loti.csv,Year:low,Sep,-7
loti.csv,Year:low,Sep,-28
loti.csv,Year:low,Sep,-17
loti.csv,Year:low,Sep,-23
loti.csv,Year:low,Sep,-12
loti.csv,Year:low,Sep,-19
loti.csv,Year:low,Sep,-20
loti.csv,Year:low,Sep,-30
loti.csv,Year:low,Sep,-27
loti.csv,Year:low,Sep,-24
loti.csv,Year:low,Sep,-16
loti.csv,Year:low,Sep,-5
loti.csv,Year:low,Sep,-8
loti.csv,Year:low,Sep,-11
loti.csv,Year:low,Sep,-21
loti.csv,Year:low,Sep,-8
loti.csv,Year:low,Sep,-8
loti.csv,Year:low,Sep,2
loti.csv,Year:low,Sep,-19
loti.csv,Year:low,Sep,-14
loti.csv,Year:low,Sep,-14
loti.csv,Year:low,Sep,-2
loti.csv,Year:low,Sep,18
loti.csv,Year:low,Sep,13
loti.csv,Year:low,Sep,0
loti.csv,Year:low,Sep,7
loti.csv,Year:low,Sep,-13
loti.csv,Year:low,Sep,1
loti.csv,Year:low,Sep,4
loti.csv,Year:low,Sep,26
loti.csv,Year:high,Sep,0
loti.csv,Year:high,Sep,-3
loti.csv,Year:high,Sep,-7
loti.csv,Year:high,Sep,-9
loti.csv,Year:high,Sep,-6
loti.csv,Year:high,Sep,-11
loti.csv,Year:high,Sep,9
loti.csv,Year:high,Sep,9
loti.csv,Year:high,Sep,10
loti.csv,Year:high,Sep,-12
loti.csv,Year:high,Sep,-7
loti.csv,Year:high,Sep,-14
loti.csv,Year:high,Sep,8
loti.csv,Year:high,Sep,-3
loti.csv,Year:high,Sep,-8
loti.csv,Year:high,Sep,5
loti.csv,Year:high,Sep,8
loti.csv,Year:high,Sep,2
loti.csv,Year:high,Sep,25
loti.csv,Year:high,Sep,-37
loti.csv,Year:high,Sep,-16
loti.csv,Year:high,Sep,1
loti.csv,Year:high,Sep,0
loti.csv,Year:high,Sep,-14
loti.csv,Year:high,Sep,9
loti.csv,Year:high,Sep,13
loti.csv,Year:high,Sep,-2
loti.csv,Year:high,Sep,5
loti.csv,Year:high,Sep,7
loti.csv,Year:high,Sep,-9
loti.csv,Year:high,Sep,-6
loti.csv,Year:high,Sep,-12
loti.csv,Year:high,Sep,-5
loti.csv,Year:high,Sep,5
loti.csv,Year:high,Sep,18
loti.csv,Year:high,Sep,12
loti.csv,Year:high,Sep,11
loti.csv,Year:high,Sep,1
loti.csv,Year:high,Sep,34
loti.csv,Year:high,Sep,16
loti.csv,Year:high,Sep,6
loti.csv,Year:high,Sep,0
loti.csv,Year:high,Sep,30
loti.csv,Year:high,Sep,30
loti.csv,Year:high,Sep,31
loti.csv,Year:high,Sep,16
loti.csv,Year:high,Sep,39
loti.csv,Year:high,Sep,-11
loti.csv,Year:high,Sep,0
loti.csv,Year:high,Sep,30
loti.csv,Year:high,Sep,23
loti.csv,Year:high,Sep,24
loti.csv,Year:high,Sep,40
loti.csv,Year:high,Sep,41
loti.csv,Year:high,Sep,29
loti.csv,Year:high,Sep,32
loti.csv,Year:high,Sep,47
loti.csv,Year:high,Sep,51
loti.csv,Year:high,Sep,60
loti.csv,Year:high,Sep,45
loti.csv,Year:high,Sep,68
loti.csv,Year:high,Sep,57
loti.csv,Year:high,Sep,50
loti.csv,Year:high,Sep,53
loti.csv,Year:high,Sep,65
loti.csv,Year:high,Sep,55
