fileName,groupName,attributeName,attributeValue
lung.csv,time:low,pat.karno,60
lung.csv,time:low,pat.karno,80
lung.csv,time:low,pat.karno,70
lung.csv,time:low,pat.karno,80
lung.csv,time:low,pat.karno,70
lung.csv,time:low,pat.karno,90
lung.csv,time:low,pat.karno,60
lung.csv,time:low,pat.karno,80
lung.csv,time:low,pat.karno,70
lung.csv,time:low,pat.karno,70
lung.csv,time:low,pat.karno,50
lung.csv,time:low,pat.karno,70
lung.csv,time:low,pat.karno,60
lung.csv,time:low,pat.karno,100
lung.csv,time:low,pat.karno,50
lung.csv,time:low,pat.karno,40
lung.csv,time:low,pat.karno,70
lung.csv,time:low,pat.karno,60
lung.csv,time:low,pat.karno,60
lung.csv,time:low,pat.karno,70
lung.csv,time:low,pat.karno,100
lung.csv,time:low,pat.karno,90
lung.csv,time:low,pat.karno,80
lung.csv,time:low,pat.karno,80
lung.csv,time:low,pat.karno,60
lung.csv,time:low,pat.karno,80
lung.csv,time:low,pat.karno,100
lung.csv,time:low,pat.karno,80
lung.csv,time:low,pat.karno,60
lung.csv,time:low,pat.karno,50
lung.csv,time:low,pat.karno,NA
lung.csv,time:low,pat.karno,100
lung.csv,time:low,pat.karno,100
lung.csv,time:low,pat.karno,80
lung.csv,time:low,pat.karno,80
lung.csv,time:low,pat.karno,NA
lung.csv,time:low,pat.karno,70
lung.csv,time:low,pat.karno,90
lung.csv,time:low,pat.karno,80
lung.csv,time:low,pat.karno,90
lung.csv,time:low,pat.karno,90
lung.csv,time:low,pat.karno,70
lung.csv,time:low,pat.karno,100
lung.csv,time:low,pat.karno,80
lung.csv,time:low,pat.karno,60
lung.csv,time:low,pat.karno,60
lung.csv,time:low,pat.karno,80
lung.csv,time:low,pat.karno,70
lung.csv,time:low,pat.karno,70
lung.csv,time:low,pat.karno,NA
lung.csv,time:low,pat.karno,90
lung.csv,time:low,pat.karno,90
lung.csv,time:low,pat.karno,70
lung.csv,time:low,pat.karno,90
lung.csv,time:low,pat.karno,100
lung.csv,time:low,pat.karno,70
lung.csv,time:low,pat.karno,60
lung.csv,time:low,pat.karno,80
lung.csv,time:low,pat.karno,60
lung.csv,time:low,pat.karno,80
lung.csv,time:low,pat.karno,60
lung.csv,time:low,pat.karno,90
lung.csv,time:low,pat.karno,80
lung.csv,time:low,pat.karno,60
lung.csv,time:low,pat.karno,70
lung.csv,time:low,pat.karno,90
lung.csv,time:low,pat.karno,80
lung.csv,time:low,pat.karno,90
lung.csv,time:low,pat.karno,60
lung.csv,time:low,pat.karno,60
lung.csv,time:low,pat.karno,30
lung.csv,time:low,pat.karno,70
lung.csv,time:low,pat.karno,80
lung.csv,time:low,pat.karno,60
lung.csv,time:low,pat.karno,90
lung.csv,time:low,pat.karno,60
lung.csv,time:low,pat.karno,80
lung.csv,time:low,pat.karno,70
lung.csv,time:low,pat.karno,90
lung.csv,time:low,pat.karno,60
lung.csv,time:low,pat.karno,70
lung.csv,time:low,pat.karno,80
lung.csv,time:low,pat.karno,80
lung.csv,time:low,pat.karno,100
lung.csv,time:low,pat.karno,90
lung.csv,time:low,pat.karno,70
lung.csv,time:low,pat.karno,90
lung.csv,time:low,pat.karno,60
lung.csv,time:low,pat.karno,100
lung.csv,time:low,pat.karno,100
lung.csv,time:low,pat.karno,90
lung.csv,time:low,pat.karno,70
lung.csv,time:low,pat.karno,90
lung.csv,time:low,pat.karno,60
lung.csv,time:low,pat.karno,70
lung.csv,time:low,pat.karno,80
lung.csv,time:low,pat.karno,90
lung.csv,time:low,pat.karno,70
lung.csv,time:low,pat.karno,70
lung.csv,time:low,pat.karno,100
lung.csv,time:low,pat.karno,90
lung.csv,time:low,pat.karno,70
lung.csv,time:low,pat.karno,80
lung.csv,time:low,pat.karno,60
lung.csv,time:low,pat.karno,30
lung.csv,time:low,pat.karno,80
lung.csv,time:low,pat.karno,90
lung.csv,time:low,pat.karno,90
lung.csv,time:low,pat.karno,80
lung.csv,time:low,pat.karno,60
lung.csv,time:low,pat.karno,90
lung.csv,time:low,pat.karno,70
lung.csv,time:low,pat.karno,100
lung.csv,time:low,pat.karno,90
lung.csv,time:high,pat.karno,100
lung.csv,time:high,pat.karno,90
lung.csv,time:high,pat.karno,90
lung.csv,time:high,pat.karno,90
lung.csv,time:high,pat.karno,80
lung.csv,time:high,pat.karno,60
lung.csv,time:high,pat.karno,80
lung.csv,time:high,pat.karno,70
lung.csv,time:high,pat.karno,90
lung.csv,time:high,pat.karno,70
lung.csv,time:high,pat.karno,100
lung.csv,time:high,pat.karno,70
lung.csv,time:high,pat.karno,80
lung.csv,time:high,pat.karno,80
lung.csv,time:high,pat.karno,100
lung.csv,time:high,pat.karno,80
lung.csv,time:high,pat.karno,80
lung.csv,time:high,pat.karno,100
lung.csv,time:high,pat.karno,70
lung.csv,time:high,pat.karno,90
lung.csv,time:high,pat.karno,80
lung.csv,time:high,pat.karno,60
lung.csv,time:high,pat.karno,90
lung.csv,time:high,pat.karno,100
lung.csv,time:high,pat.karno,60
lung.csv,time:high,pat.karno,90
lung.csv,time:high,pat.karno,70
lung.csv,time:high,pat.karno,70
lung.csv,time:high,pat.karno,70
lung.csv,time:high,pat.karno,90
lung.csv,time:high,pat.karno,100
lung.csv,time:high,pat.karno,90
lung.csv,time:high,pat.karno,80
lung.csv,time:high,pat.karno,80
lung.csv,time:high,pat.karno,80
lung.csv,time:high,pat.karno,70
lung.csv,time:high,pat.karno,70
lung.csv,time:high,pat.karno,80
lung.csv,time:high,pat.karno,90
lung.csv,time:high,pat.karno,90
lung.csv,time:high,pat.karno,90
lung.csv,time:high,pat.karno,80
lung.csv,time:high,pat.karno,70
lung.csv,time:high,pat.karno,80
lung.csv,time:high,pat.karno,80
lung.csv,time:high,pat.karno,90
lung.csv,time:high,pat.karno,80
lung.csv,time:high,pat.karno,80
lung.csv,time:high,pat.karno,90
lung.csv,time:high,pat.karno,90
lung.csv,time:high,pat.karno,100
lung.csv,time:high,pat.karno,100
lung.csv,time:high,pat.karno,100
lung.csv,time:high,pat.karno,90
lung.csv,time:high,pat.karno,80
lung.csv,time:high,pat.karno,100
lung.csv,time:high,pat.karno,80
lung.csv,time:high,pat.karno,50
lung.csv,time:high,pat.karno,100
lung.csv,time:high,pat.karno,100
lung.csv,time:high,pat.karno,70
lung.csv,time:high,pat.karno,60
lung.csv,time:high,pat.karno,90
lung.csv,time:high,pat.karno,90
lung.csv,time:high,pat.karno,80
lung.csv,time:high,pat.karno,90
lung.csv,time:high,pat.karno,60
lung.csv,time:high,pat.karno,60
lung.csv,time:high,pat.karno,80
lung.csv,time:high,pat.karno,90
lung.csv,time:high,pat.karno,70
lung.csv,time:high,pat.karno,70
lung.csv,time:high,pat.karno,40
lung.csv,time:high,pat.karno,70
lung.csv,time:high,pat.karno,60
lung.csv,time:high,pat.karno,90
lung.csv,time:high,pat.karno,100
lung.csv,time:high,pat.karno,70
lung.csv,time:high,pat.karno,100
lung.csv,time:high,pat.karno,90
lung.csv,time:high,pat.karno,80
lung.csv,time:high,pat.karno,90
lung.csv,time:high,pat.karno,100
lung.csv,time:high,pat.karno,90
lung.csv,time:high,pat.karno,80
lung.csv,time:high,pat.karno,90
lung.csv,time:high,pat.karno,60
lung.csv,time:high,pat.karno,90
lung.csv,time:high,pat.karno,90
lung.csv,time:high,pat.karno,100
lung.csv,time:high,pat.karno,70
lung.csv,time:high,pat.karno,70
lung.csv,time:high,pat.karno,90
lung.csv,time:high,pat.karno,100
lung.csv,time:high,pat.karno,90
lung.csv,time:high,pat.karno,100
lung.csv,time:high,pat.karno,80
lung.csv,time:high,pat.karno,90
lung.csv,time:high,pat.karno,80
lung.csv,time:high,pat.karno,100
lung.csv,time:high,pat.karno,100
lung.csv,time:high,pat.karno,100
lung.csv,time:high,pat.karno,90
lung.csv,time:high,pat.karno,100
