fileName,groupName,attributeName,attributeValue
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,live
mifem.csv,age:low,outcome,dead
mifem.csv,age:low,outcome,dead
