fileName,groupName,attributeName,attributeValue
new_dengue.csv,NoYes:0,Ymax,35.5
new_dengue.csv,NoYes:0,Ymax,34.5
new_dengue.csv,NoYes:0,Ymax,35
new_dengue.csv,NoYes:0,Ymax,34
new_dengue.csv,NoYes:0,Ymax,32
new_dengue.csv,NoYes:0,Ymax,35
new_dengue.csv,NoYes:0,Ymax,32
new_dengue.csv,NoYes:0,Ymax,33
new_dengue.csv,NoYes:0,Ymax,29.5
new_dengue.csv,NoYes:0,Ymax,33.5
new_dengue.csv,NoYes:0,Ymax,34.5
new_dengue.csv,NoYes:0,Ymax,35
new_dengue.csv,NoYes:0,Ymax,34.5
new_dengue.csv,NoYes:0,Ymax,34.5
new_dengue.csv,NoYes:0,Ymax,33.5
new_dengue.csv,NoYes:0,Ymax,34
new_dengue.csv,NoYes:0,Ymax,29.5
new_dengue.csv,NoYes:0,Ymax,32.5
new_dengue.csv,NoYes:0,Ymax,33
new_dengue.csv,NoYes:0,Ymax,34.5
new_dengue.csv,NoYes:0,Ymax,29.5
new_dengue.csv,NoYes:0,Ymax,36.5
new_dengue.csv,NoYes:0,Ymax,35.5
new_dengue.csv,NoYes:0,Ymax,34
new_dengue.csv,NoYes:0,Ymax,31.5
new_dengue.csv,NoYes:0,Ymax,31.5
new_dengue.csv,NoYes:0,Ymax,35.5
new_dengue.csv,NoYes:0,Ymax,35
new_dengue.csv,NoYes:0,Ymax,35.5
new_dengue.csv,NoYes:0,Ymax,35
new_dengue.csv,NoYes:0,Ymax,36
new_dengue.csv,NoYes:0,Ymax,35.5
new_dengue.csv,NoYes:0,Ymax,35.5
new_dengue.csv,NoYes:0,Ymax,35.5
new_dengue.csv,NoYes:0,Ymax,34
new_dengue.csv,NoYes:0,Ymax,35.5
new_dengue.csv,NoYes:0,Ymax,34
new_dengue.csv,NoYes:0,Ymax,36.5
new_dengue.csv,NoYes:0,Ymax,34
new_dengue.csv,NoYes:0,Ymax,36.5
new_dengue.csv,NoYes:0,Ymax,33.5
new_dengue.csv,NoYes:0,Ymax,36
new_dengue.csv,NoYes:0,Ymax,33
new_dengue.csv,NoYes:0,Ymax,36
new_dengue.csv,NoYes:0,Ymax,36.5
new_dengue.csv,NoYes:0,Ymax,32.5
new_dengue.csv,NoYes:0,Ymax,35
new_dengue.csv,NoYes:0,Ymax,34.5
new_dengue.csv,NoYes:0,Ymax,35.5
new_dengue.csv,NoYes:0,Ymax,34
new_dengue.csv,NoYes:0,Ymax,36.5
new_dengue.csv,NoYes:0,Ymax,34
new_dengue.csv,NoYes:0,Ymax,19
new_dengue.csv,NoYes:0,Ymax,36
new_dengue.csv,NoYes:0,Ymax,35
new_dengue.csv,NoYes:0,Ymax,28
