fileName,groupName,attributeName,attributeValue
new_spam.csv,yesno:n,bang,0.022
new_spam.csv,yesno:n,bang,0.149
new_spam.csv,yesno:n,bang,0
new_spam.csv,yesno:n,bang,0.262
new_spam.csv,yesno:n,bang,0
new_spam.csv,yesno:n,bang,0
new_spam.csv,yesno:n,bang,0
new_spam.csv,yesno:n,bang,0
new_spam.csv,yesno:n,bang,0.393
new_spam.csv,yesno:n,bang,0.729
new_spam.csv,yesno:n,bang,0.149
new_spam.csv,yesno:n,bang,0
new_spam.csv,yesno:n,bang,0
new_spam.csv,yesno:n,bang,0
new_spam.csv,yesno:n,bang,0
new_spam.csv,yesno:n,bang,0
new_spam.csv,yesno:n,bang,0.546
new_spam.csv,yesno:n,bang,0.115
new_spam.csv,yesno:n,bang,0
new_spam.csv,yesno:n,bang,0.375
new_spam.csv,yesno:n,bang,0
new_spam.csv,yesno:n,bang,0.282
new_spam.csv,yesno:n,bang,0.044
new_spam.csv,yesno:n,bang,0
new_spam.csv,yesno:n,bang,0
new_spam.csv,yesno:n,bang,0
new_spam.csv,yesno:n,bang,0
new_spam.csv,yesno:n,bang,1.315
new_spam.csv,yesno:n,bang,0
new_spam.csv,yesno:n,bang,0.313
new_spam.csv,yesno:n,bang,0
new_spam.csv,yesno:n,bang,0
new_spam.csv,yesno:n,bang,0
new_spam.csv,yesno:n,bang,0
new_spam.csv,yesno:n,bang,0.033
new_spam.csv,yesno:n,bang,0
new_spam.csv,yesno:n,bang,0
new_spam.csv,yesno:n,bang,0
new_spam.csv,yesno:n,bang,0.161
new_spam.csv,yesno:n,bang,0.684
new_spam.csv,yesno:n,bang,0.211
new_spam.csv,yesno:n,bang,0.068
new_spam.csv,yesno:n,bang,0
new_spam.csv,yesno:n,bang,0.072
new_spam.csv,yesno:n,bang,0.045
new_spam.csv,yesno:n,bang,0.301
new_spam.csv,yesno:n,bang,0
new_spam.csv,yesno:n,bang,0
new_spam.csv,yesno:n,bang,0.613
new_spam.csv,yesno:n,bang,3.048
new_spam.csv,yesno:n,bang,0
new_spam.csv,yesno:n,bang,0
new_spam.csv,yesno:n,bang,0.725
new_spam.csv,yesno:n,bang,0
new_spam.csv,yesno:n,bang,0.048
new_spam.csv,yesno:n,bang,0
