fileName,groupName,attributeName,attributeValue
pbc.csv,age:low,bili,3.4
pbc.csv,age:low,bili,3.2
pbc.csv,age:low,bili,0.7
pbc.csv,age:low,bili,0.7
pbc.csv,age:low,bili,0.7
pbc.csv,age:low,bili,2.1
pbc.csv,age:low,bili,0.7
pbc.csv,age:low,bili,17.2
pbc.csv,age:low,bili,3.6
pbc.csv,age:low,bili,4.7
pbc.csv,age:low,bili,1.2
pbc.csv,age:low,bili,3.3
pbc.csv,age:low,bili,1.3
pbc.csv,age:low,bili,6.8
pbc.csv,age:low,bili,2.1
pbc.csv,age:low,bili,1.1
pbc.csv,age:low,bili,3.3
pbc.csv,age:low,bili,0.6
pbc.csv,age:low,bili,5.7
pbc.csv,age:low,bili,0.5
pbc.csv,age:low,bili,1.9
pbc.csv,age:low,bili,6
pbc.csv,age:low,bili,1.3
pbc.csv,age:low,bili,1.1
pbc.csv,age:low,bili,0.7
pbc.csv,age:low,bili,0.8
pbc.csv,age:low,bili,0.6
pbc.csv,age:low,bili,22.5
pbc.csv,age:low,bili,1.2
pbc.csv,age:low,bili,1.4
pbc.csv,age:low,bili,0.7
pbc.csv,age:low,bili,20
pbc.csv,age:low,bili,1.2
pbc.csv,age:low,bili,0.5
pbc.csv,age:low,bili,0.7
pbc.csv,age:low,bili,17.1
pbc.csv,age:low,bili,6.6
pbc.csv,age:low,bili,6.3
pbc.csv,age:low,bili,0.8
pbc.csv,age:low,bili,2.1
pbc.csv,age:low,bili,1.1
pbc.csv,age:low,bili,0.6
pbc.csv,age:low,bili,1.6
pbc.csv,age:low,bili,5
pbc.csv,age:low,bili,1.3
pbc.csv,age:low,bili,17.4
pbc.csv,age:low,bili,1
pbc.csv,age:low,bili,1
pbc.csv,age:low,bili,1.8
pbc.csv,age:low,bili,0.9
pbc.csv,age:low,bili,2.5
pbc.csv,age:low,bili,1.1
pbc.csv,age:low,bili,1.1
pbc.csv,age:low,bili,0.4
pbc.csv,age:low,bili,0.5
pbc.csv,age:low,bili,1.9
pbc.csv,age:low,bili,5.5
pbc.csv,age:low,bili,0.7
pbc.csv,age:low,bili,6.5
pbc.csv,age:low,bili,3.5
pbc.csv,age:low,bili,3.5
pbc.csv,age:low,bili,5.1
pbc.csv,age:low,bili,1.3
pbc.csv,age:low,bili,0.5
pbc.csv,age:low,bili,16.2
pbc.csv,age:low,bili,17.4
pbc.csv,age:low,bili,1.9
pbc.csv,age:low,bili,0.7
pbc.csv,age:low,bili,0.4
pbc.csv,age:low,bili,1.1
pbc.csv,age:low,bili,0.9
pbc.csv,age:low,bili,2.9
pbc.csv,age:low,bili,1.2
pbc.csv,age:low,bili,7.2
pbc.csv,age:low,bili,1
pbc.csv,age:low,bili,0.5
pbc.csv,age:low,bili,0.6
pbc.csv,age:low,bili,0.6
pbc.csv,age:low,bili,3.4
pbc.csv,age:low,bili,2.5
pbc.csv,age:low,bili,2.3
pbc.csv,age:low,bili,8.5
pbc.csv,age:low,bili,5.7
pbc.csv,age:low,bili,0.4
pbc.csv,age:low,bili,1.3
pbc.csv,age:low,bili,1.2
pbc.csv,age:low,bili,1.3
pbc.csv,age:low,bili,3
pbc.csv,age:low,bili,3.2
pbc.csv,age:low,bili,1.8
pbc.csv,age:low,bili,4.7
pbc.csv,age:low,bili,1.4
pbc.csv,age:low,bili,0.5
pbc.csv,age:low,bili,11
pbc.csv,age:low,bili,0.8
pbc.csv,age:low,bili,14
pbc.csv,age:low,bili,1.3
pbc.csv,age:low,bili,1.5
pbc.csv,age:low,bili,3.7
pbc.csv,age:low,bili,0.6
pbc.csv,age:low,bili,0.7
pbc.csv,age:low,bili,2.1
pbc.csv,age:low,bili,4.7
pbc.csv,age:low,bili,0.6
pbc.csv,age:low,bili,0.5
pbc.csv,age:low,bili,2.5
pbc.csv,age:low,bili,0.9
pbc.csv,age:low,bili,1.2
pbc.csv,age:low,bili,0.5
pbc.csv,age:low,bili,5.9
pbc.csv,age:low,bili,11.4
pbc.csv,age:low,bili,0.5
pbc.csv,age:low,bili,1.6
pbc.csv,age:low,bili,4.5
pbc.csv,age:low,bili,1
pbc.csv,age:low,bili,0.7
pbc.csv,age:low,bili,0.7
pbc.csv,age:low,bili,3.3
pbc.csv,age:low,bili,0.4
pbc.csv,age:low,bili,0.9
pbc.csv,age:low,bili,0.9
pbc.csv,age:low,bili,13
pbc.csv,age:low,bili,1.5
pbc.csv,age:low,bili,0.8
pbc.csv,age:low,bili,4.4
pbc.csv,age:low,bili,3.9
pbc.csv,age:low,bili,0.6
pbc.csv,age:low,bili,2.1
pbc.csv,age:low,bili,6.1
pbc.csv,age:low,bili,1.3
pbc.csv,age:low,bili,0.6
pbc.csv,age:low,bili,3.1
pbc.csv,age:low,bili,0.7
pbc.csv,age:low,bili,1.1
pbc.csv,age:low,bili,2.8
pbc.csv,age:low,bili,1.1
pbc.csv,age:low,bili,3.4
pbc.csv,age:low,bili,3.5
pbc.csv,age:low,bili,3.6
pbc.csv,age:low,bili,1
pbc.csv,age:low,bili,1
pbc.csv,age:low,bili,0.5
pbc.csv,age:low,bili,2.2
pbc.csv,age:low,bili,1.6
pbc.csv,age:low,bili,2.2
pbc.csv,age:low,bili,1
pbc.csv,age:low,bili,1
pbc.csv,age:low,bili,5.6
pbc.csv,age:low,bili,1.6
pbc.csv,age:low,bili,1.3
pbc.csv,age:low,bili,1.3
pbc.csv,age:low,bili,0.8
pbc.csv,age:low,bili,2
pbc.csv,age:low,bili,8.7
pbc.csv,age:low,bili,3.2
pbc.csv,age:low,bili,8.6
pbc.csv,age:low,bili,2.4
pbc.csv,age:low,bili,0.8
pbc.csv,age:low,bili,2.4
pbc.csv,age:low,bili,1
pbc.csv,age:low,bili,0.7
pbc.csv,age:low,bili,0.5
pbc.csv,age:low,bili,2.9
pbc.csv,age:low,bili,0.8
pbc.csv,age:low,bili,2
pbc.csv,age:low,bili,6.4
pbc.csv,age:low,bili,0.7
pbc.csv,age:low,bili,5
pbc.csv,age:low,bili,0.4
pbc.csv,age:low,bili,0.6
pbc.csv,age:low,bili,1.8
pbc.csv,age:low,bili,1.2
pbc.csv,age:low,bili,3.1
pbc.csv,age:low,bili,16
pbc.csv,age:low,bili,0.9
pbc.csv,age:low,bili,11.1
pbc.csv,age:low,bili,8.9
pbc.csv,age:low,bili,0.5
pbc.csv,age:low,bili,2.1
pbc.csv,age:low,bili,1.6
pbc.csv,age:low,bili,0.8
pbc.csv,age:low,bili,5.5
pbc.csv,age:low,bili,18
pbc.csv,age:low,bili,0.6
pbc.csv,age:low,bili,13.8
pbc.csv,age:low,bili,4.4
pbc.csv,age:low,bili,16
pbc.csv,age:low,bili,0.6
pbc.csv,age:low,bili,9.5
pbc.csv,age:low,bili,2.2
pbc.csv,age:low,bili,2.9
pbc.csv,age:low,bili,1.7
pbc.csv,age:low,bili,0.8
pbc.csv,age:low,bili,13.6
pbc.csv,age:low,bili,0.9
pbc.csv,age:low,bili,1.2
pbc.csv,age:low,bili,1.4
pbc.csv,age:low,bili,1.6
pbc.csv,age:low,bili,8.1
pbc.csv,age:low,bili,0.5
pbc.csv,age:low,bili,4.6
pbc.csv,age:low,bili,4.5
pbc.csv,age:low,bili,0.7
pbc.csv,age:low,bili,1.5
pbc.csv,age:low,bili,0.7
pbc.csv,age:low,bili,0.9
pbc.csv,age:high,bili,14.5
pbc.csv,age:high,bili,1.1
pbc.csv,age:high,bili,1.4
pbc.csv,age:high,bili,1.8
pbc.csv,age:high,bili,0.8
pbc.csv,age:high,bili,1
pbc.csv,age:high,bili,0.3
pbc.csv,age:high,bili,12.6
pbc.csv,age:high,bili,1.4
pbc.csv,age:high,bili,3.6
pbc.csv,age:high,bili,0.8
pbc.csv,age:high,bili,0.8
pbc.csv,age:high,bili,2.7
pbc.csv,age:high,bili,11.4
pbc.csv,age:high,bili,5.1
pbc.csv,age:high,bili,0.6
pbc.csv,age:high,bili,3.4
pbc.csv,age:high,bili,17.4
pbc.csv,age:high,bili,5.2
pbc.csv,age:high,bili,21.6
pbc.csv,age:high,bili,0.7
pbc.csv,age:high,bili,1.8
pbc.csv,age:high,bili,0.8
pbc.csv,age:high,bili,0.8
pbc.csv,age:high,bili,0.3
pbc.csv,age:high,bili,7.1
pbc.csv,age:high,bili,0.7
pbc.csv,age:high,bili,0.8
pbc.csv,age:high,bili,1.1
pbc.csv,age:high,bili,0.8
pbc.csv,age:high,bili,2.6
pbc.csv,age:high,bili,1.8
pbc.csv,age:high,bili,2.3
pbc.csv,age:high,bili,0.9
pbc.csv,age:high,bili,1.3
pbc.csv,age:high,bili,2.1
pbc.csv,age:high,bili,1.1
pbc.csv,age:high,bili,0.6
pbc.csv,age:high,bili,8.4
pbc.csv,age:high,bili,12.2
pbc.csv,age:high,bili,7.2
pbc.csv,age:high,bili,14.4
pbc.csv,age:high,bili,4.5
pbc.csv,age:high,bili,1.3
pbc.csv,age:high,bili,0.4
pbc.csv,age:high,bili,5
pbc.csv,age:high,bili,2
pbc.csv,age:high,bili,1.4
pbc.csv,age:high,bili,3.2
pbc.csv,age:high,bili,2
pbc.csv,age:high,bili,2.3
pbc.csv,age:high,bili,0.9
pbc.csv,age:high,bili,2.1
pbc.csv,age:high,bili,0.6
pbc.csv,age:high,bili,2
pbc.csv,age:high,bili,6.7
pbc.csv,age:high,bili,3.2
pbc.csv,age:high,bili,3
pbc.csv,age:high,bili,0.6
pbc.csv,age:high,bili,1.3
pbc.csv,age:high,bili,0.6
pbc.csv,age:high,bili,0.6
pbc.csv,age:high,bili,1.2
pbc.csv,age:high,bili,0.9
pbc.csv,age:high,bili,2.8
pbc.csv,age:high,bili,1.5
pbc.csv,age:high,bili,0.8
pbc.csv,age:high,bili,1.1
pbc.csv,age:high,bili,7.3
pbc.csv,age:high,bili,1.1
pbc.csv,age:high,bili,1
pbc.csv,age:high,bili,28
pbc.csv,age:high,bili,0.7
pbc.csv,age:high,bili,1.2
pbc.csv,age:high,bili,3
pbc.csv,age:high,bili,0.9
pbc.csv,age:high,bili,2.3
pbc.csv,age:high,bili,2.4
pbc.csv,age:high,bili,25.5
pbc.csv,age:high,bili,0.6
pbc.csv,age:high,bili,3.2
pbc.csv,age:high,bili,0.3
pbc.csv,age:high,bili,4
pbc.csv,age:high,bili,0.9
pbc.csv,age:high,bili,0.5
pbc.csv,age:high,bili,0.5
pbc.csv,age:high,bili,0.8
pbc.csv,age:high,bili,0.9
pbc.csv,age:high,bili,0.6
pbc.csv,age:high,bili,0.6
pbc.csv,age:high,bili,2
pbc.csv,age:high,bili,0.7
pbc.csv,age:high,bili,2.3
pbc.csv,age:high,bili,24.5
pbc.csv,age:high,bili,0.9
pbc.csv,age:high,bili,10.8
pbc.csv,age:high,bili,1.4
pbc.csv,age:high,bili,0.5
pbc.csv,age:high,bili,0.7
pbc.csv,age:high,bili,0.6
pbc.csv,age:high,bili,0.6
pbc.csv,age:high,bili,3.9
pbc.csv,age:high,bili,0.7
pbc.csv,age:high,bili,1.3
pbc.csv,age:high,bili,0.9
pbc.csv,age:high,bili,0.5
pbc.csv,age:high,bili,3.8
pbc.csv,age:high,bili,0.9
pbc.csv,age:high,bili,14.1
pbc.csv,age:high,bili,0.5
pbc.csv,age:high,bili,2.3
pbc.csv,age:high,bili,4.5
pbc.csv,age:high,bili,3.4
pbc.csv,age:high,bili,1.6
pbc.csv,age:high,bili,0.6
pbc.csv,age:high,bili,0.4
pbc.csv,age:high,bili,1.9
pbc.csv,age:high,bili,8
pbc.csv,age:high,bili,0.8
pbc.csv,age:high,bili,0.5
pbc.csv,age:high,bili,1.1
pbc.csv,age:high,bili,7.1
pbc.csv,age:high,bili,0.5
pbc.csv,age:high,bili,1.1
pbc.csv,age:high,bili,3.1
pbc.csv,age:high,bili,5.6
pbc.csv,age:high,bili,3.2
pbc.csv,age:high,bili,0.5
pbc.csv,age:high,bili,6.6
pbc.csv,age:high,bili,6.4
pbc.csv,age:high,bili,0.5
pbc.csv,age:high,bili,17.9
pbc.csv,age:high,bili,1.1
pbc.csv,age:high,bili,6.4
pbc.csv,age:high,bili,4
pbc.csv,age:high,bili,1.4
pbc.csv,age:high,bili,8.5
pbc.csv,age:high,bili,6.6
pbc.csv,age:high,bili,1.2
pbc.csv,age:high,bili,1.1
pbc.csv,age:high,bili,5.2
pbc.csv,age:high,bili,1
pbc.csv,age:high,bili,0.6
pbc.csv,age:high,bili,0.4
pbc.csv,age:high,bili,0.4
pbc.csv,age:high,bili,1.7
pbc.csv,age:high,bili,0.7
pbc.csv,age:high,bili,1.4
pbc.csv,age:high,bili,0.7
pbc.csv,age:high,bili,0.7
pbc.csv,age:high,bili,0.8
pbc.csv,age:high,bili,1.3
pbc.csv,age:high,bili,1.1
pbc.csv,age:high,bili,0.6
pbc.csv,age:high,bili,1.5
pbc.csv,age:high,bili,1
pbc.csv,age:high,bili,0.7
pbc.csv,age:high,bili,3.5
pbc.csv,age:high,bili,12.6
pbc.csv,age:high,bili,2.8
pbc.csv,age:high,bili,7.1
pbc.csv,age:high,bili,0.6
pbc.csv,age:high,bili,2.1
pbc.csv,age:high,bili,1.8
pbc.csv,age:high,bili,0.6
pbc.csv,age:high,bili,5.4
pbc.csv,age:high,bili,9
pbc.csv,age:high,bili,0.6
pbc.csv,age:high,bili,3.4
pbc.csv,age:high,bili,0.9
pbc.csv,age:high,bili,1.4
pbc.csv,age:high,bili,15
pbc.csv,age:high,bili,0.6
pbc.csv,age:high,bili,1.3
pbc.csv,age:high,bili,1.3
pbc.csv,age:high,bili,2.2
pbc.csv,age:high,bili,3
pbc.csv,age:high,bili,0.8
pbc.csv,age:high,bili,1.8
pbc.csv,age:high,bili,2.7
pbc.csv,age:high,bili,0.9
pbc.csv,age:high,bili,1.3
pbc.csv,age:high,bili,1.1
pbc.csv,age:high,bili,7.3
pbc.csv,age:high,bili,0.7
pbc.csv,age:high,bili,0.7
pbc.csv,age:high,bili,1.7
pbc.csv,age:high,bili,1.8
pbc.csv,age:high,bili,3.3
pbc.csv,age:high,bili,14
pbc.csv,age:high,bili,1.3
pbc.csv,age:high,bili,0.7
pbc.csv,age:high,bili,1.7
pbc.csv,age:high,bili,0.7
pbc.csv,age:high,bili,3
pbc.csv,age:high,bili,0.4
pbc.csv,age:high,bili,0.7
pbc.csv,age:high,bili,2
pbc.csv,age:high,bili,0.5
pbc.csv,age:high,bili,7.3
pbc.csv,age:high,bili,4.2
pbc.csv,age:high,bili,0.8
pbc.csv,age:high,bili,2.5
pbc.csv,age:high,bili,1
pbc.csv,age:high,bili,1.1
pbc.csv,age:high,bili,1.9
pbc.csv,age:high,bili,0.6
pbc.csv,age:high,bili,1
pbc.csv,age:high,bili,1.2
pbc.csv,age:high,bili,1.6
pbc.csv,age:high,bili,0.8
pbc.csv,age:high,bili,0.7
