fileName,groupName,attributeName,attributeValue
pbc.csv,sex:f,bili,14.5
pbc.csv,sex:f,bili,1.1
pbc.csv,sex:f,bili,1.8
pbc.csv,sex:f,bili,3.4
pbc.csv,sex:f,bili,0.8
pbc.csv,sex:f,bili,1
pbc.csv,sex:f,bili,0.3
pbc.csv,sex:f,bili,3.2
pbc.csv,sex:f,bili,12.6
pbc.csv,sex:f,bili,1.4
pbc.csv,sex:f,bili,3.6
pbc.csv,sex:f,bili,0.7
pbc.csv,sex:f,bili,0.8
pbc.csv,sex:f,bili,0.7
pbc.csv,sex:f,bili,2.7
pbc.csv,sex:f,bili,11.4
pbc.csv,sex:f,bili,0.7
pbc.csv,sex:f,bili,5.1
pbc.csv,sex:f,bili,3.4
pbc.csv,sex:f,bili,17.4
pbc.csv,sex:f,bili,0.7
pbc.csv,sex:f,bili,5.2
pbc.csv,sex:f,bili,21.6
pbc.csv,sex:f,bili,17.2
pbc.csv,sex:f,bili,0.7
pbc.csv,sex:f,bili,3.6
pbc.csv,sex:f,bili,4.7
pbc.csv,sex:f,bili,1.8
pbc.csv,sex:f,bili,0.8
pbc.csv,sex:f,bili,0.8
pbc.csv,sex:f,bili,1.2
pbc.csv,sex:f,bili,0.3
pbc.csv,sex:f,bili,7.1
pbc.csv,sex:f,bili,3.3
pbc.csv,sex:f,bili,0.7
pbc.csv,sex:f,bili,1.3
pbc.csv,sex:f,bili,6.8
pbc.csv,sex:f,bili,2.1
pbc.csv,sex:f,bili,1.1
pbc.csv,sex:f,bili,3.3
pbc.csv,sex:f,bili,0.6
pbc.csv,sex:f,bili,5.7
pbc.csv,sex:f,bili,0.5
pbc.csv,sex:f,bili,0.8
pbc.csv,sex:f,bili,1.1
pbc.csv,sex:f,bili,0.8
pbc.csv,sex:f,bili,2.6
pbc.csv,sex:f,bili,1.3
pbc.csv,sex:f,bili,1.1
pbc.csv,sex:f,bili,2.3
pbc.csv,sex:f,bili,0.8
pbc.csv,sex:f,bili,0.9
pbc.csv,sex:f,bili,1.3
pbc.csv,sex:f,bili,22.5
pbc.csv,sex:f,bili,2.1
pbc.csv,sex:f,bili,1.2
pbc.csv,sex:f,bili,1.1
pbc.csv,sex:f,bili,0.7
pbc.csv,sex:f,bili,20
pbc.csv,sex:f,bili,0.6
pbc.csv,sex:f,bili,1.2
pbc.csv,sex:f,bili,0.5
pbc.csv,sex:f,bili,0.7
pbc.csv,sex:f,bili,8.4
pbc.csv,sex:f,bili,17.1
pbc.csv,sex:f,bili,12.2
pbc.csv,sex:f,bili,6.6
pbc.csv,sex:f,bili,6.3
pbc.csv,sex:f,bili,0.8
pbc.csv,sex:f,bili,14.4
pbc.csv,sex:f,bili,4.5
pbc.csv,sex:f,bili,1.3
pbc.csv,sex:f,bili,0.4
pbc.csv,sex:f,bili,2.1
pbc.csv,sex:f,bili,5
pbc.csv,sex:f,bili,1.1
pbc.csv,sex:f,bili,0.6
pbc.csv,sex:f,bili,2
pbc.csv,sex:f,bili,5
pbc.csv,sex:f,bili,1.4
pbc.csv,sex:f,bili,1.3
pbc.csv,sex:f,bili,3.2
pbc.csv,sex:f,bili,17.4
pbc.csv,sex:f,bili,1
pbc.csv,sex:f,bili,1
pbc.csv,sex:f,bili,0.9
pbc.csv,sex:f,bili,0.9
pbc.csv,sex:f,bili,2.5
pbc.csv,sex:f,bili,1.1
pbc.csv,sex:f,bili,1.1
pbc.csv,sex:f,bili,2.1
pbc.csv,sex:f,bili,0.6
pbc.csv,sex:f,bili,0.4
pbc.csv,sex:f,bili,0.5
pbc.csv,sex:f,bili,1.9
pbc.csv,sex:f,bili,5.5
pbc.csv,sex:f,bili,2
pbc.csv,sex:f,bili,6.7
pbc.csv,sex:f,bili,0.7
pbc.csv,sex:f,bili,3
pbc.csv,sex:f,bili,6.5
pbc.csv,sex:f,bili,3.5
pbc.csv,sex:f,bili,0.6
pbc.csv,sex:f,bili,0.6
pbc.csv,sex:f,bili,5.1
pbc.csv,sex:f,bili,1.3
pbc.csv,sex:f,bili,1.2
pbc.csv,sex:f,bili,0.5
pbc.csv,sex:f,bili,16.2
pbc.csv,sex:f,bili,0.9
pbc.csv,sex:f,bili,17.4
pbc.csv,sex:f,bili,2.8
pbc.csv,sex:f,bili,1.9
pbc.csv,sex:f,bili,0.7
pbc.csv,sex:f,bili,0.4
pbc.csv,sex:f,bili,0.8
pbc.csv,sex:f,bili,1.1
pbc.csv,sex:f,bili,1.1
pbc.csv,sex:f,bili,1.1
pbc.csv,sex:f,bili,0.9
pbc.csv,sex:f,bili,1
pbc.csv,sex:f,bili,2.9
pbc.csv,sex:f,bili,28
pbc.csv,sex:f,bili,0.7
pbc.csv,sex:f,bili,1.2
pbc.csv,sex:f,bili,1.2
pbc.csv,sex:f,bili,7.2
pbc.csv,sex:f,bili,1
pbc.csv,sex:f,bili,0.9
pbc.csv,sex:f,bili,0.5
pbc.csv,sex:f,bili,0.6
pbc.csv,sex:f,bili,25.5
pbc.csv,sex:f,bili,0.6
pbc.csv,sex:f,bili,3.4
pbc.csv,sex:f,bili,0.6
pbc.csv,sex:f,bili,2.3
pbc.csv,sex:f,bili,3.2
pbc.csv,sex:f,bili,0.3
pbc.csv,sex:f,bili,8.5
pbc.csv,sex:f,bili,5.7
pbc.csv,sex:f,bili,0.4
pbc.csv,sex:f,bili,1.3
pbc.csv,sex:f,bili,1.2
pbc.csv,sex:f,bili,0.5
pbc.csv,sex:f,bili,1.3
pbc.csv,sex:f,bili,3
pbc.csv,sex:f,bili,0.5
pbc.csv,sex:f,bili,0.8
pbc.csv,sex:f,bili,3.2
pbc.csv,sex:f,bili,0.9
pbc.csv,sex:f,bili,0.6
pbc.csv,sex:f,bili,1.8
pbc.csv,sex:f,bili,4.7
pbc.csv,sex:f,bili,1.4
pbc.csv,sex:f,bili,0.6
pbc.csv,sex:f,bili,0.5
pbc.csv,sex:f,bili,11
pbc.csv,sex:f,bili,0.8
pbc.csv,sex:f,bili,2
pbc.csv,sex:f,bili,14
pbc.csv,sex:f,bili,0.7
pbc.csv,sex:f,bili,1.3
pbc.csv,sex:f,bili,2.3
pbc.csv,sex:f,bili,24.5
pbc.csv,sex:f,bili,0.9
pbc.csv,sex:f,bili,10.8
pbc.csv,sex:f,bili,1.5
pbc.csv,sex:f,bili,3.7
pbc.csv,sex:f,bili,1.4
pbc.csv,sex:f,bili,0.6
pbc.csv,sex:f,bili,0.7
pbc.csv,sex:f,bili,2.1
pbc.csv,sex:f,bili,4.7
pbc.csv,sex:f,bili,0.6
pbc.csv,sex:f,bili,0.5
pbc.csv,sex:f,bili,0.5
pbc.csv,sex:f,bili,0.7
pbc.csv,sex:f,bili,2.5
pbc.csv,sex:f,bili,0.6
pbc.csv,sex:f,bili,0.6
pbc.csv,sex:f,bili,3.9
pbc.csv,sex:f,bili,0.7
pbc.csv,sex:f,bili,1.3
pbc.csv,sex:f,bili,1.2
pbc.csv,sex:f,bili,0.5
pbc.csv,sex:f,bili,0.9
pbc.csv,sex:f,bili,5.9
pbc.csv,sex:f,bili,0.5
pbc.csv,sex:f,bili,11.4
pbc.csv,sex:f,bili,0.5
pbc.csv,sex:f,bili,1.6
pbc.csv,sex:f,bili,3.8
pbc.csv,sex:f,bili,0.9
pbc.csv,sex:f,bili,4.5
pbc.csv,sex:f,bili,14.1
pbc.csv,sex:f,bili,1
pbc.csv,sex:f,bili,0.7
pbc.csv,sex:f,bili,0.5
pbc.csv,sex:f,bili,0.7
pbc.csv,sex:f,bili,4.5
pbc.csv,sex:f,bili,3.3
pbc.csv,sex:f,bili,3.4
pbc.csv,sex:f,bili,0.4
pbc.csv,sex:f,bili,0.9
pbc.csv,sex:f,bili,0.9
pbc.csv,sex:f,bili,13
pbc.csv,sex:f,bili,1.5
pbc.csv,sex:f,bili,1.6
pbc.csv,sex:f,bili,0.6
pbc.csv,sex:f,bili,0.8
pbc.csv,sex:f,bili,0.4
pbc.csv,sex:f,bili,4.4
pbc.csv,sex:f,bili,1.9
pbc.csv,sex:f,bili,8
pbc.csv,sex:f,bili,3.9
pbc.csv,sex:f,bili,0.6
pbc.csv,sex:f,bili,2.1
pbc.csv,sex:f,bili,6.1
pbc.csv,sex:f,bili,0.8
pbc.csv,sex:f,bili,1.3
pbc.csv,sex:f,bili,0.6
pbc.csv,sex:f,bili,0.5
pbc.csv,sex:f,bili,1.1
pbc.csv,sex:f,bili,3.1
pbc.csv,sex:f,bili,0.7
pbc.csv,sex:f,bili,1.1
pbc.csv,sex:f,bili,0.5
pbc.csv,sex:f,bili,1.1
pbc.csv,sex:f,bili,3.1
pbc.csv,sex:f,bili,3.2
pbc.csv,sex:f,bili,2.8
pbc.csv,sex:f,bili,1.1
pbc.csv,sex:f,bili,3.4
pbc.csv,sex:f,bili,3.5
pbc.csv,sex:f,bili,0.5
pbc.csv,sex:f,bili,6.6
pbc.csv,sex:f,bili,6.4
pbc.csv,sex:f,bili,3.6
pbc.csv,sex:f,bili,1
pbc.csv,sex:f,bili,1
pbc.csv,sex:f,bili,0.5
pbc.csv,sex:f,bili,2.2
pbc.csv,sex:f,bili,1.6
pbc.csv,sex:f,bili,2.2
pbc.csv,sex:f,bili,1
pbc.csv,sex:f,bili,1
pbc.csv,sex:f,bili,5.6
pbc.csv,sex:f,bili,0.5
pbc.csv,sex:f,bili,1.6
pbc.csv,sex:f,bili,17.9
pbc.csv,sex:f,bili,1.3
pbc.csv,sex:f,bili,1.1
pbc.csv,sex:f,bili,1.3
pbc.csv,sex:f,bili,0.8
pbc.csv,sex:f,bili,2
pbc.csv,sex:f,bili,6.4
pbc.csv,sex:f,bili,8.7
pbc.csv,sex:f,bili,1.4
pbc.csv,sex:f,bili,3.2
pbc.csv,sex:f,bili,8.5
pbc.csv,sex:f,bili,0.8
pbc.csv,sex:f,bili,1.1
pbc.csv,sex:f,bili,2.4
pbc.csv,sex:f,bili,5.2
pbc.csv,sex:f,bili,1
pbc.csv,sex:f,bili,0.7
pbc.csv,sex:f,bili,1
pbc.csv,sex:f,bili,0.5
pbc.csv,sex:f,bili,2.9
pbc.csv,sex:f,bili,0.6
pbc.csv,sex:f,bili,0.8
pbc.csv,sex:f,bili,0.4
pbc.csv,sex:f,bili,0.4
pbc.csv,sex:f,bili,1.7
pbc.csv,sex:f,bili,2
pbc.csv,sex:f,bili,6.4
pbc.csv,sex:f,bili,0.7
pbc.csv,sex:f,bili,1.4
pbc.csv,sex:f,bili,0.7
pbc.csv,sex:f,bili,0.7
pbc.csv,sex:f,bili,0.8
pbc.csv,sex:f,bili,0.7
pbc.csv,sex:f,bili,5
pbc.csv,sex:f,bili,0.4
pbc.csv,sex:f,bili,1.1
pbc.csv,sex:f,bili,0.6
pbc.csv,sex:f,bili,0.6
pbc.csv,sex:f,bili,1.8
pbc.csv,sex:f,bili,1.5
pbc.csv,sex:f,bili,1.2
pbc.csv,sex:f,bili,1
pbc.csv,sex:f,bili,0.7
pbc.csv,sex:f,bili,3.1
pbc.csv,sex:f,bili,12.6
pbc.csv,sex:f,bili,2.8
pbc.csv,sex:f,bili,7.1
pbc.csv,sex:f,bili,0.6
pbc.csv,sex:f,bili,2.1
pbc.csv,sex:f,bili,1.8
pbc.csv,sex:f,bili,16
pbc.csv,sex:f,bili,0.6
pbc.csv,sex:f,bili,5.4
pbc.csv,sex:f,bili,9
pbc.csv,sex:f,bili,0.9
pbc.csv,sex:f,bili,11.1
pbc.csv,sex:f,bili,8.9
pbc.csv,sex:f,bili,0.5
pbc.csv,sex:f,bili,0.6
pbc.csv,sex:f,bili,3.4
pbc.csv,sex:f,bili,1.4
pbc.csv,sex:f,bili,2.1
pbc.csv,sex:f,bili,15
pbc.csv,sex:f,bili,0.6
pbc.csv,sex:f,bili,1.3
pbc.csv,sex:f,bili,1.3
pbc.csv,sex:f,bili,1.6
pbc.csv,sex:f,bili,2.2
pbc.csv,sex:f,bili,3
pbc.csv,sex:f,bili,0.8
pbc.csv,sex:f,bili,0.8
pbc.csv,sex:f,bili,1.8
pbc.csv,sex:f,bili,5.5
pbc.csv,sex:f,bili,18
pbc.csv,sex:f,bili,0.6
pbc.csv,sex:f,bili,2.7
pbc.csv,sex:f,bili,0.9
pbc.csv,sex:f,bili,1.3
pbc.csv,sex:f,bili,1.1
pbc.csv,sex:f,bili,13.8
pbc.csv,sex:f,bili,4.4
pbc.csv,sex:f,bili,16
pbc.csv,sex:f,bili,7.3
pbc.csv,sex:f,bili,0.6
pbc.csv,sex:f,bili,0.7
pbc.csv,sex:f,bili,0.7
pbc.csv,sex:f,bili,1.7
pbc.csv,sex:f,bili,2.2
pbc.csv,sex:f,bili,1.8
pbc.csv,sex:f,bili,3.3
pbc.csv,sex:f,bili,2.9
pbc.csv,sex:f,bili,14
pbc.csv,sex:f,bili,0.8
