fileName,groupName,attributeName,attributeValue
stVincent.csv,site:CPSV,harvwt,24
stVincent.csv,site:CPSV,harvwt,27.1
stVincent.csv,site:CPSV,harvwt,26.5
stVincent.csv,site:CPSV,harvwt,23.1
stVincent.csv,site:CPSV,harvwt,22.1
stVincent.csv,site:CPSV,harvwt,24.1
stVincent.csv,site:CPSV,harvwt,26.1
stVincent.csv,site:CPSV,harvwt,22.5
stVincent.csv,site:CPSV,harvwt,23
stVincent.csv,site:CPSV,harvwt,26.4
stVincent.csv,site:CPSV,harvwt,24.8
stVincent.csv,site:CPSV,harvwt,23.8
stVincent.csv,site:CPSV,harvwt,24
stVincent.csv,site:CPSV,harvwt,22.8
stVincent.csv,site:CPSV,harvwt,26
stVincent.csv,site:CPSV,harvwt,20.5
stVincent.csv,site:CPSV,harvwt,24.4
stVincent.csv,site:CPSV,harvwt,26
stVincent.csv,site:CPSV,harvwt,19
stVincent.csv,site:CPSV,harvwt,21
stVincent.csv,site:CPSV,harvwt,24.1
stVincent.csv,site:CPSV,harvwt,23.1
stVincent.csv,site:CPSV,harvwt,20.1
stVincent.csv,site:CPSV,harvwt,23.2
stVincent.csv,site:CPSV,harvwt,19.8
stVincent.csv,site:CPSV,harvwt,19
stVincent.csv,site:CPSV,harvwt,22.2
stVincent.csv,site:CPSV,harvwt,25.2
stVincent.csv,site:CPSV,harvwt,24.8
stVincent.csv,site:CPSV,harvwt,21.2
stVincent.csv,site:CPSV,harvwt,23.1
stVincent.csv,site:CPSV,harvwt,20.9
stVincent.csv,site:CPSV,harvwt,20
stVincent.csv,site:CPSV,harvwt,20.9
stVincent.csv,site:CPSV,harvwt,21.5
stVincent.csv,site:CPSV,harvwt,13.4
stVincent.csv,site:AGSV,harvwt,10.4
stVincent.csv,site:AGSV,harvwt,9.1
stVincent.csv,site:AGSV,harvwt,9.2
stVincent.csv,site:AGSV,harvwt,10.1
stVincent.csv,site:AGSV,harvwt,15.2
stVincent.csv,site:AGSV,harvwt,13.9
stVincent.csv,site:AGSV,harvwt,15.1
stVincent.csv,site:AGSV,harvwt,12.2
stVincent.csv,site:AGSV,harvwt,9.8
stVincent.csv,site:AGSV,harvwt,11.8
stVincent.csv,site:AGSV,harvwt,10.1
stVincent.csv,site:AGSV,harvwt,13
stVincent.csv,site:AGSV,harvwt,13.2
stVincent.csv,site:AGSV,harvwt,10.2
stVincent.csv,site:AGSV,harvwt,12
stVincent.csv,site:AGSV,harvwt,13.2
stVincent.csv,site:AGSV,harvwt,10.9
stVincent.csv,site:AGSV,harvwt,15.1
stVincent.csv,site:AGSV,harvwt,9.9
stVincent.csv,site:AGSV,harvwt,12
stVincent.csv,site:AGSV,harvwt,12.5
stVincent.csv,site:AGSV,harvwt,14.5
stVincent.csv,site:AGSV,harvwt,12.2
stVincent.csv,site:AGSV,harvwt,11.5
stVincent.csv,site:AGSV,harvwt,11.5
stVincent.csv,site:AGSV,harvwt,16.5
stVincent.csv,site:AGSV,harvwt,7.8
stVincent.csv,site:AGSV,harvwt,13
stVincent.csv,site:AGSV,harvwt,7
stVincent.csv,site:AGSV,harvwt,12.4
stVincent.csv,site:AGSV,harvwt,14
stVincent.csv,site:AGSV,harvwt,13.1
stVincent.csv,site:AGSV,harvwt,13
stVincent.csv,site:AGSV,harvwt,16
stVincent.csv,site:AGSV,harvwt,14.5
stVincent.csv,site:AGSV,harvwt,11
