fileName,groupName,attributeName,attributeValue
tinting.csv,sex:m,csoa,38.48
tinting.csv,sex:m,csoa,35.36
tinting.csv,sex:m,csoa,38.48
tinting.csv,sex:m,csoa,38.48
tinting.csv,sex:m,csoa,33.28
tinting.csv,sex:m,csoa,32.24
tinting.csv,sex:m,csoa,32.24
tinting.csv,sex:m,csoa,35.275
tinting.csv,sex:m,csoa,50.8375
tinting.csv,sex:m,csoa,42.5375
tinting.csv,sex:m,csoa,41.5
tinting.csv,sex:m,csoa,41.5
tinting.csv,sex:m,csoa,41.5
tinting.csv,sex:m,csoa,29.05
tinting.csv,sex:m,csoa,43.68
tinting.csv,sex:m,csoa,54.08
tinting.csv,sex:m,csoa,41.6
tinting.csv,sex:m,csoa,49.92
tinting.csv,sex:m,csoa,42.64
tinting.csv,sex:m,csoa,46.8
tinting.csv,sex:m,csoa,37.44
tinting.csv,sex:m,csoa,63.44
tinting.csv,sex:m,csoa,61.36
tinting.csv,sex:m,csoa,62.4
tinting.csv,sex:m,csoa,57.2
tinting.csv,sex:m,csoa,63.44
tinting.csv,sex:m,csoa,65.52
tinting.csv,sex:m,csoa,58.24
tinting.csv,sex:m,csoa,46.8
tinting.csv,sex:m,csoa,47.84
tinting.csv,sex:m,csoa,47.84
tinting.csv,sex:m,csoa,50.96
tinting.csv,sex:m,csoa,48.88
tinting.csv,sex:m,csoa,54.08
tinting.csv,sex:m,csoa,44.72
tinting.csv,sex:m,csoa,76.775
tinting.csv,sex:m,csoa,73.6625
tinting.csv,sex:m,csoa,84.0375
tinting.csv,sex:m,csoa,109.975
tinting.csv,sex:m,csoa,89.225
tinting.csv,sex:m,csoa,96.4875
tinting.csv,sex:m,csoa,80.925
tinting.csv,sex:m,csoa,77.8125
tinting.csv,sex:m,csoa,65.3625
tinting.csv,sex:m,csoa,59.1375
tinting.csv,sex:m,csoa,52.9125
tinting.csv,sex:m,csoa,51.875
tinting.csv,sex:m,csoa,62.25
tinting.csv,sex:m,csoa,44.6125
tinting.csv,sex:m,csoa,60.175
tinting.csv,sex:m,csoa,40.4625
tinting.csv,sex:m,csoa,58.1
tinting.csv,sex:m,csoa,47.725
tinting.csv,sex:m,csoa,47.725
tinting.csv,sex:m,csoa,59.1375
tinting.csv,sex:m,csoa,53.95
tinting.csv,sex:m,csoa,39.43
tinting.csv,sex:m,csoa,32.16
tinting.csv,sex:m,csoa,37.35
tinting.csv,sex:m,csoa,30.09
tinting.csv,sex:m,csoa,30.09
tinting.csv,sex:m,csoa,33.2
tinting.csv,sex:m,csoa,25.94
tinting.csv,sex:m,csoa,74.7
tinting.csv,sex:m,csoa,68.48
tinting.csv,sex:m,csoa,77.81
tinting.csv,sex:m,csoa,77.81
tinting.csv,sex:m,csoa,87.15
tinting.csv,sex:m,csoa,128.65
tinting.csv,sex:m,csoa,61.21
tinting.csv,sex:m,csoa,77.81
tinting.csv,sex:m,csoa,68.48
tinting.csv,sex:m,csoa,65.36
tinting.csv,sex:m,csoa,68.48
tinting.csv,sex:m,csoa,69.51
tinting.csv,sex:m,csoa,105.83
tinting.csv,sex:m,csoa,53.95
tinting.csv,sex:m,csoa,53.95
tinting.csv,sex:m,csoa,37.35
tinting.csv,sex:m,csoa,41.5
tinting.csv,sex:m,csoa,38.39
tinting.csv,sex:m,csoa,43.58
tinting.csv,sex:m,csoa,44.61
tinting.csv,sex:m,csoa,46.69
tinting.csv,sex:m,csoa,60.18
tinting.csv,sex:m,csoa,60.18
tinting.csv,sex:m,csoa,68.48
tinting.csv,sex:m,csoa,70.55
tinting.csv,sex:m,csoa,74.7
tinting.csv,sex:m,csoa,84.04
tinting.csv,sex:m,csoa,51.88
tinting.csv,sex:f,csoa,46.8
tinting.csv,sex:f,csoa,37.44
tinting.csv,sex:f,csoa,42.64
tinting.csv,sex:f,csoa,41.6
tinting.csv,sex:f,csoa,37.44
tinting.csv,sex:f,csoa,40.56
tinting.csv,sex:f,csoa,38.48
tinting.csv,sex:f,csoa,44.61
tinting.csv,sex:f,csoa,50.84
tinting.csv,sex:f,csoa,51.88
tinting.csv,sex:f,csoa,47.73
tinting.csv,sex:f,csoa,48.76
tinting.csv,sex:f,csoa,57.06
tinting.csv,sex:f,csoa,42.54
tinting.csv,sex:f,csoa,38.48
tinting.csv,sex:f,csoa,32.24
tinting.csv,sex:f,csoa,30.16
tinting.csv,sex:f,csoa,44.72
tinting.csv,sex:f,csoa,36.4
tinting.csv,sex:f,csoa,33.28
tinting.csv,sex:f,csoa,30.16
tinting.csv,sex:f,csoa,63.2875
tinting.csv,sex:f,csoa,60.175
tinting.csv,sex:f,csoa,60.175
tinting.csv,sex:f,csoa,41.5
tinting.csv,sex:f,csoa,43.575
tinting.csv,sex:f,csoa,54.9875
tinting.csv,sex:f,csoa,47.725
tinting.csv,sex:f,csoa,57.0625
tinting.csv,sex:f,csoa,66.4
tinting.csv,sex:f,csoa,50.8375
tinting.csv,sex:f,csoa,49.8
tinting.csv,sex:f,csoa,45.65
tinting.csv,sex:f,csoa,47.725
tinting.csv,sex:f,csoa,49.8
tinting.csv,sex:f,csoa,46.6875
tinting.csv,sex:f,csoa,46.6875
tinting.csv,sex:f,csoa,50.8375
tinting.csv,sex:f,csoa,56.025
tinting.csv,sex:f,csoa,54.9875
tinting.csv,sex:f,csoa,51.875
tinting.csv,sex:f,csoa,44.6125
tinting.csv,sex:f,csoa,25.9375
tinting.csv,sex:f,csoa,25.9375
tinting.csv,sex:f,csoa,30.0875
tinting.csv,sex:f,csoa,38.3875
tinting.csv,sex:f,csoa,37.35
tinting.csv,sex:f,csoa,36.3125
tinting.csv,sex:f,csoa,26.975
tinting.csv,sex:f,csoa,39.425
tinting.csv,sex:f,csoa,42.5375
tinting.csv,sex:f,csoa,43.575
tinting.csv,sex:f,csoa,48.7625
tinting.csv,sex:f,csoa,52.9125
tinting.csv,sex:f,csoa,44.6125
tinting.csv,sex:f,csoa,41.5
tinting.csv,sex:f,csoa,50.96
tinting.csv,sex:f,csoa,37.44
tinting.csv,sex:f,csoa,43.68
tinting.csv,sex:f,csoa,42.64
tinting.csv,sex:f,csoa,39.52
tinting.csv,sex:f,csoa,45.76
tinting.csv,sex:f,csoa,38.48
tinting.csv,sex:f,csoa,64.48
tinting.csv,sex:f,csoa,54.08
tinting.csv,sex:f,csoa,62.4
tinting.csv,sex:f,csoa,60.32
tinting.csv,sex:f,csoa,63.44
tinting.csv,sex:f,csoa,60.32
tinting.csv,sex:f,csoa,52
tinting.csv,sex:f,csoa,38.3875
tinting.csv,sex:f,csoa,40.4625
tinting.csv,sex:f,csoa,41.5
tinting.csv,sex:f,csoa,53.95
tinting.csv,sex:f,csoa,44.6125
tinting.csv,sex:f,csoa,46.6875
tinting.csv,sex:f,csoa,39.425
tinting.csv,sex:f,csoa,42.5375
tinting.csv,sex:f,csoa,38.3875
tinting.csv,sex:f,csoa,38.3875
tinting.csv,sex:f,csoa,48.7625
tinting.csv,sex:f,csoa,42.5375
tinting.csv,sex:f,csoa,43.575
tinting.csv,sex:f,csoa,44.6125
tinting.csv,sex:f,csoa,39.43
tinting.csv,sex:f,csoa,25.94
tinting.csv,sex:f,csoa,36.31
tinting.csv,sex:f,csoa,29.05
tinting.csv,sex:f,csoa,31.13
tinting.csv,sex:f,csoa,26.98
tinting.csv,sex:f,csoa,28.01
