fileName,groupName,attributeName,attributeValue
transplant.csv,year:low,futime,1197
transplant.csv,year:low,futime,28
transplant.csv,year:low,futime,231
transplant.csv,year:low,futime,12
transplant.csv,year:low,futime,139
transplant.csv,year:low,futime,9
transplant.csv,year:low,futime,135
transplant.csv,year:low,futime,15
transplant.csv,year:low,futime,0
transplant.csv,year:low,futime,277
transplant.csv,year:low,futime,231
transplant.csv,year:low,futime,223
transplant.csv,year:low,futime,4
transplant.csv,year:low,futime,41
transplant.csv,year:low,futime,250
transplant.csv,year:low,futime,129
transplant.csv,year:low,futime,74
transplant.csv,year:low,futime,24
transplant.csv,year:low,futime,123
transplant.csv,year:low,futime,171
transplant.csv,year:low,futime,29
transplant.csv,year:low,futime,5
transplant.csv,year:low,futime,199
transplant.csv,year:low,futime,135
transplant.csv,year:low,futime,52
transplant.csv,year:low,futime,122
transplant.csv,year:low,futime,45
transplant.csv,year:low,futime,173
transplant.csv,year:low,futime,8
transplant.csv,year:low,futime,1
transplant.csv,year:low,futime,53
transplant.csv,year:low,futime,32
transplant.csv,year:low,futime,18
transplant.csv,year:low,futime,1
transplant.csv,year:low,futime,34
transplant.csv,year:low,futime,4
transplant.csv,year:low,futime,107
transplant.csv,year:low,futime,166
transplant.csv,year:low,futime,48
transplant.csv,year:low,futime,20
transplant.csv,year:low,futime,10
transplant.csv,year:low,futime,104
transplant.csv,year:low,futime,25
transplant.csv,year:low,futime,60
transplant.csv,year:low,futime,184
transplant.csv,year:low,futime,12
transplant.csv,year:low,futime,29
transplant.csv,year:low,futime,31
transplant.csv,year:low,futime,73
transplant.csv,year:low,futime,89
transplant.csv,year:low,futime,231
transplant.csv,year:low,futime,173
transplant.csv,year:low,futime,6
transplant.csv,year:low,futime,172
transplant.csv,year:low,futime,269
transplant.csv,year:low,futime,48
transplant.csv,year:low,futime,26
transplant.csv,year:low,futime,99
transplant.csv,year:low,futime,3
transplant.csv,year:low,futime,8
transplant.csv,year:low,futime,59
transplant.csv,year:low,futime,359
transplant.csv,year:low,futime,282
transplant.csv,year:low,futime,826
transplant.csv,year:low,futime,207
transplant.csv,year:low,futime,75
transplant.csv,year:low,futime,137
transplant.csv,year:low,futime,38
transplant.csv,year:low,futime,106
transplant.csv,year:low,futime,19
transplant.csv,year:low,futime,187
transplant.csv,year:low,futime,19
transplant.csv,year:low,futime,202
transplant.csv,year:low,futime,33
transplant.csv,year:low,futime,72
transplant.csv,year:low,futime,34
transplant.csv,year:low,futime,198
transplant.csv,year:low,futime,327
transplant.csv,year:low,futime,21
transplant.csv,year:low,futime,86
transplant.csv,year:low,futime,35
transplant.csv,year:low,futime,397
transplant.csv,year:low,futime,322
transplant.csv,year:low,futime,203
transplant.csv,year:low,futime,120
transplant.csv,year:low,futime,109
transplant.csv,year:low,futime,156
transplant.csv,year:low,futime,276
transplant.csv,year:low,futime,244
transplant.csv,year:low,futime,143
transplant.csv,year:low,futime,40
transplant.csv,year:low,futime,20
transplant.csv,year:low,futime,197
transplant.csv,year:low,futime,86
transplant.csv,year:low,futime,40
transplant.csv,year:low,futime,50
transplant.csv,year:low,futime,59
